"","n_samples","h2","prop_effect","S","results","res_error","method"
"1",30000,0.3,0.01,-1,-0.00206990616131252,0.00234837901936882,"EB"
"11",3e+05,0.3,0.01,-1,-6.68132859484618e-06,8.19947667714787e-07,"EB"
"21",30000,0.8,0.01,-1,-0.000425318081382723,0.000120326650892254,"EB"
"31",3e+05,0.8,0.01,-1,-1.51665493195346e-06,2.37777924546904e-07,"EB"
"41",30000,0.3,0.001,-1,-5.80052177460666e-05,2.97476652151522e-05,"EB"
"51",3e+05,0.3,0.001,-1,4.58161752796719e-07,7.20619093972965e-07,"EB"
"61",30000,0.8,0.001,-1,1.38274167575065e-05,1.62673491272445e-05,"EB"
"71",3e+05,0.8,0.001,-1,1.43761309079551e-06,1.09617845717156e-06,"EB"
"81",30000,0.3,0.01,0,-0.000449507579663106,0.000121097607899957,"EB"
"91",3e+05,0.3,0.01,0,-2.96670472838728e-06,5.35244787087436e-07,"EB"
"101",30000,0.8,0.01,0,-0.000168549728495326,3.40099981848852e-05,"EB"
"111",3e+05,0.8,0.01,0,-1.03206866904483e-06,1.64638359978566e-07,"EB"
"121",30000,0.3,0.001,0,-2.41202326738826e-05,1.77710730842459e-05,"EB"
"131",3e+05,0.3,0.001,0,6.81516320028793e-07,9.07759009702763e-07,"EB"
"141",30000,0.8,0.001,0,-6.6661879548096e-07,6.12895169241649e-06,"EB"
"151",3e+05,0.8,0.001,0,1.92079399772175e-06,1.4521557280339e-06,"EB"
"161",30000,0.3,0.01,1,-0.000414742556651898,0.000337154090726201,"EB"
"171",3e+05,0.3,0.01,1,-1.99917317614395e-06,2.32474916930396e-07,"EB"
"181",30000,0.8,0.01,1,-0.000105609282992875,2.39773700497642e-05,"EB"
"191",3e+05,0.8,0.01,1,-6.15106269721085e-07,1.30863666536154e-07,"EB"
"201",30000,0.3,0.001,1,-8.83058668909467e-06,2.40108221158959e-05,"EB"
"211",3e+05,0.3,0.001,1,6.04262451711931e-07,7.33742645180696e-07,"EB"
"221",30000,0.8,0.001,1,-1.3959705159423e-06,3.84995108230321e-06,"EB"
"231",3e+05,0.8,0.001,1,1.8286088397962e-06,8.74972435574725e-07,"EB"
"12",30000,0.3,0.01,-1,-0.00118213915941186,0.000902508300271313,"FIQT"
"112",3e+05,0.3,0.01,-1,1.67698255661667e-06,2.69216024178015e-06,"FIQT"
"212",30000,0.8,0.01,-1,-0.000376444637773506,0.000156811100876123,"FIQT"
"311",3e+05,0.8,0.01,-1,4.52151199819337e-06,7.92425796662422e-07,"FIQT"
"411",30000,0.3,0.001,-1,0.000118263850911576,9.77153567603352e-05,"FIQT"
"511",3e+05,0.3,0.001,-1,6.30045828698214e-06,1.40791146756089e-06,"FIQT"
"611",30000,0.8,0.001,-1,0.000106189298782686,2.70832513765864e-05,"FIQT"
"711",3e+05,0.8,0.001,-1,3.24609925075648e-06,1.64239533437813e-06,"FIQT"
"811",30000,0.3,0.01,0,-0.00261322043431011,0.00566443181689036,"FIQT"
"911",3e+05,0.3,0.01,0,3.7531034702319e-07,9.87100078456284e-07,"FIQT"
"1011",30000,0.8,0.01,0,-0.000116938469199365,4.6238125797966e-05,"FIQT"
"1111",3e+05,0.8,0.01,0,2.16651163443992e-06,3.29642676952004e-07,"FIQT"
"1211",30000,0.3,0.001,0,6.66843431452937e-05,3.0336622368685e-05,"FIQT"
"1311",3e+05,0.3,0.001,0,4.20436594239039e-06,1.25709255681875e-06,"FIQT"
"1411",30000,0.8,0.001,0,6.67787127994718e-05,1.83119532682604e-05,"FIQT"
"1511",3e+05,0.8,0.001,0,3.7357673997608e-06,7.59575972885404e-07,"FIQT"
"1611",30000,0.3,0.01,1,-0.00040711547240956,0.000166096137402043,"FIQT"
"1711",3e+05,0.3,0.01,1,1.64227864320028e-06,4.96184166989284e-07,"FIQT"
"1811",30000,0.8,0.01,1,-0.000105480292585072,3.46254898133076e-05,"FIQT"
"1911",3e+05,0.8,0.01,1,2.02727561980176e-06,2.86476522580585e-07,"FIQT"
"2011",30000,0.3,0.001,1,7.05702531027132e-05,2.33732374252915e-05,"FIQT"
"2111",3e+05,0.3,0.001,1,3.97332511829044e-06,7.85620123437935e-07,"FIQT"
"2211",30000,0.8,0.001,1,5.26558933935009e-05,9.46210714015477e-06,"FIQT"
"2311",3e+05,0.8,0.001,1,2.71766131218274e-06,7.29375506518642e-07,"FIQT"
"13",30000,0.3,0.01,-1,-0.000615048866611665,0.000261857865630384,"BR"
"113",3e+05,0.3,0.01,-1,-4.29603586910991e-06,1.58270174288408e-06,"BR"
"213",30000,0.8,0.01,-1,-0.000424988371267868,0.000251390764678544,"BR"
"312",3e+05,0.8,0.01,-1,-1.18538447062939e-07,5.30727790702457e-07,"BR"
"412",30000,0.3,0.001,-1,5.76665204176488e-05,5.03224110563947e-05,"BR"
"512",3e+05,0.3,0.001,-1,1.3319911828263e-05,2.17165980452658e-06,"BR"
"612",30000,0.8,0.001,-1,0.000170792390397758,2.89218764636772e-05,"BR"
"712",3e+05,0.8,0.001,-1,7.46885415879432e-06,2.14030807168358e-06,"BR"
"812",30000,0.3,0.01,0,-0.000263422655240872,0.000347988453019129,"BR"
"912",3e+05,0.3,0.01,0,-2.02141231942969e-06,7.22378879481998e-07,"BR"
"1012",30000,0.8,0.01,0,-0.000155526037718392,5.02868558440208e-05,"BR"
"1112",3e+05,0.8,0.01,0,-3.95265013540554e-07,2.35015867619807e-07,"BR"
"1212",30000,0.3,0.001,0,3.88124545905623e-05,2.71016347531052e-05,"BR"
"1312",3e+05,0.3,0.001,0,9.72240993399896e-06,1.772417152203e-06,"BR"
"1412",30000,0.8,0.001,0,0.000131087619227558,1.93820169081912e-05,"BR"
"1512",3e+05,0.8,0.001,0,7.03307732842166e-06,1.30653500936713e-06,"BR"
"1612",30000,0.3,0.01,1,-0.000475984304686697,0.000327824622382065,"BR"
"1712",3e+05,0.3,0.01,1,-1.58112385927034e-07,3.78217092997994e-07,"BR"
"1812",30000,0.8,0.01,1,-0.000102866812529695,2.97801083596909e-05,"BR"
"1912",3e+05,0.8,0.01,1,1.01167020830524e-07,1.8256929418525e-07,"BR"
"2012",30000,0.3,0.001,1,4.15266449611185e-05,4.36902038156729e-05,"BR"
"2112",3e+05,0.3,0.001,1,8.45247452753728e-06,1.11954673498991e-06,"BR"
"2212",30000,0.8,0.001,1,0.000123616507320387,2.5265872798572e-05,"BR"
"2312",3e+05,0.8,0.001,1,4.57569227755639e-06,1.15686059185206e-06,"BR"
"14",30000,0.3,0.01,-1,-0.000895431370716129,0.000711180493229884,"cl1"
"114",3e+05,0.3,0.01,-1,5.28064702932197e-05,5.8605286921454e-06,"cl1"
"214",30000,0.8,0.01,-1,0.000270842413732188,0.000283125796387293,"cl1"
"313",3e+05,0.8,0.01,-1,3.36283123151498e-05,2.49175219390554e-06,"cl1"
"413",30000,0.3,0.001,-1,0.000449555411411037,0.000106037589422256,"cl1"
"513",3e+05,0.3,0.001,-1,1.34694451925943e-05,3.83177916388341e-06,"cl1"
"613",30000,0.8,0.001,-1,0.000335277901365474,9.75141996892866e-05,"cl1"
"713",3e+05,0.8,0.001,-1,9.08076372241526e-06,2.93500697261428e-06,"cl1"
"813",30000,0.3,0.01,0,-0.000196715788865235,0.000347864480201743,"cl1"
"913",3e+05,0.3,0.01,0,2.64416913102529e-05,1.68397498563232e-06,"cl1"
"1013",30000,0.8,0.01,0,0.000210629731052016,7.72939488747721e-05,"cl1"
"1113",3e+05,0.8,0.01,0,2.05105856794877e-05,1.15069540911282e-06,"cl1"
"1213",30000,0.3,0.001,0,0.000264513164504743,8.89052655858123e-05,"cl1"
"1313",3e+05,0.3,0.001,0,1.35594930339784e-05,5.89811892116651e-06,"cl1"
"1413",30000,0.8,0.001,0,0.000223277768340774,5.41926919808458e-05,"cl1"
"1513",3e+05,0.8,0.001,0,1.02600654994442e-05,2.52006275937355e-06,"cl1"
"1613",30000,0.3,0.01,1,-0.00022587883794729,0.00036315752297673,"cl1"
"1713",3e+05,0.3,0.01,1,2.21958465821556e-05,2.53054671997795e-06,"cl1"
"1813",30000,0.8,0.01,1,0.000251062816884351,6.36206691563032e-05,"cl1"
"1913",3e+05,0.8,0.01,1,1.66920255382717e-05,8.69153982216041e-07,"cl1"
