"","n_samples","h2","prop_effect","S","perc_opt_EB_10_norm","perc_opt_EB_100_norm","perc_opt_EB_10_bim","perc_opt_EB_100_bim","perc_opt_EB_10_skew","perc_opt_EB_100_skew","perc_opt_EB_10_norm_error","perc_opt_EB_100_norm_error","perc_opt_EB_10_bim_error","perc_opt_EB_100_bim_error","perc_opt_EB_10_skew_error","perc_opt_EB_100_skew_error"
"1",30000,0.3,0.01,-1,1.16623024472197,1.07783955874125,1.67783341565183,1.39046218304989,1.2063237009612,1.0651621698284,0.125553519643025,0.179366227908438,0.979659924627621,0.461964555160376,0.253466079949935,0.0551203102555109
"11",3e+05,0.3,0.01,-1,1.47161113557964,1.11128584243477,1.48349871095456,1.09220426586022,1.65632667910878,1.08255066422956,0.537577116633678,0.095338724001269,0.618951696296252,0.154131868282194,0.855309750815304,0.0935797604087383
"21",30000,0.8,0.01,-1,1.90998461308686,1.15939272296925,3.22599297177362,1.32925122731448,1.35991394326077,1.28177300630565,1.07606161588926,0.198228154185006,1.54693902320315,0.401008031112345,0.200179082611684,0.178053878656352
"31",3e+05,0.8,0.01,-1,1.70569361829947,1.11046718119484,1.42816393891967,1.11043621141113,1.83701958099436,1.11416914252022,0.957215415681807,0.0943268038349906,0.497784859594351,0.0951335378588212,0.493590126491152,0.0574112898008259
"41",30000,0.3,0.001,-1,2.04637623430435,1.19552155248743,2.10818166287095,1.3222321900025,1.99532770254904,1.388440120053,1.48103333207039,0.115832723137208,1.32715033543629,0.1698201715998,1.31789540129762,0.228988127709937
"51",3e+05,0.3,0.001,-1,1.7801720645053,1.08403349994005,1.35666543598709,1.1093152519784,2.51783032061267,1.1966914769279,1.00291733174392,0.0600985983624724,0.489322011955281,0.05274821877981,1.71871398028326,0.129641216893826
"61",30000,0.8,0.001,-1,1.4642623469295,1.11445751884832,1.39307363627969,1.1789057449479,1.3416198856061,1.12610760968247,0.544289060936855,0.12324120244385,0.404631168967806,0.13220801915357,0.550769751915402,0.119771570771193
"71",3e+05,0.8,0.001,-1,2.64197503833286,1.1100756190603,1.8156781813036,1.1051096780619,4.45548929515231,1.16622810815862,1.20752201219978,0.110737537358146,0.728493744528321,0.136691847038994,3.72732870410245,0.0966376691241478
"81",30000,0.3,0.01,0,1.1568885119332,1.01063519171382,1.4547576124078,1.27438941725763,2.09757018713579,1.15392331253608,0.279976576987497,0.0891226411307298,0.486817689244331,0.14398287191596,1.0509743977809,0.214941800070368
"91",3e+05,0.3,0.01,0,1.60764221237416,1.11725777676969,1.40196491191425,1.09512782238789,1.40341470926074,1.13189324052711,0.9360957164119,0.0987391691267149,0.954274219207357,0.131832346208444,0.344907371281376,0.0874516301080893
"101",30000,0.8,0.01,0,1.76345137143507,1.19407958278849,2.2785763610585,1.27503348818265,1.60801868767807,1.09725427898127,0.69781862892008,0.0828497613595406,1.25036807207197,0.346440216030052,1.25418008128379,0.0941090716428309
"111",3e+05,0.8,0.01,0,1.56042659827122,1.11052731706879,1.45577942223714,1.18246783391277,1.56199787532391,1.07519869242226,0.76696968450525,0.0703141409427661,0.508834242611817,0.0933011568396783,0.67249824990054,0.0609922440825411
"121",30000,0.3,0.001,0,1.4370300099649,1.12483375408655,1.90547955013846,1.27538356941875,1.42184524274513,1.23868606916627,0.48484174366589,0.0731401491326296,1.05145197926876,0.251409724401823,0.405453782876572,0.135152331041392
"131",3e+05,0.3,0.001,0,1.71544343407014,1.09022319817733,1.23161295695132,1.09555976005973,1.45900590425708,1.08009749663415,1.06209658934156,0.0581931848924119,0.305928593166241,0.0811877847705854,0.445030157336734,0.0468560934153797
"141",30000,0.8,0.001,0,1.45257522121467,1.07986344234591,1.63995473437217,1.09215799935799,1.95125487470858,1.1088301911497,0.580393100193402,0.0620473122956556,0.465308216372246,0.0478931345622838,1.36225712768754,0.0883475592555048
"151",3e+05,0.8,0.001,0,3.37954527736011,1.13801122580821,1.1125041431314,1.04372600903705,6.50985956289015,1.16413114028691,5.46560864496166,0.0876798480694814,0.186233631900669,0.0391459075665067,5.10954194799964,0.0769363912659634
"161",30000,0.3,0.01,1,2.43275238560392,1.17871280986013,1.71082646169529,1.48109691737971,1.66798972293651,1.39276842785508,2.77632184237659,0.530242887033775,0.423327311762975,0.215532365029002,1.24928359482534,0.266395604203195
"171",3e+05,0.3,0.01,1,1.45915669878366,1.11820712339085,1.49921469781085,1.07110398560238,1.4364144696127,1.06927447687788,0.646381517100212,0.0628778762849826,0.496097848564075,0.109106812944999,0.640654932044418,0.0682091664063382
"181",30000,0.8,0.01,1,1.68391228347952,1.11860531876748,3.31506106737275,1.38457450710045,1.57452271918053,1.07751750478008,0.526673016690253,0.060378559527708,2.03177539174559,0.274506157191885,0.781398707562351,0.0777677228663244
"191",3e+05,0.8,0.01,1,1.55189059617584,1.09966273607182,2.59399967671561,1.16343056442422,2.37093620125976,1.10697102002386,0.559872325366433,0.0680122639663732,3.8906193315579,0.204952432378774,2.74939610097554,0.0703196355927952
"201",30000,0.3,0.001,1,1.57896819257618,1.19669877731886,1.77157209786287,1.27169548628561,1.57003195195388,1.32648713530122,0.570296797398484,0.0961744185574727,1.11533245463903,0.258406711887607,0.571051544043345,0.264501539840015
"211",3e+05,0.3,0.001,1,1.67353208179446,1.10949134277533,1.07678920901392,1.07084827018902,1.81885112550436,1.10019027943991,0.997037859176684,0.0597312930223064,0.178201545416976,0.044392806020869,1.52162545564418,0.071011556713259
"221",30000,0.8,0.001,1,1.53588008436601,1.1235450046396,1.22322226922001,1.17271639398325,1.59192973819714,1.09866827641289,0.60492756249753,0.0873468980627553,0.279435273430832,0.195427114872877,0.758495762248427,0.0675559507436327
"231",3e+05,0.8,0.001,1,3.25569428952906,1.10262562390924,1.44889066682133,1.06469902183004,6.54151081637055,1.19225695587307,4.54134101608531,0.0576748528714988,0.449539933215454,0.0553869734019953,8.71864068198002,0.0962807203728707
