"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,0.958528802529623,-0.00181335738325731,-0.00181335738325731,-0.969238974352973,0.00756425058058171,0.000153736784411039,0.000153736784411039,0.00571732365285885,"EB"
"11",3e+05,0.3,0.01,-1,0.607540374031919,-2.25849930556093e-05,-2.25849930556093e-05,-0.486375976117171,0.00920475503877336,1.76439710343652e-06,1.76439710343652e-06,0.0269456939405261,"EB"
"21",30000,0.8,0.01,-1,0.794357527208681,-0.000973408636111989,-0.000973408636111989,-0.829955206948028,0.0142696316170224,4.8089507713702e-05,4.8089507713702e-05,0.0113442954217565,"EB"
"31",3e+05,0.8,0.01,-1,0.540808460104741,-1.08872805153038e-05,-1.08872805153038e-05,-0.32203018600694,0.0141589302689666,1.13378106248884e-06,1.13378106248884e-06,0.0217951463906796,"EB"
"41",30000,0.3,0.001,-1,0.782485204492141,-0.00121618293189815,-0.00121618293189815,-0.825859912780952,0.0273125360862885,7.72165471693266e-05,7.72165471693266e-05,0.0219769855504554,"EB"
"51",3e+05,0.3,0.001,-1,0.602996816040096,-7.41853561057712e-05,-7.41853561057712e-05,-0.772839204411885,0.0135105079359971,4.82205049563148e-06,4.82205049563148e-06,0.028777222170507,"EB"
"61",30000,0.8,0.001,-1,0.689357844902745,-0.000964203019906613,-0.000964203019906613,-0.794320243577336,0.018351124569869,0.000101223542946598,0.000101223542946598,0.030468183685463,"EB"
"71",3e+05,0.8,0.001,-1,0.563516385087646,-6.99348313628375e-05,-6.99348313628375e-05,-0.773496623814522,0.0198495882155144,4.89535798547863e-06,4.89535798547863e-06,0.0229499030248975,"EB"
"81",30000,0.3,0.01,0,0.960116384906843,-0.00184084119289543,-0.00184084119289543,-0.974028790378835,0.00742464382816421,0.000115098064743503,0.000115098064743503,0.00320782172381493,"EB"
"91",3e+05,0.3,0.01,0,0.604270542891155,-2.53294148107264e-05,-2.53294148107264e-05,-0.576066257037435,0.00769239821649342,2.33507584648434e-06,2.33507584648434e-06,0.017496705512847,"EB"
"101",30000,0.8,0.01,0,0.797384962068319,-0.000962021024672043,-0.000962021024672043,-0.857695739574506,0.018875444877809,6.06651868988635e-05,6.06651868988635e-05,0.00815529663522215,"EB"
"111",3e+05,0.8,0.01,0,0.536504924023835,-1.34051869974217e-05,-1.34051869974217e-05,-0.415749803857006,0.015240499664593,7.65611947655801e-07,7.65611947655801e-07,0.0143894210849185,"EB"
"121",30000,0.3,0.001,0,0.796273788324797,-0.00128775166358795,-0.00128775166358795,-0.879234193180249,0.0157567373300715,7.83931254441474e-05,7.83931254441474e-05,0.0127198665897439,"EB"
"131",3e+05,0.3,0.001,0,0.606441226092713,-7.81990486257159e-05,-7.81990486257159e-05,-0.788563984732088,0.0190013144541259,4.86134815171971e-06,4.86134815171971e-06,0.0246612282548596,"EB"
"141",30000,0.8,0.001,0,0.695035039431356,-0.000982071617513018,-0.000982071617513018,-0.823895586897661,0.0145926705222018,7.51534452174154e-05,7.51534452174154e-05,0.0123894943171692,"EB"
"151",3e+05,0.8,0.001,0,0.58284853354711,-7.5280980430671e-05,-7.5280980430671e-05,-0.779525383151562,0.0167818904168302,6.77409926862187e-06,6.77409926862187e-06,0.0221256057410176,"EB"
"161",30000,0.3,0.01,1,0.980163569040507,-0.00188329960950672,-0.00188329960950672,-0.979013650462307,0.0060896208562789,0.00012917335463149,0.00012917335463149,0.00364049881212518,"EB"
"171",3e+05,0.3,0.01,1,0.601714901999723,-2.38000137255111e-05,-2.38000137255111e-05,-0.583095934471249,0.00675712587709388,2.17728684554327e-06,2.17728684554327e-06,0.0221412082603801,"EB"
"181",30000,0.8,0.01,1,0.81661361655223,-0.000987224115239887,-0.000987224115239887,-0.872118264007087,0.0142074124201275,7.40190832520439e-05,7.40190832520439e-05,0.0064230901840692,"EB"
"191",3e+05,0.8,0.01,1,0.481310142223702,-1.44359690293064e-05,-1.44359690293064e-05,-0.450806039463292,0.0168515713842823,1.32091741102072e-06,1.32091741102072e-06,0.0271684069313383,"EB"
"201",30000,0.3,0.001,1,0.798063476619218,-0.00124434204897841,-0.00124434204897841,-0.877601449697956,0.0191627451947285,5.36658324118382e-05,5.36658324118382e-05,0.00999337812573474,"EB"
"211",3e+05,0.3,0.001,1,0.607957020472667,-8.32694221821506e-05,-8.32694221821506e-05,-0.79854871763546,0.0116280428607756,6.76120565647637e-06,6.76120565647637e-06,0.0422109745817068,"EB"
"221",30000,0.8,0.001,1,0.664463839556461,-0.000959328992770618,-0.000959328992770618,-0.826026929821114,0.0218775908716681,6.16516480739823e-05,6.16516480739823e-05,0.0211120473638473,"EB"
"231",3e+05,0.8,0.001,1,0.583242614475602,-8.10998127551329e-05,-8.10998127551329e-05,-0.830882988274736,0.0157406616083757,4.13190772152105e-06,4.13190772152105e-06,0.0223718618289823,"EB"
"12",30000,0.3,0.01,-1,0.948236150140324,-0.00181551120821858,-0.00181551120821858,-0.970321174320806,0.00958037410403457,0.000155218658371058,0.000155218658371058,0.00327524623851442,"FIQT"
"112",3e+05,0.3,0.01,-1,0.461667879703094,-1.56472630712858e-05,-1.56472630712858e-05,-0.336636496439489,0.00728828781883502,1.87662022254558e-06,1.87662022254558e-06,0.0324567063324835,"FIQT"
"212",30000,0.8,0.01,-1,0.712704735875357,-0.000946719479456225,-0.000946719479456225,-0.807171355445781,0.0131292660572505,4.68784570250403e-05,4.68784570250403e-05,0.00964937277269818,"FIQT"
"311",3e+05,0.8,0.01,-1,0.347673420701081,-3.64297034685996e-06,-3.64297034685996e-06,-0.107147562344613,0.00623830220935628,1.04387012943999e-06,1.04387012943999e-06,0.026275470650706,"FIQT"
"411",30000,0.3,0.001,-1,0.728054366005044,-0.00117158445494484,-0.00117158445494484,-0.795425990043553,0.0153629668335015,7.96407812299112e-05,7.96407812299112e-05,0.0230529412287881,"FIQT"
"511",3e+05,0.3,0.001,-1,0.489638498807049,-6.57915475845503e-05,-6.57915475845503e-05,-0.6854273175637,0.00892131372178665,4.06312526782394e-06,4.06312526782394e-06,0.0219573618712613,"FIQT"
"611",30000,0.8,0.001,-1,0.600742129139416,-0.000875851590183579,-0.000875851590183579,-0.721098164921168,0.014822668959812,0.000101045197391863,0.000101045197391863,0.0355591379449416,"FIQT"
"711",3e+05,0.8,0.001,-1,0.444798497702035,-6.3692000597535e-05,-6.3692000597535e-05,-0.704638370076596,0.0112884356241721,4.07971019789942e-06,4.07971019789942e-06,0.0186905575642197,"FIQT"
"811",30000,0.3,0.01,0,0.9491098806586,-0.00184162097524838,-0.00184162097524838,-0.974456711312891,0.00684094311029506,0.000114542796342279,0.000114542796342279,0.00269730433583493,"FIQT"
"911",3e+05,0.3,0.01,0,0.447653344192998,-1.81769813564458e-05,-1.81769813564458e-05,-0.412265543273611,0.00764763877444776,2.46156311403145e-06,2.46156311403145e-06,0.0290514843301091,"FIQT"
"1011",30000,0.8,0.01,0,0.706441604804852,-0.000929993518533047,-0.000929993518533047,-0.828674919981298,0.0178619481356653,6.68415377236265e-05,6.68415377236265e-05,0.00814643398264081,"FIQT"
"1111",3e+05,0.8,0.01,0,0.341431867323978,-7.37383553993881e-06,-7.37383553993881e-06,-0.22825636271026,0.00859369898763382,9.68533288380066e-07,9.68533288380066e-07,0.0245188104989516,"FIQT"
"1211",30000,0.3,0.001,0,0.725995662082166,-0.00123388416006563,-0.00123388416006563,-0.842319186034622,0.0142904995058196,7.69922674359548e-05,7.69922674359548e-05,0.00814802838575233,"FIQT"
