"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"1",1,30000,0.3,0.01,-1,1,-0.00265399527294362,-0.0272206863338682,-0.68247805275174,"EB"
"2",2,30000,0.3,0.01,-1,100,100,100,100,"EB"
"3",3,30000,0.3,0.01,-1,1,-0.00050317440869095,-0.0183171369887645,-0.960038852032875,"EB"
"4",4,30000,0.3,0.01,-1,100,100,100,100,"EB"
"5",5,30000,0.3,0.01,-1,1,-0.00225956710931689,-0.0311966072532378,-0.841673248916036,"EB"
"6",6,30000,0.3,0.01,-1,100,100,100,100,"EB"
"7",7,30000,0.3,0.01,-1,100,100,100,100,"EB"
"8",8,30000,0.3,0.01,-1,1,-0.00479459497426434,-0.04557880654019,-0.843662333603401,"EB"
"9",9,30000,0.3,0.01,-1,1,-0.000621965982453617,-0.0220474571274865,-0.98496306356732,"EB"
"10",10,30000,0.3,0.01,-1,100,100,100,100,"EB"
"11",1,3e+05,0.3,0.01,-1,0.639953542392567,-5.48389636574765e-06,-0.000771252267916363,-0.353115630426227,"EB"
"12",2,3e+05,0.3,0.01,-1,0.659649122807018,-6.07638425408185e-06,-0.000919923830294957,-0.429205174495265,"EB"
"13",3,3e+05,0.3,0.01,-1,0.654888103651355,-7.14159666914843e-06,-0.000993287692480097,-0.426594084082234,"EB"
"14",4,3e+05,0.3,0.01,-1,0.628440366972477,-6.45836275902358e-06,-0.00089718366196205,-0.394164058478951,"EB"
"15",5,3e+05,0.3,0.01,-1,0.670068027210884,-6.665265560251e-06,-0.000964037985418834,-0.429587812745465,"EB"
"16",6,3e+05,0.3,0.01,-1,0.665501165501165,-7.25204103649332e-06,-0.00105084532274514,-0.458741498903555,"EB"
"17",7,3e+05,0.3,0.01,-1,0.650060753341434,-4.98193024935169e-06,-0.000741615984196157,-0.358148639995259,"EB"
"18",8,3e+05,0.3,0.01,-1,0.650341685649203,-5.87842558612241e-06,-0.000790338131937276,-0.347305269963613,"EB"
"19",9,3e+05,0.3,0.01,-1,0.645808736717828,-6.43599840263055e-06,-0.000900806236001666,-0.397711544911524,"EB"
"20",10,3e+05,0.3,0.01,-1,0.648998822143698,-6.46032721293506e-06,-0.000918981461879536,-0.40898267479184,"EB"
"21",1,30000,0.8,0.01,-1,0.954545454545455,-0.000262258060213825,-0.010308923588418,-0.820852546231281,"EB"
"22",2,30000,0.8,0.01,-1,0.863636363636364,-0.00025496854774469,-0.0100756669245648,-0.814714267464816,"EB"
"23",3,30000,0.8,0.01,-1,1,-0.000363629773133795,-0.013346103261508,-0.882741127242756,"EB"
"24",4,30000,0.8,0.01,-1,0.892857142857143,-0.000235507873299282,-0.0103158652703044,-0.857462551204671,"EB"
"25",5,30000,0.8,0.01,-1,0.956521739130435,-0.000510969151152939,-0.0163486609693378,-0.901951469056858,"EB"
"26",6,30000,0.8,0.01,-1,0.9,-0.000230900932996683,-0.0100619192687922,-0.847611283703241,"EB"
"27",7,30000,0.8,0.01,-1,1,-0.000345202011079036,-0.0101245662177257,-0.7061464757209,"EB"
"28",8,30000,0.8,0.01,-1,0.916666666666667,-0.00025366043347814,-0.0107983895611594,-0.862986206758293,"EB"
"29",9,30000,0.8,0.01,-1,0.894736842105263,-0.000251026151024018,-0.0103700416063264,-0.839859804543952,"EB"
"30",10,30000,0.8,0.01,-1,0.91304347826087,-0.000515527984075599,-0.0153428212863464,-0.860842314650544,"EB"
"31",1,3e+05,0.8,0.01,-1,0.554153522607781,-1.37294819774222e-06,-0.000201599794128954,-0.111698404102951,"EB"
"32",2,3e+05,0.8,0.01,-1,0.560332369942196,-2.125375776118e-06,-0.000305342077875127,-0.161030177176724,"EB"
"33",3,3e+05,0.8,0.01,-1,0.571079287460706,-2.08284703171118e-06,-0.000284306709179782,-0.143848915414688,"EB"
"34",4,3e+05,0.8,0.01,-1,0.566492146596859,-1.46514159317683e-06,-0.000201485806535192,-0.104937233945898,"EB"
"35",5,3e+05,0.8,0.01,-1,0.55225988700565,-1.78835308438517e-06,-0.000257570881843517,-0.137962606791777,"EB"
"36",6,3e+05,0.8,0.01,-1,0.553169014084507,-1.11334935213918e-06,-0.000156283291676589,-0.0840242566970407,"EB"
