"","n_samples","h2","prop_effect","S","n_sig","prop_bias","prop_x","mse","n_sig_sd","prop_bias_sd","prop_x_sd","mse_sd"
"1",30000,0.3,0.01,-1,0.61,1,0.958333333333333,0.00187383467746497,0.802710056211727,0,0.172850400583603,0.00334890830339619
"101",3e+05,0.3,0.01,-1,855.06,0.774062119192848,0.090964387815846,1.61371541339825e-05,19.6395910179804,0.0126544034157725,0.00901090044339519,1.2715952685877e-06
"201",30000,0.8,0.01,-1,24.74,0.996787626272334,0.485985606785427,0.000473747741514056,5.18081152724243,0.0111328625854468,0.11899012403146,0.000206673364724447
"301",3e+05,0.8,0.01,-1,2820.65,0.624301204142885,0.0469976706850267,1.38004310906111e-05,27.5051418517125,0.00851598919682254,0.00428462048414244,7.28883001744746e-07
"401",30000,0.3,0.001,-1,85.88,0.770911416470357,0.0882103646108355,0.000160689321151011,5.68940180768532,0.0503015036783224,0.029410442130713,4.14673043910431e-05
"501",3e+05,0.3,0.001,-1,574.45,0.551339561240627,0.0337467688591502,1.4705619733061e-05,12.7559651326211,0.0206890913557818,0.00798496775811882,1.70644419464758e-06
"601",30000,0.8,0.001,-1,281.92,0.625153086819689,0.0475442602021767,0.000135890157937289,8.026068637744,0.0287065656220901,0.0118264013863631,2.21876691103788e-05
"701",3e+05,0.8,0.001,-1,729.09,0.52638382561927,0.0287899480322671,1.48250155721369e-05,12.6308064955201,0.0176661520239485,0.00559773008795781,1.31381737591661e-06
"801",30000,0.3,0.01,0,0.44,1,1,0.00249037314442258,0.686375342732467,0,0,0.00690584343536548
"901",3e+05,0.3,0.01,0,906.91,0.774951101860887,0.0855370609349524,1.16001304918886e-05,18.9449468223326,0.0132323538818085,0.0093908838457994,6.2979815415384e-07
"1001",30000,0.8,0.01,0,22.5,1,0.572401636038661,0.000392193561862741,4.52043619956564,0,0.105797626857345,8.65548593701447e-05
"1101",3e+05,0.8,0.01,0,2867.23,0.612994769841237,0.0441585623494099,1.01568730999281e-05,29.5278861520099,0.00903082380666256,0.00381946206054864,3.8121040176298e-07
"1201",30000,0.3,0.001,0,91.79,0.779334371492311,0.0866881585856829,0.000119891966459469,6.70337620347035,0.045640253330473,0.0286100402189754,2.60907432867453e-05
"1301",3e+05,0.3,0.001,0,543.36,0.542618145909517,0.0315446998695617,1.17681393422687e-05,10.6860808172278,0.0229999101577979,0.0082979577871994,1.29692811347017e-06
"1401",30000,0.8,0.001,0,285.41,0.609303910064938,0.0419631835246606,0.000101459351310605,9.31285090180187,0.0281840537859329,0.0111223166531312,1.27580336793743e-05
"1501",3e+05,0.8,0.001,0,693.12,0.528855815300714,0.0306706192765117,1.33689586087725e-05,12.1864969154678,0.0175737238461957,0.00750368000294488,1.29001482799727e-06
"1601",30000,0.3,0.01,1,0.52,1,1,0.00140225106135691,0.717459040466754,0,0,0.0011085949609522
"1701",3e+05,0.3,0.01,1,918.79,0.819314643396922,0.094451273583886,1.18841615960611e-05,19.8455119217002,0.0133272764796586,0.00963340447746262,6.34436349527527e-07
"1801",30000,0.8,0.01,1,15.89,1,0.752088791454504,0.000473576528437683,3.4079378521388,0,0.118762125979895,9.72124582576193e-05
"1901",3e+05,0.8,0.01,1,3130.86,0.601416570475955,0.0392411695294543,9.55748100763436e-06,26.1128166217126,0.00982010493731335,0.00337540841146737,3.40795996618121e-07
"2001",30000,0.3,0.001,1,91.9,0.822079741311244,0.0879316303608148,0.000118886518842173,5.90069333368392,0.0404035885977865,0.0293085406444144,2.28886305471967e-05
"2101",3e+05,0.3,0.001,1,521.36,0.535002672174885,0.0308530686847147,1.20808489430919e-05,8.48113771670387,0.0211849833483826,0.00805007658371589,1.30641489140158e-06
"2201",30000,0.8,0.001,1,313.57,0.599470043320816,0.0392012765099708,9.47333718597884e-05,8.84348187747178,0.0281709577385956,0.012292863163765,1.02480613055347e-05
"2301",3e+05,0.8,0.001,1,628.44,0.523133092195765,0.029792501914447,1.34953899858368e-05,10.0033529732321,0.018391012311397,0.00654911258783984,1.18158317976771e-06
