"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,1,-0.00168788749122056,-0.888159774024714,0,0.000900771234948365,0.170929139660211,"EB"
"11",3e+05,0.3,0.01,-1,0.645088055738364,-6.2524487623589e-06,-0.397522810194512,0.0127898577876239,7.95102851146374e-07,0.0386753039297287,"EB"
"21",30000,0.8,0.01,-1,0.940288767214598,-0.000412319561001231,-0.789116193127814,0.0380739915650552,0.000144424980646905,0.093493715096611,"EB"
"31",3e+05,0.8,0.01,-1,0.567380654136745,-1.65357744349811e-06,-0.120841359402569,0.00875021506015754,2.46567845695585e-07,0.0145066311237787,"EB"
"41",30000,0.3,0.001,-1,0.576278130639313,-2.20878234410486e-05,-0.108091203927898,0.140999269074531,5.82287156314377e-05,0.332751098390047,"EB"
"51",3e+05,0.3,0.001,-1,0.492963062253461,3.89196314492432e-07,0.0299928001025768,0.0261441391290171,4.94216719601155e-07,0.0364162409178814,"EB"
"61",30000,0.8,0.001,-1,0.524125020373597,-9.53506527032829e-06,-0.0637498325710287,0.0436763112383374,1.14871466031626e-05,0.0862928027515057,"EB"
"71",3e+05,0.8,0.001,-1,0.477831198208969,7.87014232242361e-07,0.0519506829302026,0.0165513549729598,4.86729074213845e-07,0.0324575834616989,"EB"
"81",30000,0.3,0.01,0,1,-0.000764214213479639,-0.991691516133876,0,0.000131168898555887,0.00705699131518337,"EB"
"91",3e+05,0.3,0.01,0,0.654563713385343,-4.79693873287683e-06,-0.394554270354544,0.0201026964725274,4.19264159550778e-07,0.0262602021166832,"EB"
"101",30000,0.8,0.01,0,0.946462499851725,-0.000332180904424258,-0.791223631388459,0.0535953624844593,7.97619277579973e-05,0.0706674664979714,"EB"
"111",3e+05,0.8,0.01,0,0.551695896796502,-1.09795210924388e-06,-0.108430692974267,0.00617098276606402,1.4598017209413e-07,0.0123450808100663,"EB"
"121",30000,0.3,0.001,0,0.674107605279936,-3.51455307050551e-05,-0.318270970051972,0.0646100074259145,1.10721803887446e-05,0.0840525534147727,"EB"
"131",3e+05,0.3,0.001,0,0.477259343599391,3.26182031948218e-07,0.0285226805185048,0.0196628117042792,1.64156486306392e-07,0.0148549811517872,"EB"
"141",30000,0.8,0.001,0,0.51435277005715,-2.89879825206191e-06,-0.0256978369998671,0.0539853107350276,8.62118960461176e-06,0.0761599893974143,"EB"
"151",3e+05,0.8,0.001,0,0.480645423673783,6.12200379846962e-07,0.0492903675789758,0.0250989398369989,2.16574486891253e-07,0.0203593483092107,"EB"
"161",30000,0.3,0.01,1,1,-0.00125152836636584,-0.963123116781685,NA,NA,NA,"EB"
"171",3e+05,0.3,0.01,1,0.693710074200749,-5.93186289297574e-06,-0.489391559568224,0.0212844695600126,5.16724372554992e-07,0.0309995280053886,"EB"
"181",30000,0.8,0.01,1,0.983766233766234,-0.000374303221256117,-0.871098868076454,0.0345304245314801,6.38532621425087e-05,0.0333110354360858,"EB"
"191",3e+05,0.8,0.01,1,0.555506122477714,-1.09621215015445e-06,-0.113560490141344,0.0116920454132709,1.17682435326377e-07,0.00981952847209125,"EB"
"201",30000,0.3,0.001,1,0.679396041702646,-3.6202079538891e-05,-0.303035334552396,0.0988890662016669,4.94170835953891e-05,0.356420149244192,"EB"
"211",3e+05,0.3,0.001,1,0.489614782018496,6.27852299754308e-07,0.0525483974581829,0.0307757696626403,8.24065584375016e-07,0.0757239422741855,"EB"
"221",30000,0.8,0.001,1,0.490259337091908,9.05739054593007e-06,0.0926067435995686,0.0600759091081879,1.86802769870049e-05,0.189667920594728,"EB"
"231",3e+05,0.8,0.001,1,0.481939833691818,5.93307187036425e-07,0.0418249102133689,0.0172464903130469,5.62228096698961e-07,0.0364678130169034,"EB"
"12",30000,0.3,0.01,-1,1,-0.00179123208403624,-0.908218787629433,0,0.00110747350820914,0.110396254214865,"FIQT"
"112",3e+05,0.3,0.01,-1,0.458558816114539,-1.3478582392771e-06,-0.0840955972966073,0.0078843743708943,1.16377620705044e-06,0.0729252597305509,"FIQT"
"212",30000,0.8,0.01,-1,0.854038245393424,-0.000447864645135638,-0.854434524276533,0.0681188489229152,0.000145710456911957,0.0396311823163176,"FIQT"
"311",3e+05,0.8,0.01,-1,0.279291608827387,3.59949238584845e-06,0.265292994368585,0.00795236780832037,6.57849718134164e-07,0.056504363904915,"FIQT"
"411",30000,0.3,0.001,-1,0.377053600108636,3.58753518869849e-05,0.314703559040875,0.0495777565794506,5.46721419245267e-05,0.425994970666297,"FIQT"
"511",3e+05,0.3,0.001,-1,0.134362172900471,5.85671273263731e-06,0.417398693830417,0.0185557623490969,1.75155467685203e-06,0.134246068141617,"FIQT"
"611",30000,0.8,0.001,-1,0.215013881862372,8.73010272251286e-05,0.649577021261884,0.0226683800867141,3.26031977208933e-05,0.321210676981205,"FIQT"
"711",3e+05,0.8,0.001,-1,0.100892668209973,4.32216179450099e-06,0.287187654240675,0.0114053501788286,1.12903092554798e-06,0.0660416571395253,"FIQT"
"811",30000,0.3,0.01,0,1,-0.000765007263174571,-0.992489485951545,0,0.000132553187973879,0.0103319256578004,"FIQT"
"911",3e+05,0.3,0.01,0,0.464788042960956,-1.33613495082466e-06,-0.107486448206254,0.0197683153781239,8.28807009112989e-07,0.0629786429997155,"FIQT"
"1011",30000,0.8,0.01,0,0.891934351387258,-0.000358641126156194,-0.84338025297419,0.0487836326523835,9.9926216718839e-05,0.0515930495585689,"FIQT"
"1111",3e+05,0.8,0.01,0,0.266774495812119,2.67819656694354e-06,0.266465894711587,0.00914487821070889,3.86731646982614e-07,0.0469532704342913,"FIQT"
"1211",30000,0.3,0.001,0,0.341768851393429,5.87303232828397e-05,0.559489684141925,0.0505263852430199,2.10908117540746e-05,0.241864145605815,"FIQT"
"1311",3e+05,0.3,0.001,0,0.126552362845876,4.54578337251866e-06,0.398764488952553,0.0135791687453905,1.67250635478619e-06,0.155889715508919,"FIQT"
"1411",30000,0.8,0.001,0,0.195447907109001,6.70178306734707e-05,0.618960553121996,0.0246826608093778,1.72673156810293e-05,0.200903182106658,"FIQT"
"1511",3e+05,0.8,0.001,0,0.103178712725154,4.2999834510457e-06,0.335097549587964,0.0123626439270653,1.1696239094165e-06,0.0731794087545385,"FIQT"
"1611",30000,0.3,0.01,1,1,-0.0011421278717826,-0.878933139029579,NA,NA,NA,"FIQT"
"1711",3e+05,0.3,0.01,1,0.527813042180144,-3.14519336224364e-06,-0.258695581231891,0.0156944357976986,5.25532678654208e-07,0.0336811261713809,"FIQT"
"1811",30000,0.8,0.01,1,0.944877344877345,-0.000397403463408203,-0.919886205906378,0.0596981264791292,8.10110066741107e-05,0.0343223708716955,"FIQT"
"1911",3e+05,0.8,0.01,1,0.258778027910563,2.89929662080344e-06,0.301785006661796,0.00731092858548584,3.8855631725332e-07,0.0466450776924419,"FIQT"
"2011",30000,0.3,0.001,1,0.406887548046554,2.06185681993391e-05,0.191866024631164,0.0647691004710589,2.7968997809182e-05,0.242628810022868,"FIQT"
"2111",3e+05,0.3,0.001,1,0.113325514053276,3.72897475433234e-06,0.318088017649545,0.00828379534831458,1.63193538670002e-06,0.152855885916951,"FIQT"
"2211",30000,0.8,0.001,1,0.185535727286229,7.17957108403552e-05,0.718926028033186,0.0214763181922929,1.1462030417793e-05,0.147417160960352,"FIQT"
"2311",3e+05,0.8,0.001,1,0.0917650668761648,4.0973991120169e-06,0.308073148378553,0.00858027957350647,1.25912218476259e-06,0.0931459268343907,"FIQT"
"13",30000,0.3,0.01,-1,1,-0.00180716162653968,-0.914027404143568,0,0.00111691409898354,0.110638036290037,"BR"
"113",3e+05,0.3,0.01,-1,0.624411483255672,-5.62773337069999e-06,-0.357687966415205,0.0137509437410541,7.80904025205616e-07,0.0384068978910781,"BR"
"213",30000,0.8,0.01,-1,0.922940656991488,-0.000455361637870532,-0.870707053872711,0.031844908595821,0.000144298289629768,0.0315456831995936,"BR"
"312",3e+05,0.8,0.01,-1,0.543414691601975,-6.9328532561067e-07,-0.0496621643968989,0.00839866854903003,6.13401865036782e-07,0.0438405834121708,"BR"
"412",30000,0.3,0.001,-1,0.553662429166613,-1.98649014257687e-05,-0.0548510478477875,0.0565585045756053,4.22451417142288e-05,0.247849587813846,"BR"
"512",3e+05,0.3,0.001,-1,0.290006754436473,9.72155858689381e-06,0.694383174017071,0.016011604547204,2.62191424199466e-06,0.22021178474746,"BR"
"612",30000,0.8,0.001,-1,0.32078096443223,7.83627477447108e-05,0.589426094589629,0.031362956866962,3.21621147381952e-05,0.307283338767887,"BR"
"712",3e+05,0.8,0.001,-1,0.282810990199372,9.29408702008539e-06,0.618091626576925,0.0277341144481051,1.62561757281417e-06,0.0902757806074472,"BR"
"812",30000,0.3,0.01,0,1,-0.000752094789754422,-0.976593259473493,0,0.000125067509962405,0.00452803986895998,"BR"
"912",3e+05,0.3,0.01,0,0.64110055493876,-4.63640619588919e-06,-0.380716894813688,0.0227734134495934,4.8295857207443e-07,0.0245593963372214,"BR"
"1012",30000,0.8,0.01,0,0.917591356476045,-0.000360826859171599,-0.85445404413898,0.0446553256433899,9.04852924061779e-05,0.0503919911266091,"BR"
"1112",3e+05,0.8,0.01,0,0.537545898211009,-9.70208715912228e-07,-0.0956873382447319,0.00623597616823111,1.38154986984586e-07,0.0109582940194933,"BR"
"1212",30000,0.3,0.001,0,0.554108223701933,-9.08871890886444e-06,-0.0742573252587949,0.0492459822644334,1.59751390994849e-05,0.143142314298518,"BR"
"1312",3e+05,0.3,0.001,0,0.288540475808044,6.5710297153641e-06,0.576248812808137,0.035164538222206,1.65196905082977e-06,0.158286071303927,"BR"
"1412",30000,0.8,0.001,0,0.300572702943114,5.3416485629455e-05,0.492192152007231,0.0373260713281113,1.84726125073754e-05,0.189962689506826,"BR"
"1512",3e+05,0.8,0.001,0,0.302882211226216,8.11455921005787e-06,0.63945326525019,0.0537589799948386,1.29697134550544e-06,0.099705930419283,"BR"
"1612",30000,0.3,0.01,1,1,-0.00129629291764991,-0.997572015674199,NA,NA,NA,"BR"
"1712",3e+05,0.3,0.01,1,0.681789479247541,-5.81760847786577e-06,-0.48031232268282,0.0167444640036046,3.28787114823281e-07,0.0165115441122575,"BR"
"1812",30000,0.8,0.01,1,0.971266233766234,-0.000397315956936414,-0.922239016185159,0.0378926999807448,7.42205240787468e-05,0.030608543414873,"BR"
"1912",3e+05,0.8,0.01,1,0.542101830837902,-1.10809515395919e-06,-0.114702776739086,0.00830107402425319,1.53706284041925e-07,0.0132875536191939,"BR"
"2012",30000,0.3,0.001,1,0.607348657859231,-3.79783602711579e-05,-0.289649208143685,0.0779586074271046,1.98396082894169e-05,0.119045305996722,"BR"
"2112",3e+05,0.3,0.001,1,0.264229787263223,5.75550936479364e-06,0.488822367010292,0.0355250856217415,2.13945256282333e-06,0.235194846881383,"BR"
"2212",30000,0.8,0.001,1,0.324545289845095,4.23371209930122e-05,0.424993848836123,0.0322542499982823,1.21801060609224e-05,0.129702301274834,"BR"
"2312",3e+05,0.8,0.001,1,0.249565454280462,7.35774315662134e-06,0.554008847526153,0.0430470883006276,1.6020983863132e-06,0.130356320755431,"BR"
"14",30000,0.3,0.01,-1,1,-0.00152661543294757,-0.71891434976588,0,0.00112111097901602,0.191423873597527,"cl1"
"114",3e+05,0.3,0.01,-1,0.531120681388894,3.78640835627657e-05,2.42195072591803,0.0145221784429608,4.78346072294055e-06,0.366159513227262,"cl1"
"214",30000,0.8,0.01,-1,0.634329864650837,5.55492780851129e-05,0.131079513972249,0.118238450169109,0.000167851288682376,0.326187047284352,"cl1"
"313",3e+05,0.8,0.01,-1,0.515915461220531,2.91074631122826e-05,2.1411139265259,0.00854048845289772,3.6363393565624e-06,0.320154772412584,"cl1"
"413",30000,0.3,0.001,-1,0.55830510140004,0.000376342167076373,2.3711979736957,0.0496122196136515,0.000103178971379897,0.979283666336418,"cl1"
"513",3e+05,0.3,0.001,-1,0.507941181850211,1.67315935976638e-05,1.20117032438598,0.0279714976877314,6.04095567142338e-06,0.493617229580499,"cl1"
"613",30000,0.8,0.001,-1,0.513582511290133,0.000271601864275592,1.96492890638889,0.0428259682672669,6.80591577506814e-05,0.622419916194976,"cl1"
"713",3e+05,0.8,0.001,-1,0.499364857734582,1.16487147305609e-05,0.779559126847643,0.0241012306211211,4.73086155228149e-06,0.316959325595264,"cl1"
"813",30000,0.3,0.01,0,1,-0.000490294305781962,-0.628006507052232,0,0.000141422260245328,0.0948295641837813,"cl1"
"913",3e+05,0.3,0.01,0,0.535433139564389,2.9298847990082e-05,2.41936641425686,0.0196796045220711,1.07038886351517e-06,0.199774662658092,"cl1"
"1013",30000,0.8,0.01,0,0.640325452534311,-4.52403897717363e-06,0.0611999944876652,0.0647699962431756,0.000138398764630938,0.362221893703523,"cl1"
"1113",3e+05,0.8,0.01,0,0.51004987407513,2.08295237985402e-05,2.06513325703909,0.00645546908927099,1.42725865691606e-06,0.188480955299641,"cl1"
