"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,0.999690861447468,-0.0236886881995792,-0.141315167349157,-0.992512033904205,0.00071647341588205,0.00128465703212509,0.00451626713147673,0.0029618107263381,"EB"
"51",3e+05,0.3,0.01,-1,0.723526645711616,-0.000788801574204825,-0.0151373120805308,-0.697576235885088,0.0111846577950059,5.19705592647822e-05,0.000752083008142658,0.0174659795124931,"EB"
"101",30000,0.8,0.01,-1,0.735949846067177,-0.00853910443878518,-0.0512896637802036,-0.720003066515406,0.0161234526669261,0.000552481277437667,0.00254219440159603,0.0160512147755122,"EB"
"151",3e+05,0.8,0.01,-1,0.536576525531395,-0.000100289516042381,-0.00276329417642692,-0.262824741251361,0.0134294793315066,9.36774427502344e-06,0.000238692335566317,0.0186294461737589,"EB"
"201",30000,0.3,0.001,-1,0.914097407746219,-0.0195150822333739,-0.104433257151933,-0.919434464108228,0.00989548715397656,0.00101461389254699,0.00418140051413367,0.0128438002992824,"EB"
"251",3e+05,0.3,0.001,-1,0.672363982835994,-0.000987526568539404,-0.0185990763518437,-0.767546382746759,0.0237496762739748,8.52429216907826e-05,0.00137311323548139,0.0274738706561917,"EB"
"301",30000,0.8,0.001,-1,0.679326821336161,-0.0096195736144926,-0.0563632103236037,-0.744721230168865,0.0212607802135798,0.000766299387238422,0.00466409697860682,0.0373017965006619,"EB"
"351",3e+05,0.8,0.001,-1,0.570845702002251,-0.000761501270194549,-0.0158571785557848,-0.745894509023677,0.0133374879228732,5.86977357362451e-05,0.00101332328046423,0.0220820320870996,"EB"
"401",30000,0.3,0.01,0,0.998037572600154,-0.0231703800306855,-0.140011712560271,-0.992848207741627,0.00144702216973399,0.00137064626714035,0.0045792771281597,0.00279364054173696,"EB"
"451",3e+05,0.3,0.01,0,0.709250220922553,-0.000777863674964952,-0.0161295776885668,-0.751268706930578,0.0129927529692611,4.47684203841475e-05,0.000625587587064768,0.0118130585214936,"EB"
"501",30000,0.8,0.01,0,0.721693173829304,-0.00852084585677324,-0.0546373790483541,-0.768392515776001,0.0115969264485005,0.000541398908821195,0.00256295637760441,0.0141213258180215,"EB"
"551",3e+05,0.8,0.01,0,0.53940005027393,-0.000123897074872049,-0.00367756154946126,-0.354813007036584,0.0154573195718608,9.94003372892778e-06,0.000248303207042413,0.0162483152586365,"EB"
"601",30000,0.3,0.001,0,0.913732832894372,-0.0200290347638345,-0.110546519395109,-0.941007421983122,0.0102748303964721,0.00115188455390475,0.00427615230851359,0.0106295729163743,"EB"
