"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"1",1,30000,0.3,0.01,-1,1,-0.0321585967700625,-0.10275690734636,-0.744330599667715,"EB"
"2",2,30000,0.3,0.01,-1,100,100,100,100,"EB"
"3",3,30000,0.3,0.01,-1,100,100,100,100,"EB"
"4",4,30000,0.3,0.01,-1,100,100,100,100,"EB"
"5",5,30000,0.3,0.01,-1,1,-0.0263600985460071,-0.113827661744714,-0.883782804829319,"EB"
"6",6,30000,0.3,0.01,-1,100,100,100,100,"EB"
"7",7,30000,0.3,0.01,-1,100,100,100,100,"EB"
"8",8,30000,0.3,0.01,-1,1,-0.0538311226285441,-0.154794935614273,-0.852570711898046,"EB"
"9",9,30000,0.3,0.01,-1,100,100,100,100,"EB"
"10",10,30000,0.3,0.01,-1,100,100,100,100,"EB"
"11",1,3e+05,0.3,0.01,-1,0.870967741935484,-0.000340137257099587,-0.00853821660678326,-0.581390155611645,"EB"
"12",2,3e+05,0.3,0.01,-1,0.931506849315068,-0.000256013052941191,-0.00898000564244235,-0.728633124808611,"EB"
"13",3,3e+05,0.3,0.01,-1,0.859375,-0.000402289149026391,-0.0114082231675256,-0.738751460138671,"EB"
"14",4,3e+05,0.3,0.01,-1,0.857142857142857,-0.000293668972258127,-0.0101609458744222,-0.76982843330654,"EB"
"15",5,3e+05,0.3,0.01,-1,0.857142857142857,-0.000478966105878396,-0.0124293852636743,-0.737618062041496,"EB"
"16",6,3e+05,0.3,0.01,-1,0.913793103448276,-0.000427231049445558,-0.011475169632356,-0.720371272923328,"EB"
"17",7,3e+05,0.3,0.01,-1,0.863636363636364,-0.000326588272539106,-0.00964790853604306,-0.690415019167399,"EB"
"18",8,3e+05,0.3,0.01,-1,0.705882352941177,-0.00018125970165442,-0.00548609435828079,-0.488489014874087,"EB"
"19",9,3e+05,0.3,0.01,-1,0.872340425531915,-0.000398802908104152,-0.0121189253004213,-0.786836261595826,"EB"
"20",10,3e+05,0.3,0.01,-1,0.9375,-0.000311814137492795,-0.00921251302963769,-0.672700091904498,"EB"
"21",1,30000,0.8,0.01,-1,0.901960784313726,-0.00562130088490098,-0.0443126335032676,-0.767451675371955,"EB"
