"","X","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1",1,30000,0.3,0.01,-1,1,-0.0374499393148712,-0.123793168235116,-0.826894705465027,0,0.0144797451801028,0.027413000313915,0.0731858754191673,"EB"
"2",11,3e+05,0.3,0.01,-1,0.8669287551094,-0.000341677060643972,-0.00994573874115865,-0.69150328963721,0.0646253028365419,8.79416594360359e-05,0.00207750072341871,0.0915839586038106,"EB"
"3",21,30000,0.8,0.01,-1,0.868787871404856,-0.00359029265455275,-0.0307898302996211,-0.650276609363774,0.0599191287027545,0.00135531957939241,0.00977890581471707,0.115986219325015,"EB"
"4",31,3e+05,0.8,0.01,-1,0.558165500691055,-1.41827885685573e-05,-0.000530867255672544,-0.0763477388767626,0.00447786357513967,3.02817760702366e-06,0.000106459314200547,0.0138502055479105,"EB"
"5",41,30000,0.3,0.001,-1,0.868928571428571,-0.00271697699962954,-0.0268518078316618,-0.630579677558951,0.126644448960493,0.00137862717332352,0.012874859154903,0.272238915965105,"EB"
"6",51,3e+05,0.3,0.001,-1,0.437074624598883,-5.36188434885046e-06,-0.000191306163962603,-0.0255691429523928,0.0597511698207678,1.1121050502388e-05,0.000399203862480356,0.0569830485129407,"EB"
"7",61,30000,0.8,0.001,-1,0.443091828657917,-2.37283148744294e-05,-0.000348937582538078,-0.0166082412133571,0.0398144834806011,0.000144983452816788,0.00174454743489133,0.0862634273688827,"EB"
"8",71,3e+05,0.8,0.001,-1,0.338307653552431,6.11550900628292e-06,0.000221893783897218,0.0334014717638598,0.018848850688049,6.65219199476078e-06,0.000246697533338855,0.0383656912330578,"EB"
"9",81,30000,0.3,0.01,0,1,-0.159997050157999,-0.278756970521037,-0.880148483152264,NA,NA,NA,NA,"EB"
"10",91,3e+05,0.3,0.01,0,0.81606650119221,-0.000146812305893677,-0.00589498475356937,-0.620669455334496,0.0411200946680737,2.25883176867419e-05,0.000508379322195371,0.0387150174937366,"EB"
"11",101,30000,0.8,0.01,0,0.805883029038854,-0.00161438749447847,-0.0201472737780554,-0.642133291633481,0.0273722106843117,0.000256657178471265,0.00232322778355245,0.0384940958266421,"EB"
"12",111,3e+05,0.8,0.01,0,0.556110300983237,-1.09039255078729e-05,-0.000513336014126353,-0.0921320620331509,0.0115144186471291,1.29622088322681e-06,5.89289782683775e-05,0.00987296291883598,"EB"
"13",121,30000,0.3,0.001,0,0.712315184815185,-0.00081505036439092,-0.0122329259062075,-0.397171463675209,0.172193077266051,0.00115486956508085,0.0129536836691188,0.576578966623924,"EB"
"14",131,3e+05,0.3,0.001,0,0.413773499207,-7.53589199783986e-07,-3.25238772800621e-05,-0.00463412040914749,0.0305909858984964,4.93385580424627e-06,0.000236173007550258,0.0445558612534209,"EB"
"15",141,30000,0.8,0.001,0,0.449466408516062,-7.29197342581954e-05,-0.00104258885903069,-0.0572180894638768,0.049170902773102,5.39743713955756e-05,0.000756432355426135,0.0404280391029076,"EB"
"16",151,3e+05,0.8,0.001,0,0.310482392993977,6.69208086616604e-06,0.000263691304750146,0.0432592178738509,0.0260198180435137,6.81234346449906e-06,0.000259621136475996,0.0428596643207682,"EB"
"17",161,30000,0.3,0.01,1,1,-0.0271550537518707,-0.11541524210679,-0.883176636180498,NA,NA,NA,NA,"EB"
"18",171,3e+05,0.3,0.01,1,0.758083579342699,-9.37645477626867e-05,-0.00434326839020893,-0.557002069402812,0.0284425817245172,1.39776334585149e-05,0.000535891756343139,0.0428197054547365,"EB"
"19",181,30000,0.8,0.01,1,0.745169906493565,-0.000968645991955668,-0.0132576705330195,-0.517105263811471,0.0797113163876061,0.000151021128149781,0.00216742445605039,0.0723924444637088,"EB"
