"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,1,-0.023756147876767,-0.994132887816448,0,0.00201747270085141,0.00537699995694389,"EB"
"11",3e+05,0.3,0.01,-1,0.974871698728168,-0.00216425552947095,-0.975284726690226,0.00987196660038775,0.000100298579078447,0.00368683786721164,"EB"
"21",30000,0.8,0.01,-1,0.891933169322889,-0.0176248352406648,-0.907972607509202,0.0197095728627224,0.00122539797556911,0.0140577533759174,"EB"
"31",3e+05,0.8,0.01,-1,0.579403263426627,-0.000174968274539617,-0.357744258019497,0.00623352396393046,1.6237192706637e-05,0.0159122785699081,"EB"
"41",30000,0.3,0.001,-1,0.996646943115273,-0.023946324205371,-0.990694661027057,0.00139026256524232,0.00119195036904135,0.00369281094404325,"EB"
"51",3e+05,0.3,0.001,-1,0.81844298684608,-0.00143767454106271,-0.830756263799898,0.012931055173126,6.92450806432936e-05,0.0176247565278471,"EB"
"61",30000,0.8,0.001,-1,0.76303363797364,-0.0128173518814224,-0.810314112649979,0.01247645582162,0.00114253533964394,0.0198796799062573,"EB"
"71",3e+05,0.8,0.001,-1,0.645597961255119,-0.000783966135993408,-0.743689784741504,0.0135167973878127,4.92221984941695e-05,0.0203187248709363,"EB"
"81",30000,0.3,0.01,0,1,-0.0242889725655879,-0.99540302322138,0,0.00136681855625756,0.00230622382857668,"EB"
"91",3e+05,0.3,0.01,0,0.958601930023058,-0.00209595415901288,-0.975482931527506,0.00694367529060443,0.000149202640705978,0.00344597529976561,"EB"
"101",30000,0.8,0.01,0,0.883081797244713,-0.0166594026769268,-0.919094987972996,0.00924274723775408,0.00105607819327271,0.00966538546030815,"EB"
"111",3e+05,0.8,0.01,0,0.57541504246421,-0.000208126635779783,-0.462605105548868,0.00690564468919542,1.13436304315848e-05,0.0130620323182446,"EB"
"121",30000,0.3,0.001,0,0.993969349766837,-0.0240024406663136,-0.99317694132648,0.00413045466103479,0.00139892679904926,0.00195574685769022,"EB"
"131",3e+05,0.3,0.001,0,0.827748066967178,-0.00157300147045257,-0.892810887930893,0.00956117838080495,8.69112050964844e-05,0.0132589018898046,"EB"
