"","n_samples","h2","prop_effect","S","n_sig","prop_bias","prop_x","mse","n_sig_sd","prop_bias_sd","prop_x_sd","mse_sd"
"1",30000,0.3,0.01,-1,503.2,1,1,0.0243057044447815,19.383842068417,0,0,0.00197246337891582
"11",3e+05,0.3,0.01,-1,563.2,1,0.959030223074447,0.00225830337807549,23.7477484312841,0,0.0106724268734459,0.00013361178789757
"21",30000,0.8,0.01,-1,687.4,0.996048228412908,0.822907979368949,0.0194929561421098,17.6584886732195,0.00284869871336412,0.0172511416145897,0.00116130807367266
"31",3e+05,0.8,0.01,-1,3870.3,0.70672475076586,0.175113702086993,0.000480620045813822,44.6717658780875,0.00674595192219273,0.00443690492367832,1.64880215284635e-05
"41",30000,0.3,0.001,-1,510.7,1,0.993375707829897,0.0241852629149388,19.5678307433399,0,0.00292401242174119,0.00095597546413485
"51",3e+05,0.3,0.001,-1,713.3,0.922670091922524,0.722438504852507,0.00178055621963283,28.959934008519,0.00731429033585439,0.00986742774230081,0.00010613492443763
"61",30000,0.8,0.001,-1,834.1,0.865123246766648,0.617692283054707,0.0151210384126391,28.0968562891533,0.00803104554670666,0.01675986550475,0.000689291538235324
"71",3e+05,0.8,0.001,-1,1251.8,0.716978760134741,0.415933745641815,0.00105652509774553,30.0251746224916,0.0116899315463178,0.0109070871425514,5.91758898334162e-05
"81",30000,0.3,0.01,0,498.8,1,1,0.0243780811905264,16.518003645854,0,0,0.000919478914585405
"91",3e+05,0.3,0.01,0,580.4,0.999833610648919,0.94476058301866,0.00214866631539113,31.1776273062022,0.000526169327815038,0.0120203540863585,0.000140401562271469
"101",30000,0.8,0.01,0,718.3,0.992481597001115,0.788298844790104,0.0175372925695519,25.755474067554,0.00323731987026496,0.0110616296955204,0.000822722921890521
"111",3e+05,0.8,0.01,0,3678.1,0.70501244728511,0.187265427314921,0.00046314260158839,20.738852427268,0.00587728845612883,0.00662515952329686,2.40544531742589e-05
"121",30000,0.3,0.001,0,514.1,1,0.994138742880546,0.0239656425143438,11.9298877707304,0,0.0033494493901486,0.000873899526428453
"131",3e+05,0.3,0.001,0,703.9,0.920914467114857,0.7295627543615,0.00178527237978574,24.0159669109255,0.00677609686867306,0.0112514142785111,0.000134400647707993
"141",30000,0.8,0.001,0,816.3,0.868292961290583,0.631227311792961,0.0154358952685685,16.1798914980567,0.00727155226081683,0.0160411790769682,0.000864494167034908
"151",3e+05,0.8,0.001,0,1218.8,0.728630130390741,0.424590437219935,0.00105846553082657,20.1152236433559,0.0112143254321022,0.0154920923785425,6.65919438168943e-05
"161",30000,0.3,0.01,1,505.2,1,1,0.0241616650677985,15.2592412801045,0,0,0.001305886192256
"171",3e+05,0.3,0.01,1,580.7,0.999120714507303,0.9276727941809,0.00209249784895128,20.907468096884,0.00124626931652319,0.0087053747136649,0.000144215357797403
"181",30000,0.8,0.01,1,730.7,0.985060941938469,0.76526183986331,0.0172060075747038,26.7791378170064,0.00447890099795902,0.0202198163898908,0.00148811587425436
"191",3e+05,0.8,0.01,1,3445.6,0.697747247649378,0.189938680369528,0.000434776116916057,42.7166374040737,0.0109804467942597,0.00748477701874242,2.4296694098065e-05
"201",30000,0.3,0.001,1,502.1,0.999803921568627,0.992399916337389,0.0239582887577374,22.9513979240191,0.000620054443170268,0.00369296431079326,0.00136345558059141
"211",3e+05,0.3,0.001,1,697.8,0.920266430107268,0.7345381906269,0.00173396558423331,28.1417049155796,0.0121645486320107,0.0131870786061797,7.81769175361461e-05
"221",30000,0.8,0.001,1,793.5,0.873694858401086,0.653721010184406,0.0160084538696187,21.6294552250706,0.00846237735768891,0.0167169127203986,0.000750182160390992
"231",3e+05,0.8,0.001,1,1159.1,0.73689457175077,0.439642283126009,0.00110664334133441,18.805731986699,0.00804414631692833,0.00845584690981739,6.74527213428536e-05
