"","X","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1",1,30000,0.3,0.01,0,0.926760096797213,-0.000396314738178555,-0.00974752806472347,-0.623927095739926,0.0100376196080734,1.54792084530237e-05,0.000286358595078191,0.0122866911775726,"EB"
"2",101,3e+05,0.3,0.01,0,0.630784853322441,-3.15314881558589e-06,-0.000360749505951644,-0.15222480444581,0.00955793569529531,2.43131790349439e-07,2.66323755356033e-05,0.010172581103073,"EB"
"3",201,30000,0.8,0.01,0,0.780506679236919,-0.000149954870713402,-0.0045043826209044,-0.419816573484559,0.0126590657040161,7.25860464191487e-06,0.00019733304957309,0.0143091011550365,"EB"
"4",301,3e+05,0.8,0.01,0,0.571312697912429,-9.80791016202095e-07,-0.000118213897029652,-0.0553889259588414,0.00678375648245493,1.14014441146953e-07,1.35263016667941e-05,0.00611084087148789,"EB"
"5",401,30000,0.3,0.001,0,0.709551266423404,-0.000158539173526419,-0.00395891028756873,-0.327475907742691,0.0177913735305187,1.0886515790604e-05,0.000227501417323416,0.0145017204982488,"EB"
"6",501,3e+05,0.3,0.001,0,0.553473542099557,-4.29073489820005e-06,-0.000417989870012278,-0.150321397271362,0.0230694250087704,5.00193553928026e-07,4.4296157989651e-05,0.0135887916175816,"EB"
"7",601,30000,0.8,0.001,0,0.622598313522879,-7.35254064078757e-05,-0.00206949891421945,-0.20793909302457,0.0198050203936754,7.43825264036368e-06,0.000197803343127029,0.0174509785418658,"EB"
"8",701,3e+05,0.8,0.001,0,0.482408344644931,-3.89848097345663e-06,-0.000390670029960545,-0.144959954521001,0.0393344091592509,4.20984665914621e-07,3.99134834254652e-05,0.0133429626157753,"EB"
"9",11,30000,0.3,0.01,0,0.930513939352434,-0.000390241400142174,-0.00955352553270573,-0.614442595158904,0.00995258073229869,1.45715957455471e-05,0.000283968030762948,0.013774288462394,"EB_df"
"10",1011,3e+05,0.3,0.01,0,0.613725367532863,-2.77963747048274e-06,-0.00031642740163258,-0.134147388970699,0.010674506974067,3.17733267729882e-07,3.56163937144951e-05,0.0140115262624023,"EB_df"
