"","n_samples","h2","prop_effect","S","results","res_error","method"
"1",30000,0.3,0.01,-1,0.945389804805327,0.00576592495484972,"EB"
"11",3e+05,0.3,0.01,-1,0.599847987306555,0.00795448429037559,"EB"
"21",30000,0.8,0.01,-1,0.756460129691008,0.012277183333161,"EB"
"31",3e+05,0.8,0.01,-1,0.54869103961566,0.00516840686748596,"EB"
"41",30000,0.3,0.001,-1,0.791677016569702,0.0142516858953342,"EB"
"51",3e+05,0.3,0.001,-1,0.666130900364095,0.0141519433542777,"EB"
"61",30000,0.8,0.001,-1,0.707835014597048,0.0218841820871624,"EB"
"71",3e+05,0.8,0.001,-1,0.646123078368891,0.0125377807825718,"EB"
"81",30000,0.3,0.01,0,0.925698775937394,0.0118108823963216,"EB"
"91",3e+05,0.3,0.01,0,0.592104070814874,0.00851831579165272,"EB"
"101",30000,0.8,0.01,0,0.747210922647526,0.0131785339479362,"EB"
"111",3e+05,0.8,0.01,0,0.54870864406439,0.0070646503931813,"EB"
"121",30000,0.3,0.001,0,0.798760147922585,0.010868179257957,"EB"
"131",3e+05,0.3,0.001,0,0.666644859487038,0.0155815314534876,"EB"
"141",30000,0.8,0.001,0,0.71191374209166,0.0174288830085668,"EB"
"151",3e+05,0.8,0.001,0,0.652133801936957,0.0110736555214764,"EB"
"161",30000,0.3,0.01,1,0.899734479077996,0.0109284136835237,"EB"
"171",3e+05,0.3,0.01,1,0.594447924046894,0.0113206840479923,"EB"
"181",30000,0.8,0.01,1,0.728784035818111,0.0100755693400416,"EB"
"191",3e+05,0.8,0.01,1,0.552440864826557,0.0086889883658243,"EB"
"201",30000,0.3,0.001,1,0.798690482005461,0.0108386948002219,"EB"
"211",3e+05,0.3,0.001,1,0.679147733279229,0.0190767903727446,"EB"
"221",30000,0.8,0.001,1,0.731275068564716,0.0159084406385578,"EB"
"231",3e+05,0.8,0.001,1,0.64653957117042,0.0222252458809971,"EB"
"12",30000,0.3,0.01,-1,0.94487218906843,0.00795919739282388,"FIQT"
"112",3e+05,0.3,0.01,-1,0.460770887853049,0.00979432388850295,"FIQT"
"212",30000,0.8,0.01,-1,0.712062147441081,0.0138324293096284,"FIQT"
"311",3e+05,0.8,0.01,-1,0.350527014422942,0.00737110017999944,"FIQT"
"411",30000,0.3,0.001,-1,0.73481583861984,0.0156545558201227,"FIQT"
"511",3e+05,0.3,0.001,-1,0.497193918453377,0.0100761050013522,"FIQT"
"611",30000,0.8,0.001,-1,0.60593538952437,0.0092234969455959,"FIQT"
