"","n_samples","h2","prop_effect","S","results","res_error","method"
"1",30000,0.3,0.01,-1,-0.00180379494378316,0.000131006924961825,"EB"
"11",3e+05,0.3,0.01,-1,-1.98998521069346e-05,1.86153866994618e-06,"EB"
"21",30000,0.8,0.01,-1,-0.000896910131814359,7.4920824779717e-05,"EB"
"31",3e+05,0.8,0.01,-1,-9.75310295723613e-06,6.55857770453888e-07,"EB"
"41",30000,0.3,0.001,-1,-0.00118712556699665,5.13550206707645e-05,"EB"
"51",3e+05,0.3,0.001,-1,-7.69311880634039e-05,7.45677105359282e-06,"EB"
"61",30000,0.8,0.001,-1,-0.000894781086630022,4.91195206059268e-05,"EB"
"71",3e+05,0.8,0.001,-1,-6.60246386424626e-05,3.74487644735215e-06,"EB"
"81",30000,0.3,0.01,0,-0.0017411042471128,6.11205014709896e-05,"EB"
"91",3e+05,0.3,0.01,0,-2.33381677186476e-05,2.31267810516218e-06,"EB"
"101",30000,0.8,0.01,0,-0.000848504814008481,5.73671191010728e-05,"EB"
"111",3e+05,0.8,0.01,0,-1.27558788019509e-05,1.3248182717047e-06,"EB"
"121",30000,0.3,0.001,0,-0.00129111462768144,7.15327497629966e-05,"EB"
"131",3e+05,0.3,0.001,0,-7.7867761922227e-05,5.94425522841977e-06,"EB"
"141",30000,0.8,0.001,0,-0.000979270568322073,5.99354867113721e-05,"EB"
"151",3e+05,0.8,0.001,0,-6.4963595799175e-05,6.03337288229894e-06,"EB"
"161",30000,0.3,0.01,1,-0.00165602381278096,8.73560723487888e-05,"EB"
"171",3e+05,0.3,0.01,1,-2.40600196243505e-05,1.97462339583492e-06,"EB"
"181",30000,0.8,0.01,1,-0.000827998598200855,6.79821231171501e-05,"EB"
"191",3e+05,0.8,0.01,1,-1.39304307256641e-05,1.36777371839593e-06,"EB"
"201",30000,0.3,0.001,1,-0.00135058932766877,8.76020771674934e-05,"EB"
"211",3e+05,0.3,0.001,1,-8.26053634449964e-05,5.13690712994564e-06,"EB"
"221",30000,0.8,0.001,1,-0.00108672224930399,4.76133574416109e-05,"EB"
"231",3e+05,0.8,0.001,1,-7.15409583818059e-05,5.86825455374919e-06,"EB"
"12",30000,0.3,0.01,-1,-0.00180077463467331,0.000148457007601488,"FIQT"
"112",3e+05,0.3,0.01,-1,-1.1005568809085e-05,2.45424340085565e-06,"FIQT"
"212",30000,0.8,0.01,-1,-0.000888812483196767,6.22274092205814e-05,"FIQT"
"311",3e+05,0.8,0.01,-1,-1.00604347470239e-06,8.05298741838802e-07,"FIQT"
"411",30000,0.3,0.001,-1,-0.00117991354023252,7.01921345851324e-05,"FIQT"
"511",3e+05,0.3,0.001,-1,-6.92463236467551e-05,4.7255077288926e-06,"FIQT"
"611",30000,0.8,0.001,-1,-0.000824056668709246,5.47582210548855e-05,"FIQT"
"711",3e+05,0.8,0.001,-1,-6.5122833713279e-05,2.7246145648525e-06,"FIQT"
"811",30000,0.3,0.01,0,-0.00175341271834319,0.000109087373818425,"FIQT"
"911",3e+05,0.3,0.01,0,-2.1989083097087e-05,1.88415021747159e-06,"FIQT"
"1011",30000,0.8,0.01,0,-0.000874555509132838,4.34470628349442e-05,"FIQT"
"1111",3e+05,0.8,0.01,0,-7.89285632992266e-06,9.23833247285812e-07,"FIQT"
"1211",30000,0.3,0.001,0,-0.00126448398139991,9.770797259216e-05,"FIQT"
"1311",3e+05,0.3,0.001,0,-6.98171059621187e-05,3.0521104732963e-06,"FIQT"
"1411",30000,0.8,0.001,0,-0.000939680721973609,6.65674760801093e-05,"FIQT"
"1511",3e+05,0.8,0.001,0,-6.49695745823658e-05,4.75567822609929e-06,"FIQT"
"1611",30000,0.3,0.01,1,-0.00170822720513049,9.04230818451843e-05,"FIQT"
"1711",3e+05,0.3,0.01,1,-2.32587915573947e-05,1.96150843460048e-06,"FIQT"
"1811",30000,0.8,0.01,1,-0.000829550345797716,6.03891046455531e-05,"FIQT"
"1911",3e+05,0.8,0.01,1,-1.15143495897102e-05,9.93783022172215e-07,"FIQT"
"2011",30000,0.3,0.001,1,-0.00132992936533428,0.000122167377925313,"FIQT"
"2111",3e+05,0.3,0.001,1,-7.61445008540192e-05,6.18649328058935e-06,"FIQT"
"2211",30000,0.8,0.001,1,-0.0010019234115563,8.50073838158706e-05,"FIQT"
"2311",3e+05,0.8,0.001,1,-7.11250670704025e-05,3.67717259496501e-06,"FIQT"
"13",30000,0.3,0.01,-1,-0.00173797424952651,5.51550404231009e-05,"BR"
"113",3e+05,0.3,0.01,-1,-1.5450910551025e-05,1.51620661869822e-06,"BR"
"213",30000,0.8,0.01,-1,-0.000896287025237414,3.90099640714323e-05,"BR"
"312",3e+05,0.8,0.01,-1,-5.89785778186835e-06,9.57742533417048e-07,"BR"
"412",30000,0.3,0.001,-1,-0.0010779981350252,8.044228958317e-05,"BR"
"512",3e+05,0.3,0.001,-1,-5.7083803980439e-05,6.05944966020844e-06,"BR"
"612",30000,0.8,0.001,-1,-0.000721624728782614,5.89736742779219e-05,"BR"
"712",3e+05,0.8,0.001,-1,-5.35863049012698e-05,3.74561830671044e-06,"BR"
"812",30000,0.3,0.01,0,-0.00160167204094287,8.63681144738712e-05,"BR"
