"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"1",1,30000,0.3,0.01,0,0.998452012383901,-0.000857638748013671,-0.0139153111865989,-0.601060046482458,"EB"
"2",2,30000,0.3,0.01,0,0.96455223880597,-0.000857256320576646,-0.0142094318510954,-0.617159569170532,"EB"
"3",3,30000,0.3,0.01,0,0.938069216757741,-0.000830487113197952,-0.0138729639382939,-0.610978294371856,"EB"
"4",4,30000,0.3,0.01,0,1,-0.000878062484961252,-0.0140696891551773,-0.600502515682172,"EB"
"5",5,30000,0.3,0.01,0,1,-0.000885607022942032,-0.0136750427240973,-0.575799990254014,"EB"
"6",6,30000,0.3,0.01,0,1,-0.000886740808043146,-0.0139379007886653,-0.589651362791653,"EB"
"7",7,30000,0.3,0.01,0,1,-0.000838079210259645,-0.0133382413698916,-0.577783503074844,"EB"
"8",8,30000,0.3,0.01,0,1,-0.000943167665161169,-0.014647098427845,-0.603887664654871,"EB"
"9",9,30000,0.3,0.01,0,0.984202211690363,-0.000786837820023879,-0.0127814038280152,-0.569469351618982,"EB"
"10",10,30000,0.3,0.01,0,0.972027972027972,-0.000707871190597393,-0.0122452508470274,-0.576978911868217,"EB"
"11",11,30000,0.3,0.01,0,0.962962962962963,-0.000854777601415458,-0.0160403063366027,-0.711336263704334,"EB"
"12",12,30000,0.3,0.01,0,1,-0.000915857558162421,-0.0144730184849031,-0.605967859342596,"EB"
"13",13,30000,0.3,0.01,0,1,-0.000844166565038147,-0.0139393676120109,-0.608393060694226,"EB"
"14",14,30000,0.3,0.01,0,0.991150442477876,-0.000870732465915361,-0.0134676539304384,-0.5706977881543,"EB"
"15",15,30000,0.3,0.01,0,1,-0.000988521751282216,-0.0144235371017541,-0.574540549998474,"EB"
"16",16,30000,0.3,0.01,0,1,-0.000890439224488968,-0.0150944073827593,-0.648925759126101,"EB"
"17",17,30000,0.3,0.01,0,1,-0.000872784689567892,-0.014992386562212,-0.65141087479661,"EB"
"18",18,30000,0.3,0.01,0,0.978723404255319,-0.00071442699393245,-0.012179650683499,-0.569503700961964,"EB"
"19",19,30000,0.3,0.01,0,0.978599221789883,-0.000869336655691608,-0.0143404961424053,-0.618828531235119,"EB"
"20",20,30000,0.3,0.01,0,1,-0.00100551636531622,-0.0160914389859802,-0.651380941016845,"EB"
"21",21,30000,0.3,0.01,0,0.975257731958763,-0.000927697337466532,-0.014680212885583,-0.611902218221768,"EB"
"22",22,30000,0.3,0.01,0,1,-0.000954357845216281,-0.0141273554244939,-0.572171885184089,"EB"
"23",23,30000,0.3,0.01,0,0.97071129707113,-0.000889122355372471,-0.0143504576723246,-0.610771534294757,"EB"
"24",24,30000,0.3,0.01,0,1,-0.000819706095957632,-0.0129091416577177,-0.561628321425507,"EB"
"25",25,30000,0.3,0.01,0,0.985401459854015,-0.000767350801724605,-0.0116445958296627,-0.510478980471694,"EB"
"26",26,30000,0.3,0.01,0,0.992990654205608,-0.000968419154939658,-0.015734039114838,-0.648562094580544,"EB"
"27",27,30000,0.3,0.01,0,0.991452991452991,-0.000692671543663319,-0.0117266970591885,-0.552824047953858,"EB"
"28",28,30000,0.3,0.01,0,0.962151394422311,-0.000817618811980976,-0.0131503502558341,-0.5764109775459,"EB"
"29",29,30000,0.3,0.01,0,0.995664739884393,-0.000769069312972237,-0.0118990589373286,-0.525219841581526,"EB"
"30",30,30000,0.3,0.01,0,0.964391691394659,-0.00067647249112615,-0.0118835371097333,-0.571509176516583,"EB"
"31",31,30000,0.3,0.01,0,1,-0.0010600553804045,-0.017512775482708,-0.696175337656643,"EB"
"32",32,30000,0.3,0.01,0,0.990476190476191,-0.000881035163595383,-0.0146503630489349,-0.630074369002659,"EB"
"33",33,30000,0.3,0.01,0,1,-0.000969554799754864,-0.0164407610255472,-0.681923245148938,"EB"
"34",34,30000,0.3,0.01,0,0.985272459499264,-0.00065100624406448,-0.0109856094016095,-0.527725241357512,"EB"
"35",35,30000,0.3,0.01,0,0.950320512820513,-0.000684011206053864,-0.0122409174086666,-0.589622380088853,"EB"
"36",36,30000,0.3,0.01,0,1,-0.000882025739496152,-0.0140548676832403,-0.597994438086024,"EB"
"37",37,30000,0.3,0.01,0,1,-0.000932897239031046,-0.0151238468143702,-0.632534487057222,"EB"
