"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1",30000,0.3,0.01,0,0.99976252968379,-0.00120367801936379,-0.00120367801936379,-0.499513750150636,0.00176473176431186,8.06368276106397e-05,8.06368276106397e-05,0.0387452539780263,"EB"
"101",3e+05,0.3,0.01,0,0.707679896786753,-1.18187448816096e-05,-1.18187448816096e-05,-0.362582172712297,0.0139503842909757,7.19330615771733e-07,7.19330615771733e-07,0.0149121229151593,"EB"
"201",30000,0.8,0.01,0,0.939949453641382,-0.000678839187143948,-0.000678839187143948,-0.507829137408767,0.0203272857660827,4.08395546245206e-05,4.08395546245206e-05,0.0233280261025074,"EB"
"301",3e+05,0.8,0.01,0,0.620931844462379,-3.95683066830702e-06,-3.95683066830702e-06,-0.190799519501896,0.00891199005569736,3.02113044780159e-07,3.02113044780159e-07,0.0118408570910452,"EB"
"401",30000,0.3,0.001,0,0.757092211086407,-0.000300786167803504,-0.000300786167803504,-0.34666289770485,0.0328160944144404,3.2845145262929e-05,3.2845145262929e-05,0.0235711719791648,"EB"
"501",3e+05,0.3,0.001,0,0.571074749753513,-1.99685152915935e-06,-1.99685152915935e-06,-0.0889366267495307,0.0168854985330769,3.99225433135704e-07,3.99225433135704e-07,0.0169474970179628,"EB"
"601",30000,0.8,0.001,0,0.637948136192424,-7.58921429405592e-05,-7.58921429405592e-05,-0.203178359177773,0.021238285978067,9.14643131225989e-06,9.14643131225989e-06,0.022126606367867,"EB"
"701",3e+05,0.8,0.001,0,0.548141451497315,-9.26437698963772e-07,-9.26437698963772e-07,-0.0472894229864619,0.0154886353678239,2.58929214490281e-07,2.58929214490281e-07,0.0124719222696379,"EB"
"11",30000,0.3,0.01,0,0.999664490468103,-0.00128143815176996,-0.00128143815176996,-0.531513726187568,0.00200709089049905,4.84881279464774e-05,4.84881279464774e-05,0.0237022398164624,"EB_df"
"1011",3e+05,0.3,0.01,0,0.751352194888943,-6.65526621062462e-06,-6.65526621062462e-06,-0.204260169998139,0.0397878470682019,1.19694420057593e-06,1.19694420057593e-06,0.0359396978633398,"EB_df"
"2011",30000,0.8,0.01,0,0.938653971948345,-0.000703757576288716,-0.000703757576288716,-0.526209375055104,0.0207913470056139,4.26660757585645e-05,4.26660757585645e-05,0.0181246286669098,"EB_df"
"3011",3e+05,0.8,0.01,0,0.419521729180003,-4.52502907809955e-07,-4.52502907809955e-07,-0.0214788997326301,0.0120133714233972,6.40861160825918e-07,6.40861160825918e-07,0.0308880968995014,"EB_df"
"4011",30000,0.3,0.001,0,0.759335663489887,-0.000300348601729333,-0.000300348601729333,-0.346342694443183,0.031000940189417,2.9518624226557e-05,2.9518624226557e-05,0.0198368225070172,"EB_df"
"5011",3e+05,0.3,0.001,0,0.306378242564836,1.53536007192245e-05,1.53536007192245e-05,0.687559318728774,0.0302552026123679,5.34218790172057e-06,5.34218790172057e-06,0.245214575115993,"EB_df"
"6011",30000,0.8,0.001,0,0.448475914009078,-5.27361084877703e-05,-5.27361084877703e-05,-0.140917451495867,0.0617398832050853,1.23784214995641e-05,1.23784214995641e-05,0.030802088042888,"EB_df"
"7011",3e+05,0.8,0.001,0,0.358278722615291,9.94699186355394e-06,9.94699186355394e-06,0.511485445103829,0.0165596722087947,1.2657075724558e-06,1.2657075724558e-06,0.076505267053013,"EB_df"
"12",30000,0.3,0.01,0,0.999563480367093,-0.00127309094899607,-0.00127309094899607,-0.528426306747109,0.00223164816815936,7.92877432472831e-05,7.92877432472831e-05,0.0406579901555458,"EB_scam"
"1012",3e+05,0.3,0.01,0,0.703907097018356,-1.13431839632941e-05,-1.13431839632941e-05,-0.347989142565447,0.0167919382729089,8.12944674695833e-07,8.12944674695833e-07,0.0193075064323452,"EB_scam"
"2012",30000,0.8,0.01,0,0.934174278963951,-0.000710918519025265,-0.000710918519025265,-0.531766962317334,0.0214962246947002,4.49845191725169e-05,4.49845191725169e-05,0.0253718111724325,"EB_scam"
"3012",3e+05,0.8,0.01,0,0.625060143053231,-3.67055680678932e-06,-3.67055680678932e-06,-0.17699869636646,0.00905579833632044,2.84390178756692e-07,2.84390178756692e-07,0.0112672610974498,"EB_scam"
"4012",30000,0.3,0.001,0,0.74631950782061,-0.00031200076615707,-0.00031200076615707,-0.359479787324237,0.0317677175197189,3.65067231071027e-05,3.65067231071027e-05,0.027168589235637,"EB_scam"
"5012",3e+05,0.3,0.001,0,0.531761470126779,-3.38581531573056e-07,-3.38581531573056e-07,-0.0147073164919344,0.0175397777884988,8.60242310249598e-07,8.60242310249598e-07,0.0381289719779659,"EB_scam"
"6012",30000,0.8,0.001,0,0.641705632320362,-6.45072682505197e-05,-6.45072682505197e-05,-0.172626426842735,0.0280378328534669,1.58879587642191e-05,1.58879587642191e-05,0.0407705608128715,"EB_scam"
"7012",3e+05,0.8,0.001,0,0.503015303211664,1.40612277742271e-06,1.40612277742271e-06,0.072537756887705,0.0152383513117486,7.95504200071008e-07,7.95504200071008e-07,0.0415579987470187,"EB_scam"
"13",30000,0.3,0.01,0,0.999664490468103,-0.00130415731166926,-0.00130415731166926,-0.541002303084794,0.00200709089049905,5.86230257484893e-05,5.86230257484893e-05,0.0285179384215935,"EB_gam_po"
"1013",3e+05,0.3,0.01,0,0.71215318011633,-1.15223871315425e-05,-1.15223871315425e-05,-0.353528460730673,0.0136164899028256,7.2237429486326e-07,7.2237429486326e-07,0.0162942002107437,"EB_gam_po"
"2013",30000,0.8,0.01,0,0.93501876749441,-0.000723642770694353,-0.000723642770694353,-0.541091052903048,0.0213279936704921,4.36959302373036e-05,4.36959302373036e-05,0.0187403651208683,"EB_gam_po"
"3013",3e+05,0.8,0.01,0,0.502913692221589,1.66322044412718e-07,1.66322044412718e-07,0.00826725571802509,0.038058923029744,1.12830684721715e-06,1.12830684721715e-06,0.0550458865333127,"EB_gam_po"
"4013",30000,0.3,0.001,0,0.749252524164372,-0.000313377382295898,-0.000313377382295898,-0.361270898969718,0.0312413666197812,3.17571037882831e-05,3.17571037882831e-05,0.0208746902358137,"EB_gam_po"
"5013",3e+05,0.3,0.001,0,0.316925495038929,1.74098444060734e-05,1.74098444060734e-05,0.779172867063413,0.0125684394834518,5.51883321901477e-06,5.51883321901477e-06,0.255938366348775,"EB_gam_po"
"6013",30000,0.8,0.001,0,0.634936905061325,-7.35895128979432e-05,-7.35895128979432e-05,-0.197183255758083,0.0231390435551053,1.15348059081911e-05,1.15348059081911e-05,0.0298892163713661,"EB_gam_po"
"7013",3e+05,0.8,0.001,0,0.231737883413325,4.21399798069354e-05,4.21399798069354e-05,2.1604032606164,0.0105669265862621,5.8650172171223e-06,5.8650172171223e-06,0.303236360805447,"EB_gam_po"
"14",30000,0.3,0.01,0,0.999664490468103,-0.00128207572428154,-0.00128207572428154,-0.531907045442386,0.00200709089049905,6.51438982256295e-05,6.51438982256295e-05,0.03199916235007,"EB_gam_nb"
"1014",3e+05,0.3,0.01,0,0.7121118749635,-1.15655328391509e-05,-1.15655328391509e-05,-0.354830388122936,0.0136330196113735,7.1396083857834e-07,7.1396083857834e-07,0.0154371895895761,"EB_gam_nb"
"2014",30000,0.8,0.01,0,0.935896891810351,-0.000717469080648159,-0.000717469080648159,-0.53649900567819,0.0212382774263214,4.39472069426438e-05,4.39472069426438e-05,0.0200781907625906,"EB_gam_nb"
"3014",3e+05,0.8,0.01,0,0.602950790857584,-3.54111028115777e-06,-3.54111028115777e-06,-0.170658149751719,0.0108978921347838,3.98133093973074e-07,3.98133093973074e-07,0.016794958466436,"EB_gam_nb"
"4014",30000,0.3,0.001,0,0.750946907604823,-0.000311403881260334,-0.000311403881260334,-0.358990935380681,0.0313792666848222,3.15684772303927e-05,3.15684772303927e-05,0.0206730080305328,"EB_gam_nb"
"5014",3e+05,0.3,0.001,0,0.506598305996276,2.24159794942182e-07,2.24159794942182e-07,0.0105051066318696,0.0174259861242429,8.20309263892617e-07,8.20309263892617e-07,0.0364222432653488,"EB_gam_nb"
