"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"1",1,30000,0.3,0.01,-1,1,-0.00262082118257322,-0.0267517775461424,-0.673947295810079,"EB"
"2",2,30000,0.3,0.01,-1,1,-0.000865731709418529,-0.0257005749619655,-0.981921845486237,"EB"
"3",3,30000,0.3,0.01,-1,100,100,100,100,"EB"
"4",4,30000,0.3,0.01,-1,1,-0.00105697861347786,-0.0277749135525768,-0.975613024271756,"EB"
"5",5,30000,0.3,0.01,-1,1,-0.00192767980475699,-0.0307299273253585,-0.882768021945875,"EB"
"6",6,30000,0.3,0.01,-1,100,100,100,100,"EB"
"7",7,30000,0.3,0.01,-1,100,100,100,100,"EB"
"8",8,30000,0.3,0.01,-1,1,-0.00483093079646073,-0.046194680070982,-0.850056025815601,"EB"
"9",9,30000,0.3,0.01,-1,1,-0.00110274862817963,-0.0236187430916149,-0.89232556254249,"EB"
"10",10,30000,0.3,0.01,-1,100,100,100,100,"EB"
"11",11,30000,0.3,0.01,-1,1,-0.00210524530403713,-0.0311631691343401,-0.864099189587086,"EB"
"12",12,30000,0.3,0.01,-1,100,100,100,100,"EB"
"13",13,30000,0.3,0.01,-1,1,-0.000697880203137161,-0.0235022039746921,-0.986451152141125,"EB"
"14",14,30000,0.3,0.01,-1,100,100,100,100,"EB"
"15",15,30000,0.3,0.01,-1,100,100,100,100,"EB"
"16",16,30000,0.3,0.01,-1,1,-0.00305269098133899,-0.0436368321848045,-0.946313946534266,"EB"
"17",17,30000,0.3,0.01,-1,1,-0.00198021677154893,-0.038351214900719,-0.978211785226469,"EB"
"18",18,30000,0.3,0.01,-1,1,-0.000447401713654099,-0.0157489343496709,-0.917809034876716,"EB"
"19",19,30000,0.3,0.01,-1,1,-0.00013446184429421,-0.00466230027821214,-0.479185492067304,"EB"
"20",20,30000,0.3,0.01,-1,100,100,100,100,"EB"
"21",21,30000,0.3,0.01,-1,100,100,100,100,"EB"
"22",22,30000,0.3,0.01,-1,100,100,100,100,"EB"
"23",23,30000,0.3,0.01,-1,100,100,100,100,"EB"
"24",24,30000,0.3,0.01,-1,100,100,100,100,"EB"
"25",25,30000,0.3,0.01,-1,1,-0.000551081204007072,-0.0187839183646169,-0.951899424827254,"EB"
"26",26,30000,0.3,0.01,-1,1,-0.000606258808503284,-0.018574455098113,-0.924577572946921,"EB"
"27",27,30000,0.3,0.01,-1,100,100,100,100,"EB"
"28",28,30000,0.3,0.01,-1,100,100,100,100,"EB"
"29",29,30000,0.3,0.01,-1,100,100,100,100,"EB"
"30",30,30000,0.3,0.01,-1,100,100,100,100,"EB"
"31",31,30000,0.3,0.01,-1,100,100,100,100,"EB"
"32",32,30000,0.3,0.01,-1,1,-0.000934788385881311,-0.0293854517050564,-0.998428702441888,"EB"
"33",33,30000,0.3,0.01,-1,1,-0.000867826855336179,-0.0217456464693376,-0.91321809279111,"EB"
"34",34,30000,0.3,0.01,-1,100,100,100,100,"EB"
"35",35,30000,0.3,0.01,-1,1,-0.000787610247226997,-0.0270275228466565,-0.998584119085648,"EB"
"36",36,30000,0.3,0.01,-1,1,-0.00208736540996323,-0.0317929835846384,-0.879252436341816,"EB"
"37",37,30000,0.3,0.01,-1,1,-0.000558687147677837,-0.0137869154649567,-0.757653180408887,"EB"
"38",38,30000,0.3,0.01,-1,100,100,100,100,"EB"
"39",39,30000,0.3,0.01,-1,100,100,100,100,"EB"
"40",40,30000,0.3,0.01,-1,1,-0.000519649851264412,-0.0104365568386493,-0.573027963334823,"EB"
"41",41,30000,0.3,0.01,-1,1,-0.000801566282568342,-0.0280425450686543,-0.999908592664116,"EB"
"42",42,30000,0.3,0.01,-1,1,-0.000665928097956436,-0.0125846171940411,-0.620863352309048,"EB"
"43",43,30000,0.3,0.01,-1,1,-0.00749154668961814,-0.0808786490323846,-0.995415134058555,"EB"
"44",44,30000,0.3,0.01,-1,1,-0.000801540882015471,-0.0229994200495834,-0.958032867118813,"EB"
"45",45,30000,0.3,0.01,-1,100,100,100,100,"EB"
"46",46,30000,0.3,0.01,-1,1,-0.000476502937099414,-0.0161197894584091,-0.913429583932907,"EB"
"47",47,30000,0.3,0.01,-1,1,-0.000296098190043858,-0.0104105345403036,-0.784608917536677,"EB"
"48",48,30000,0.3,0.01,-1,100,100,100,100,"EB"
"49",49,30000,0.3,0.01,-1,100,100,100,100,"EB"
"50",50,30000,0.3,0.01,-1,1,-0.00206122788521421,-0.0314078970547824,-0.875636550410032,"EB"
"51",51,30000,0.3,0.01,-1,100,100,100,100,"EB"
"52",52,30000,0.3,0.01,-1,1,-0.00068332929200389,-0.0231823411813478,-0.985714131247249,"EB"
"53",53,30000,0.3,0.01,-1,1,-0.00193807516244812,-0.0387127251524501,-0.983653517843778,"EB"
"54",54,30000,0.3,0.01,-1,100,100,100,100,"EB"
"55",55,30000,0.3,0.01,-1,100,100,100,100,"EB"
"56",56,30000,0.3,0.01,-1,100,100,100,100,"EB"
"57",57,30000,0.3,0.01,-1,0,0.000196254006946164,0.00486395253211269,0.62344172391394,"EB"
"58",58,30000,0.3,0.01,-1,1,-0.00104013231813609,-0.0305553443935017,-0.997088368562268,"EB"
"59",59,30000,0.3,0.01,-1,1,-5.96953424148416e-05,-0.00183027047592599,-0.201245643171538,"EB"
"60",60,30000,0.3,0.01,-1,1,-0.000331383172979157,-0.0106852990478899,-0.762348897349013,"EB"
"61",61,30000,0.3,0.01,-1,100,100,100,100,"EB"
"62",62,30000,0.3,0.01,-1,1,-0.00898337396945195,-0.083732616099559,-0.984795598373145,"EB"
"63",63,30000,0.3,0.01,-1,1,-0.000324237879283141,-0.0109910992697665,-0.791049621288228,"EB"
"64",64,30000,0.3,0.01,-1,1,-4.33038437053366e-05,-0.00114005013296016,-0.113160623015802,"EB"
"65",65,30000,0.3,0.01,-1,100,100,100,100,"EB"
"66",66,30000,0.3,0.01,-1,100,100,100,100,"EB"
