"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,0.935897435897436,-0.00174658336604816,-0.00174658336604816,-0.816625425188158,0.238353662814681,0.00322386157909904,0.00322386157909904,0.431621312169338,"EB"
"101",3e+05,0.3,0.01,-1,0.639140145474516,-6.58149078166116e-06,-6.58149078166116e-06,-0.309609488474207,0.0197947503272021,1.22173294528357e-06,1.22173294528357e-06,0.0449921936982042,"EB"
"201",30000,0.8,0.01,-1,0.920640008911341,-0.000435654366490115,-0.000435654366490115,-0.70458571867092,0.0471379578121465,0.000145529332793645,0.000145529332793645,0.0984672543865621,"EB"
"301",3e+05,0.8,0.01,-1,0.563307073221124,-1.4628223722379e-06,-1.4628223722379e-06,-0.0862736765530581,0.0111474909941723,3.68792863549161e-07,3.68792863549161e-07,0.0195831415194533,"EB"
"401",30000,0.3,0.001,-1,0.634460065826988,-5.465568338112e-05,-5.465568338112e-05,-0.233249795610112,0.0689069832435836,4.47006940471755e-05,4.47006940471755e-05,0.19540187171449,"EB"
"501",3e+05,0.3,0.001,-1,0.366372247189766,1.79374936529067e-07,1.79374936529067e-07,0.0117492509174348,0.0322400886224331,4.65934257649563e-07,4.65934257649563e-07,0.028451588948019,"EB"
"601",30000,0.8,0.001,-1,0.462671334149197,-5.95723830166014e-06,-5.95723830166014e-06,-0.0337747913356885,0.053564856788972,1.14319166899312e-05,1.14319166899312e-05,0.0657902054304858,"EB"
"701",3e+05,0.8,0.001,-1,0.337217851526825,4.76204308180372e-07,4.76204308180372e-07,0.0307842878269993,0.0237635254563297,3.73583998329679e-07,3.73583998329679e-07,0.0242454057368002,"EB"
"801",30000,0.3,0.01,0,0.874007936507937,-0.000587666451373813,-0.000587666451373813,-0.687362260713462,0.276383597272353,0.000514501830537864,0.000514501830537864,0.475400413818756,"EB"
"901",3e+05,0.3,0.01,0,0.616920938741828,-3.07375917622668e-06,-3.07375917622668e-06,-0.266140699807543,0.0213542056656229,4.96933104388022e-07,4.96933104388022e-07,0.0372244801885458,"EB"
"1001",30000,0.8,0.01,0,0.860881123253133,-0.000155562904209449,-0.000155562904209449,-0.65324814843615,0.0531002019830367,2.24748449063289e-05,2.24748449063289e-05,0.0651761823481218,"EB"
"1101",3e+05,0.8,0.01,0,0.558327501283499,-1.06016981912924e-06,-1.06016981912924e-06,-0.100558520275024,0.0125476328365394,1.55160679998012e-07,1.55160679998012e-07,0.0134263171837144,"EB"
"1201",30000,0.3,0.001,0,0.57843309508112,-2.12151465640284e-05,-2.12151465640284e-05,-0.185291493385157,0.0786115261356415,1.26826044245287e-05,1.26826044245287e-05,0.105087325309676,"EB"
"1301",3e+05,0.3,0.001,0,0.372647223292387,-4.82351835987435e-08,-4.82351835987435e-08,-0.00356299213051744,0.0325566033134839,2.76463349638228e-07,2.76463349638228e-07,0.0233349165152225,"EB"
"1401",30000,0.8,0.001,0,0.446440749023805,-4.05832050238538e-06,-4.05832050238538e-06,-0.0365037365509714,0.0505465854081379,7.02695746912907e-06,7.02695746912907e-06,0.0686246900995161,"EB"
"1501",3e+05,0.8,0.001,0,0.34442758547457,5.68163730860319e-07,5.68163730860319e-07,0.0444503352889941,0.0254349366759337,5.97102870660784e-07,5.97102870660784e-07,0.046892503377233,"EB"
"1601",30000,0.3,0.01,1,0.817992424242424,-0.00032419815969324,-0.00032419815969324,-0.589447439483407,0.294340199766619,0.000279750566402089,0.000279750566402089,0.481070858292267,"EB"
"1701",3e+05,0.3,0.01,1,0.601287207255318,-2.01862063295244e-06,-2.01862063295244e-06,-0.208076621833146,0.0179112817806889,3.00192263511418e-07,3.00192263511418e-07,0.0267248383753573,"EB"
"1801",30000,0.8,0.01,1,0.798314917617765,-0.00011227714285818,-0.00011227714285818,-0.597496453726249,0.0549856346233399,1.88143363542821e-05,1.88143363542821e-05,0.0810178854333181,"EB"
"1901",3e+05,0.8,0.01,1,0.549477750961297,-6.5914341665431e-07,-6.5914341665431e-07,-0.0739403992924228,0.0135609538162366,1.00476940636901e-07,1.00476940636901e-07,0.0105531742067471,"EB"
"2001",30000,0.3,0.001,1,0.570392291408992,-1.56249556966595e-05,-1.56249556966595e-05,-0.150033065779153,0.0788726059545527,1.12228728116754e-05,1.12228728116754e-05,0.105829064356807,"EB"
"2101",3e+05,0.3,0.001,1,0.374564373296635,-3.61295290734321e-09,-3.61295290734321e-09,0.000403029587529661,0.0378041638040492,2.33966946827643e-07,2.33966946827643e-07,0.0235589586850146,"EB"
"2201",30000,0.8,0.001,1,0.43046871491487,-1.83394662877434e-06,-1.83394662877434e-06,-0.0184354161752217,0.0491241551365916,5.72735931575991e-06,5.72735931575991e-06,0.0661552332602281,"EB"
"2301",3e+05,0.8,0.001,1,0.331276985166538,4.89600124206499e-07,4.89600124206499e-07,0.0484958685776923,0.0281260605630266,4.51651891918165e-07,4.51651891918165e-07,0.045411686914681,"EB"
"11",30000,0.3,0.01,-1,0.935897435897436,-0.00174623974957011,-0.00174623974957011,-0.822518091947298,0.238353662814681,0.00320664934907859,0.00320664934907859,0.426658275860007,"EB_df"
"1011",3e+05,0.3,0.01,-1,0.657369013409251,-6.04700119485328e-06,-6.04700119485328e-06,-0.284626421205969,0.047571136974083,1.18071111616026e-06,1.18071111616026e-06,0.0459837259554852,"EB_df"
"2011",30000,0.8,0.01,-1,0.91600914395175,-0.000436605180551084,-0.000436605180551084,-0.704692849582708,0.0466722298559098,0.000151515517797299,0.000151515517797299,0.101422966077825,"EB_df"
"3011",3e+05,0.8,0.01,-1,0.216801140860096,6.25648269595967e-06,6.25648269595967e-06,0.371894826293424,0.0106925648242517,1.39018034164864e-06,1.39018034164864e-06,0.0857164075653825,"EB_df"
"4011",30000,0.3,0.001,-1,0.29786880541743,-1.39846924109046e-05,-1.39846924109046e-05,-0.0515961751152642,0.0847162065079306,2.84716975718145e-05,2.84716975718145e-05,0.113429465092894,"EB_df"
"5011",3e+05,0.3,0.001,-1,0.143767306476762,3.90423777413583e-05,3.90423777413583e-05,2.49138921226394,0.0248920635233068,1.14021580345383e-05,1.14021580345383e-05,0.835266574882517,"EB_df"
"6011",30000,0.8,0.001,-1,0.394166266236848,9.07909845765791e-06,9.07909845765791e-06,0.0570375540623154,0.0690547751064679,1.88266418615019e-05,1.88266418615019e-05,0.11552669807749,"EB_df"
"7011",3e+05,0.8,0.001,-1,0.154000358806698,4.56629532555995e-05,4.56629532555995e-05,2.92593282232261,0.0179133977894633,5.87594583054522e-06,5.87594583054522e-06,0.440033545864885,"EB_df"
"8011",30000,0.3,0.01,0,0.89484126984127,-0.000602204964148844,-0.000602204964148844,-0.70954039750084,0.252868102070401,0.000512677789419119,0.000512677789419119,0.488967418169189,"EB_df"
"9011",3e+05,0.3,0.01,0,0.521353566213808,-1.96976950764282e-06,-1.96976950764282e-06,-0.170825358605245,0.0795205661418122,3.73943068001653e-07,3.73943068001653e-07,0.0308184949379186,"EB_df"
"10011",30000,0.8,0.01,0,0.888095691658321,-0.000122096635620421,-0.000122096635620421,-0.51379346010693,0.0573178495873718,2.19930814170352e-05,2.19930814170352e-05,0.0825872940941134,"EB_df"
"11011",3e+05,0.8,0.01,0,0.2329730303601,5.44089171813582e-06,5.44089171813582e-06,0.517644315222616,0.0118758944270467,1.14421952005179e-06,1.14421952005179e-06,0.111448131829871,"EB_df"
"12011",30000,0.3,0.001,0,0.2720280650206,-2.04646522041036e-06,-2.04646522041036e-06,-0.010346177110901,0.0599051729221852,1.43175999450338e-05,1.43175999450338e-05,0.129859913835425,"EB_df"
"13011",3e+05,0.3,0.001,0,0.14642626372847,3.72269387906421e-05,3.72269387906421e-05,3.19693394966229,0.0299331598704514,1.20726065395537e-05,1.20726065395537e-05,1.07347026774755,"EB_df"
"14011",30000,0.8,0.001,0,0.362716935582504,5.73609124439188e-06,5.73609124439188e-06,0.0606733700997683,0.0534063390410352,1.25402402158739e-05,1.25402402158739e-05,0.123653818441365,"EB_df"
"15011",3e+05,0.8,0.001,0,0.159454804893505,4.38385901452344e-05,4.38385901452344e-05,3.42125294456085,0.0199530145438524,5.38346171232414e-06,5.38346171232414e-06,0.489966656641541,"EB_df"
"16011",30000,0.3,0.01,1,0.837689393939394,-0.000335663832496175,-0.000335663832496175,-0.601228773636781,0.254869489530172,0.000299154933982813,0.000299154933982813,0.425260985041559,"EB_df"
"17011",3e+05,0.3,0.01,1,0.369854264483299,-8.71978161194705e-07,-8.71978161194705e-07,-0.0901438002862579,0.0676612548666642,2.87898035822542e-07,2.87898035822542e-07,0.0299727372973835,"EB_df"
"18011",30000,0.8,0.01,1,0.80682432060899,-5.77443034151888e-05,-5.77443034151888e-05,-0.308666946729251,0.112631595426783,1.67410913675585e-05,1.67410913675585e-05,0.0901013700232458,"EB_df"
"19011",3e+05,0.8,0.01,1,0.233584684361216,7.19367640447435e-06,7.19367640447435e-06,0.808533295991071,0.0193685498699934,1.71028289431975e-06,1.71028289431975e-06,0.19486398065207,"EB_df"
"20011",30000,0.3,0.001,1,0.276172766478743,8.83929228168829e-06,8.83929228168829e-06,0.104561014389621,0.0631234946737563,1.59034862547487e-05,1.59034862547487e-05,0.171011192235778,"EB_df"
"21011",3e+05,0.3,0.001,1,0.150490821752496,3.14552828419007e-05,3.14552828419007e-05,3.36602227198543,0.0369896840861282,1.10708232376101e-05,1.10708232376101e-05,1.22453042347065,"EB_df"
"22011",30000,0.8,0.001,1,0.322311208030682,1.33909068722554e-05,1.33909068722554e-05,0.153962656203232,0.0504127828347709,1.41324630070564e-05,1.41324630070564e-05,0.164479106718504,"EB_df"
"23011",3e+05,0.8,0.001,1,0.163189225409867,3.30252355798753e-05,3.30252355798753e-05,3.24596905255696,0.018711929378156,4.33266318757725e-06,4.33266318757725e-06,0.500411456820642,"EB_df"
"12",30000,0.3,0.01,-1,1,-0.000831159794695222,-0.000831159794695222,-0.411860803319178,0,0.00215407702261753,0.00215407702261753,0.264292163568929,"EB_scam"
"1012",3e+05,0.3,0.01,-1,0.656243429505798,-6.65163575778554e-06,-6.65163575778554e-06,-0.312682649374724,0.0179045783378075,1.27184047472374e-06,1.27184047472374e-06,0.0469278149050809,"EB_scam"
"2012",30000,0.8,0.01,-1,0.876166303058119,-0.000426782620093568,-0.000426782620093568,-0.682265217550458,0.0680483126771458,0.000166842454211483,0.000166842454211483,0.120039896543545,"EB_scam"
"3012",3e+05,0.8,0.01,-1,0.55304661245421,1.97359704767668e-06,1.97359704767668e-06,0.117341213604698,0.0191684702494455,1.27021330421263e-06,1.27021330421263e-06,0.0767942080147746,"EB_scam"
"4012",30000,0.3,0.001,-1,0.668480138844594,-5.86533915083307e-05,-5.86533915083307e-05,-0.25588366539986,0.0475748659663722,3.09558541955778e-05,3.09558541955778e-05,0.111641459710015,"EB_scam"
"5012",3e+05,0.3,0.001,-1,0.315821506355996,8.98973209404371e-05,8.98973209404371e-05,5.70167238985899,0.0289584780883005,2.30776007819021e-05,2.30776007819021e-05,1.54473478500028,"EB_scam"
"6012",30000,0.8,0.001,-1,0.566770589578657,2.56650067911575e-05,2.56650067911575e-05,0.151239758211909,0.0347446802526901,6.10015157686016e-05,6.10015157686016e-05,0.35476197505512,"EB_scam"
