"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,1,-0.000760925183008241,-0.933274294022257,0,0.000385635696351523,0.0621029585257783,"EB"
"11",3e+05,0.3,0.01,-1,0.639440724201011,-6.52045111660693e-06,-0.290539351355456,0.0189744774476318,1.49016288209582e-06,0.0574382288375436,"EB"
"21",30000,0.8,0.01,-1,0.920864588644987,-0.000408189165418912,-0.713042711943863,0.0472574861963072,6.93099364850545e-05,0.0931217180102067,"EB"
"31",3e+05,0.8,0.01,-1,0.563819008222813,-1.48183185070302e-06,-0.0881995237680138,0.00928103744263136,2.57328623728199e-07,0.0133048272068848,"EB"
"41",30000,0.3,0.001,-1,0.65469431571078,-5.59124593988834e-05,-0.280338329734792,0.0609026929713812,2.59729118289382e-05,0.103988779239382,"EB"
"51",3e+05,0.3,0.001,-1,0.488041297393501,3.7579784931219e-07,0.0248682302216656,0.0302916577068307,4.9888501857994e-07,0.0335501227780196,"EB"
"61",30000,0.8,0.001,-1,0.513245280420163,4.65983351877822e-06,0.0355360319396954,0.0420689742581209,1.67975866120255e-05,0.103886855698487,"EB"
"71",3e+05,0.8,0.001,-1,0.468333630916473,1.11400705312811e-06,0.0730539916451914,0.0218772048996942,6.27955746391725e-07,0.0404492986319122,"EB"
"81",30000,0.3,0.01,0,0.85,-0.000434913522468947,-0.554726920254348,0.337474278855276,0.000285310438900597,1.02022061765093,"EB"
"91",3e+05,0.3,0.01,0,0.622413534894643,-3.10371182300874e-06,-0.271822114403789,0.0168197243252184,3.37688445528958e-07,0.024183358963411,"EB"
"101",30000,0.8,0.01,0,0.818189378518173,-0.000148302954505176,-0.659181939504077,0.0771553203568773,2.65093809825584e-05,0.0522286674792148,"EB"
"111",3e+05,0.8,0.01,0,0.555392973211452,-1.10553173865392e-06,-0.103182161474553,0.0163484309593063,2.3527703244968e-07,0.0184406093804387,"EB"
"121",30000,0.3,0.001,0,0.568982693269972,-1.33485101947714e-05,-0.118529966091643,0.0899737502084581,2.884432220047e-05,0.265431124223962,"EB"
"131",3e+05,0.3,0.001,0,0.49027134818012,2.39274545549185e-07,0.0215624502045977,0.0183000628103263,2.44690596402918e-07,0.0212412003207289,"EB"
"141",30000,0.8,0.001,0,0.513177156311504,-2.52458171549889e-06,-0.0228118204147255,0.0459985362439771,6.13358413900189e-06,0.0585702765050782,"EB"
"151",3e+05,0.8,0.001,0,0.478758405437146,1.37192982343561e-06,0.102465487016929,0.0173786445029719,1.36240250162344e-06,0.0995674964219932,"EB"
"161",30000,0.3,0.01,1,0.944444444444444,-0.000368471301489981,-0.655481651128869,0.166666666666667,0.000327904544726114,0.34105426207628,"EB"
"171",3e+05,0.3,0.01,1,0.610926924883411,-2.16523652914002e-06,-0.224176596115829,0.01830024453098,1.7668345510973e-07,0.024184146582645,"EB"
"181",30000,0.8,0.01,1,0.820826153136649,-0.000106764379223789,-0.598304268330774,0.055863477910769,2.35677943749079e-05,0.0829005640012652,"EB"
"191",3e+05,0.8,0.01,1,0.548580201404686,-6.26243797427488e-07,-0.0709745732345888,0.00864886913635667,1.04073528548692e-07,0.0110747058335284,"EB"
"201",30000,0.3,0.001,1,0.602002841575461,-1.37551604420681e-05,-0.143588882989327,0.0564592206104562,7.44699319023508e-06,0.0797281833547329,"EB"
"211",3e+05,0.3,0.001,1,0.473654065893336,4.0692739148184e-07,0.044351664433047,0.0302996739320526,4.15449929801724e-07,0.0438711322220329,"EB"
"221",30000,0.8,0.001,1,0.51241341910436,3.59285142324239e-06,0.0424319531167058,0.053081383108079,1.01074249806678e-05,0.112438761419485,"EB"
"231",3e+05,0.8,0.001,1,0.461214420555011,1.48862723164703e-06,0.151491764251045,0.0308494134128159,1.01903095433856e-06,0.104128673622035,"EB"
"12",30000,0.3,0.01,-1,1,-0.000760925183008241,-0.933274294022257,0,0.000385635696351523,0.0621029585257783,"old EB"
"112",3e+05,0.3,0.01,-1,0.639198005754409,-6.52296854146291e-06,-0.290650859735735,0.0190398962261231,1.48854841102713e-06,0.0573523225456909,"old EB"
"212",30000,0.8,0.01,-1,0.920864588644987,-0.000408189165418912,-0.713042711943863,0.0472574861963072,6.93099364850545e-05,0.0931217180102067,"old EB"
"311",3e+05,0.8,0.01,-1,0.563454266814106,-1.48416976178362e-06,-0.0883375022359211,0.00937586889742949,2.58517530746317e-07,0.0133755093003281,"old EB"
"411",30000,0.3,0.001,-1,0.645952393181482,-5.69508336425044e-05,-0.285639790427593,0.0695853009113525,2.625499668969e-05,0.10508110826942,"old EB"
"511",3e+05,0.3,0.001,-1,0.371351921746663,-4.32901126639823e-08,-0.00290944981109946,0.0414991958837224,3.07687371605364e-07,0.02057974468911,"old EB"
"611",30000,0.8,0.001,-1,0.439088048575627,-1.22409526033997e-06,0.00157262343395006,0.0672105497087605,1.5376240798451e-05,0.0936705545671316,"old EB"
"711",3e+05,0.8,0.001,-1,0.333212857843427,5.02257270960369e-07,0.0332906361889852,0.0231604311705842,5.06044340298178e-07,0.0329153403366651,"old EB"
"811",30000,0.3,0.01,0,0.85,-0.000434913522468947,-0.554726920254348,0.337474278855276,0.000285310438900597,1.02022061765093,"old EB"
"911",3e+05,0.3,0.01,0,0.622413534894643,-3.10371182300874e-06,-0.271822114403789,0.0168197243252184,3.37688445528958e-07,0.024183358963411,"old EB"
"1011",30000,0.8,0.01,0,0.818189378518173,-0.000148302954505176,-0.659181939504077,0.0771553203568773,2.65093809825584e-05,0.0522286674792148,"old EB"
"1111",3e+05,0.8,0.01,0,0.552525126529151,-1.10890618853866e-06,-0.103525025397701,0.01925289761003,2.31718856409743e-07,0.0181609145855821,"old EB"
"1211",30000,0.3,0.001,0,0.54851899873772,-1.88813683404336e-05,-0.168679201976731,0.109066787624054,1.96855823593221e-05,0.176378982169828,"old EB"
"1311",3e+05,0.3,0.001,0,0.405806921509811,-1.32414921462719e-07,-0.011230763175925,0.0305056701600268,2.29078938893857e-07,0.0194735432340683,"old EB"
"1411",30000,0.8,0.001,0,0.462347439163313,-5.00145498201698e-06,-0.0469055586660822,0.0517916632093829,4.81010131520187e-06,0.0439777807111311,"old EB"
"1511",3e+05,0.8,0.001,0,0.345914540613122,3.81357306118691e-07,0.0287783419914974,0.0164433861217519,6.10190730206138e-07,0.0435111143979826,"old EB"
"1611",30000,0.3,0.01,1,0.944444444444444,-0.000368471301489981,-0.655481651128869,0.166666666666667,0.000327904544726114,0.34105426207628,"old EB"
"1711",3e+05,0.3,0.01,1,0.611034451765132,-2.17458098173345e-06,-0.225174489627048,0.0184142303851616,1.70419329267559e-07,0.0240040773197603,"old EB"
"1811",30000,0.8,0.01,1,0.820826153136649,-0.000106764379223789,-0.598304268330774,0.055863477910769,2.35677943749079e-05,0.0829005640012652,"old EB"
"1911",3e+05,0.8,0.01,1,0.545276715288972,-6.32019896719901e-07,-0.0716280416336585,0.0140069835742533,9.67154607899296e-08,0.0101955254632239,"old EB"
"2011",30000,0.3,0.001,1,0.563857152503763,-1.62581799064375e-05,-0.168720734866992,0.0732580348672403,5.86030655998372e-06,0.0610221550080982,"old EB"
"2111",3e+05,0.3,0.001,1,0.363841957350414,5.63910395078356e-08,0.00632199311672921,0.0400317043120844,1.97750389758536e-07,0.0214322219941412,"old EB"
"2211",30000,0.8,0.001,1,0.446890819068967,-9.70832477397708e-07,-0.0083789451449757,0.0629124571050392,6.09223878700833e-06,0.0648813203495546,"old EB"
"2311",3e+05,0.8,0.001,1,0.335050342116307,4.62873189147733e-07,0.0482270508325464,0.0313176383128071,5.23558630660848e-07,0.0516296069137402,"old EB"
"13",30000,0.3,0.01,-1,1,-0.000738072135471321,-0.878497871700834,0,0.000424167298873989,0.14160979204525,"rep"
"113",3e+05,0.3,0.01,-1,0.562927020576677,-6.1255054965353e-06,-0.270693341519072,0.0189394110046775,1.84268483119079e-06,0.0660302229685796,"rep"
"213",30000,0.8,0.01,-1,0.822604801237966,-0.000420890996916428,-0.728947988289692,0.0678512366666341,9.12197231885968e-05,0.102457765061872,"rep"
"312",3e+05,0.8,0.01,-1,0.513835362198373,-1.2890297941245e-06,-0.0762556690051369,0.0064861384879605,9.47732334070449e-07,0.0557368866516051,"rep"
"412",30000,0.3,0.001,-1,0.536944741522131,-3.04744467095628e-05,-0.13244415798998,0.0416563918064605,4.94641198598328e-05,0.267562561135485,"rep"
"512",3e+05,0.3,0.001,-1,0.502710521192612,-2.58223996160578e-07,-0.00828624096038028,0.0191882541046271,2.10094284666572e-06,0.128347131576574,"rep"
"612",30000,0.8,0.001,-1,0.510606247184267,2.70685140732596e-06,0.0263521886132214,0.0275042899057266,1.79791173250691e-05,0.0977845194090347,"rep"
"712",3e+05,0.8,0.001,-1,0.496033466743524,5.60506506196763e-07,0.0367969616980504,0.0252364980618743,1.79317856524901e-06,0.112855546737301,"rep"
"812",30000,0.3,0.01,0,0.9,-0.000470239429948645,-0.811124623084618,0.316227766016838,0.0002043355255945,0.340347764069567,"rep"
"912",3e+05,0.3,0.01,0,0.542969206495501,-3.01787844306434e-06,-0.262515442236256,0.0151286222632856,8.29386931530851e-07,0.0600893815649881,"rep"
"1012",30000,0.8,0.01,0,0.73198677843161,-0.000147428275349858,-0.644715133377809,0.0433778993135462,4.04028711481398e-05,0.0791375366374209,"rep"
"1112",3e+05,0.8,0.01,0,0.512957940881457,-1.3373982438032e-06,-0.121881419377781,0.0140308842871142,7.39171158520598e-07,0.0602250667561125,"rep"
"1212",30000,0.3,0.001,0,0.511869146184385,-2.49509024165073e-05,-0.213133705039378,0.0720103268945619,2.05189999043451e-05,0.175963800729597,"rep"
"1312",3e+05,0.3,0.001,0,0.497863433447395,2.80793588914602e-07,0.0268619215741766,0.0270632561313795,1.14666458859958e-06,0.102049678851049,"rep"
"1412",30000,0.8,0.001,0,0.507663162665702,-1.13670690359785e-05,-0.100470159709464,0.0310756608636737,1.4162506933405e-05,0.125815799174597,"rep"
"1512",3e+05,0.8,0.001,0,0.513329597701667,-1.48046267741627e-06,-0.10217270265039,0.01637076701926,1.18433849927211e-06,0.0772683155080452,"rep"
"1612",30000,0.3,0.01,1,0.916666666666667,-0.000439926993906509,-0.834730107613243,0.176776695296637,0.000386328087264927,0.153850514133063,"rep"
"1712",3e+05,0.3,0.01,1,0.536047324252748,-2.16299353441708e-06,-0.221710264800519,0.0084524949925031,4.68359866155694e-07,0.0378034886000404,"rep"
"1812",30000,0.8,0.01,1,0.717304162069231,-0.000111255377650938,-0.611073940948529,0.0667036899375339,3.51466805918161e-05,0.0983619075746629,"rep"
"1912",3e+05,0.8,0.01,1,0.504944717057419,-7.17047369831516e-07,-0.0803689925924617,0.00924486215202436,3.99888598088474e-07,0.0441633686801564,"rep"
"2012",30000,0.3,0.001,1,0.547605508734967,-1.83902188935033e-05,-0.175228359250461,0.0366444511236407,1.71110940403155e-05,0.153145615594817,"rep"
"2112",3e+05,0.3,0.001,1,0.503858190990849,3.21787814864121e-07,0.0395754348470585,0.014487482134493,7.08247991982226e-07,0.0743950225213269,"rep"
"2212",30000,0.8,0.001,1,0.503638172399099,-1.13764381982625e-05,-0.116615126674627,0.0390394689450672,1.41726069237728e-05,0.147448714985342,"rep"
"2312",3e+05,0.8,0.001,1,0.499249695340848,-1.38268286506637e-07,-0.00824228349914126,0.013851899843923,8.82277849632674e-07,0.0819373153725367,"rep"
