"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,1,-0.0017385339587237,-0.865853295363374,0,0.00133281802640519,0.156324926250119,"EB"
"21",3e+05,0.3,0.01,-1,0.639593891009973,-6.62108428059349e-06,-0.314323667702526,0.0173456545413217,9.48499715838359e-07,0.0377752550541746,"EB"
"41",30000,0.8,0.01,-1,0.913974356332788,-0.000434970274373562,-0.731449296027486,0.0585249442705653,0.000133652755220414,0.0836082372319027,"EB"
"61",3e+05,0.8,0.01,-1,0.56729921271042,-1.67326223155266e-06,-0.0976538731423629,0.00837562420640583,2.78491814179226e-07,0.0150413542069193,"EB"
"81",30000,0.3,0.001,-1,0.631165699225747,-3.2179276029409e-05,-0.137537117896999,0.0869920096792745,5.73267291331159e-05,0.319169907370786,"EB"
"101",3e+05,0.3,0.001,-1,0.492638627461327,5.43467910745206e-07,0.0349332801741374,0.0159684714867336,5.02348947443696e-07,0.031292241562913,"EB"
"121",30000,0.8,0.001,-1,0.522975578557754,-1.13037878911896e-06,-0.00317553530625246,0.0450226152692639,1.36941552510023e-05,0.075178475456921,"EB"
"141",3e+05,0.8,0.001,-1,0.475737219407114,9.90367581870552e-07,0.0638053100193278,0.0197824795208089,7.73483281414575e-07,0.0506139479527797,"EB"
"161",30000,0.3,0.01,0,0.90625,-0.000741981018731016,-0.537619715884051,0.271952814534679,0.00103986566053819,1.04978864651606,"EB"
"181",3e+05,0.3,0.01,0,0.621185704828795,-3.23185858673591e-06,-0.276974937326663,0.0199097296533277,4.21627153314983e-07,0.0276822803778761,"EB"
"201",30000,0.8,0.01,0,0.843450216679172,-0.000144202111821361,-0.638674161205716,0.0712618806042752,2.20590593550887e-05,0.0813279213076613,"EB"
"221",3e+05,0.8,0.01,0,0.558885555026652,-1.06980916155041e-06,-0.101229676800681,0.0125222256925173,1.37462079690686e-07,0.0126772460735925,"EB"
"241",30000,0.3,0.001,0,0.600620479855488,-2.08826850308678e-05,-0.179971984694994,0.0484861621023121,1.07931915261904e-05,0.0838227747380309,"EB"
"261",3e+05,0.3,0.001,0,0.486225247288164,3.36946920467043e-07,0.0302958724289992,0.0213622134615162,3.82347313807164e-07,0.033881646488118,"EB"
"281",30000,0.8,0.001,0,0.515869564651127,-1.27496507015259e-06,-0.00987170764986298,0.044543456441784,1.00508984148996e-05,0.0896942596925497,"EB"
"301",3e+05,0.8,0.001,0,0.463481001320091,1.85722648401175e-06,0.144296808837187,0.0175809255569393,9.28651406947785e-07,0.0751354619319467,"EB"
"321",30000,0.3,0.01,1,0.779166666666667,-0.00049950496203917,-0.601432169440311,0.329223568255277,0.000442437858808467,0.436343724239544,"EB"
"341",3e+05,0.3,0.01,1,0.596054811132636,-1.94527791735426e-06,-0.202264134811775,0.0130435072896044,2.68772766769876e-07,0.0266365795562355,"EB"
"361",30000,0.8,0.01,1,0.78285785231377,-0.000113026764165062,-0.582825814579637,0.0648947247404395,2.83077515065347e-05,0.0588552842344266,"EB"
"381",3e+05,0.8,0.01,1,0.551044323221394,-6.55782099690426e-07,-0.0733902850815455,0.00968222052001731,1.31316996320727e-07,0.0136511280318812,"EB"
"401",30000,0.3,0.001,1,0.587522202127109,-1.4862261622499e-05,-0.150273239634254,0.0691102610405165,9.54171180454248e-06,0.0949001499476508,"EB"
"421",3e+05,0.3,0.001,1,0.479896165101602,4.6941454379273e-07,0.0505596357108898,0.0276098893684721,4.26919962818227e-07,0.0459790976921372,"EB"
"441",30000,0.8,0.001,1,0.498991923344891,3.20543931166088e-06,0.0373214566089949,0.0400948579729533,7.74910829424611e-06,0.0890595361671025,"EB"
"461",3e+05,0.8,0.001,1,0.465262735234876,1.40756972012171e-06,0.136243949445613,0.0213169353358351,7.10267697878595e-07,0.0670577629109663,"EB"
"11",30000,0.3,0.01,-1,1,-0.0017472273069736,-0.89756620990247,0,0.00128635048210976,0.08321216972659,"FIQT"
"211",3e+05,0.3,0.01,-1,0.44458535871768,1.28220074702899e-06,0.0630048266121684,0.017480971980062,1.57498316167331e-06,0.0755767151930075,"FIQT"
"411",30000,0.8,0.01,-1,0.75797660776281,-0.000453420352082089,-0.708633715743115,0.088083936447528,0.000248554553544786,0.190287529604404,"FIQT"
"611",3e+05,0.8,0.01,-1,0.281148693461729,4.58840893359374e-06,0.268872123389425,0.00609015865725103,7.20198124969024e-07,0.0445514905460415,"FIQT"
"811",30000,0.3,0.001,-1,0.325733381734619,0.000129812792929987,0.788652515456287,0.0658023798529619,8.56464998776159e-05,0.669061254807879,"FIQT"
"1011",3e+05,0.3,0.001,-1,0.13404072328053,6.45255756787013e-06,0.414223222392716,0.0170240326153658,1.42219061488282e-06,0.0939749199525257,"FIQT"
"1211",30000,0.8,0.001,-1,0.224755170614797,0.000133974208209274,0.789171753138507,0.0151107224739737,3.89331623176799e-05,0.277419113268674,"FIQT"
"1411",3e+05,0.8,0.001,-1,0.105349759742666,3.40058334138253e-06,0.220106893542744,0.0130305353782526,6.73972597411795e-07,0.039770011869468,"FIQT"
"1611",30000,0.3,0.01,0,0.9375,-0.000766711979332912,-0.670061447959443,0.25,0.000976304282223844,0.875247782032806,"FIQT"
"1811",3e+05,0.3,0.01,0,0.405837283300271,3.78983093081114e-07,0.0365550127248378,0.0195195616560659,9.16591828609055e-07,0.0806866434583459,"FIQT"
"2011",30000,0.8,0.01,0,0.697885690440075,-0.000136721620074914,-0.591163533014384,0.0582253620371558,4.16924326229421e-05,0.110639668242047,"FIQT"
"2211",3e+05,0.8,0.01,0,0.270801337959086,2.06128808750436e-06,0.195459543849106,0.00861665583402139,4.64738510446987e-07,0.0455283265660857,"FIQT"
"2411",30000,0.3,0.001,0,0.304835194516446,7.26047722190304e-05,0.666204182176075,0.035089162221653,2.85768216213945e-05,0.357987255856297,"FIQT"
"2611",3e+05,0.3,0.001,0,0.138962762425746,4.58317349524574e-06,0.400780158229388,0.0106602152550525,1.13319243069151e-06,0.0981709062059431,"FIQT"
"2811",30000,0.8,0.001,0,0.201275074323141,6.92398805504681e-05,0.675091819830641,0.0177420730216218,1.58676120117665e-05,0.1983018634825,"FIQT"
"3011",3e+05,0.8,0.001,0,0.108891395629183,3.95979511850131e-06,0.301470555774893,0.00826917704507944,1.14366094612058e-06,0.0747468353538138,"FIQT"
"3211",30000,0.3,0.01,1,0.829166666666667,-0.000564690956883886,-0.688766599860846,0.320447193011223,0.000489178235157765,0.491100134679679,"FIQT"
"3411",3e+05,0.3,0.01,1,0.364719941546257,1.91975605786067e-06,0.201572757896462,0.0170987571899358,6.17297461736061e-07,0.0703346151107763,"FIQT"
"3611",30000,0.8,0.01,1,0.571180750111711,-8.2974137601374e-05,-0.398131024939761,0.0572918159124688,4.90335542751996e-05,0.143289185538638,"FIQT"
"3811",3e+05,0.8,0.01,1,0.257302571321167,2.12242048245417e-06,0.2387300350348,0.00734562031845049,2.57128195517179e-07,0.032728139968859,"FIQT"
"4011",30000,0.3,0.001,1,0.286981197429977,7.22690324994812e-05,0.762481655463023,0.0459327265431316,2.66968602409722e-05,0.342321378003444,"FIQT"
"4211",3e+05,0.3,0.001,1,0.142940499781186,3.75081300788489e-06,0.408834362370694,0.0152632118718008,7.3447326987336e-07,0.087149846659804,"FIQT"
"4411",30000,0.8,0.001,1,0.192791793938309,5.64050831486685e-05,0.662332429366543,0.0245296323925514,9.69714033579417e-06,0.146347161666364,"FIQT"
"4611",3e+05,0.8,0.001,1,0.109826253334365,2.63314684538435e-06,0.26045967019433,0.0117526193329911,7.06355725242629e-07,0.0758263698451014,"FIQT"
"12",30000,0.3,0.01,-1,1,-0.00175648485391756,-0.846611853286485,0,0.00138698018775517,0.191152028720888,"BR"
"212",3e+05,0.3,0.01,-1,0.60341411875524,-4.31329114267177e-06,-0.204044635651589,0.0172145784620795,1.24251886841752e-06,0.052765133873698,"BR"
"412",30000,0.8,0.01,-1,0.780216034051619,-0.000464374168026049,-0.739264070982097,0.0871568463433101,0.000224289570355677,0.133434393504475,"BR"
"612",3e+05,0.8,0.01,-1,0.531884953671414,-2.49577911953081e-07,-0.0143172070006143,0.00892265231963799,4.56016642343922e-07,0.0263252590057075,"BR"
"812",30000,0.3,0.001,-1,0.459501110006577,7.30121981250848e-05,0.469868245775806,0.0826777486290039,8.92671726715495e-05,0.56233887184929,"BR"
"1012",3e+05,0.3,0.001,-1,0.275883675114676,1.32512253438622e-05,0.852026247382027,0.0229779059623725,2.23212285805178e-06,0.158032453569705,"BR"
"1212",30000,0.8,0.001,-1,0.297425682484287,0.000162908700005005,0.957658355323124,0.0306184985163015,4.49732607630608e-05,0.310224445039091,"BR"
"1412",3e+05,0.8,0.001,-1,0.300936044788073,6.75658876485806e-06,0.437791755588016,0.0264867767525632,1.1136622617007e-06,0.0680914686953847,"BR"
"1612",30000,0.3,0.01,0,0.84375,-0.000719029708019969,-0.409770250679218,0.352077169571293,0.00108075236859034,1.29639247325102,"BR"
"1812",3e+05,0.3,0.01,0,0.577227949166415,-2.02636524113366e-06,-0.171762826927713,0.0220243716277121,6.73967745878947e-07,0.0495386091255506,"BR"
"2012",30000,0.8,0.01,0,0.741682534035303,-0.000148836573066515,-0.647755150511688,0.0413374127109715,3.77207984754242e-05,0.0872144221361704,"BR"
"2212",3e+05,0.8,0.01,0,0.524574990011651,-4.07310536632492e-07,-0.0383845837127636,0.0108596239580563,2.92964680084199e-07,0.027553590883377,"BR"
"2412",30000,0.3,0.001,0,0.448684132239985,3.75134473117668e-05,0.353446145994063,0.0481084075952811,2.55421660894041e-05,0.269549464323546,"BR"
"2612",3e+05,0.3,0.001,0,0.282119894008898,8.99559263389714e-06,0.786741458640438,0.0193532856241071,1.70217443375844e-06,0.146443858905645,"BR"
"2812",30000,0.8,0.001,0,0.286042162058546,0.000104638645524492,1.02229382215674,0.0260113947363379,2.47041687529323e-05,0.319845582804998,"BR"
"3012",3e+05,0.8,0.001,0,0.300473938642222,6.35711304215233e-06,0.488781092108788,0.0272300885522838,1.0048553388196e-06,0.0702763537219835,"BR"
"3212",30000,0.3,0.01,1,0.808333333333333,-0.000532315696517654,-0.612235893078986,0.334537299382838,0.000495328673227746,0.527784039376785,"BR"
