"","n_samples","h2","prop_effect","S","results","res_error","method"
"1",30000,0.3,0.01,-1,-0.278978250808413,0.450142191754296,"EB"
"11",3e+05,0.3,0.01,-1,-0.320291971139918,0.0410428714629258,"EB"
"21",30000,0.8,0.01,-1,-0.676232812560823,0.119251025200259,"EB"
"31",3e+05,0.8,0.01,-1,-0.0886693816434213,0.0247315857381325,"EB"
"41",30000,0.3,0.001,-1,-0.262830774181463,0.130773630673699,"EB"
"51",3e+05,0.3,0.001,-1,0.0460734430990951,0.0439687898808474,"EB"
"61",30000,0.8,0.001,-1,0.0277445276955882,0.109143418664617,"EB"
"71",3e+05,0.8,0.001,-1,0.0703096566729097,0.0524768166361064,"EB"
"81",30000,0.3,0.01,0,-0.651035498495248,0.36478633088785,"EB"
"91",3e+05,0.3,0.01,0,-0.286517654744154,0.0297350578049464,"EB"
"101",30000,0.8,0.01,0,-0.66114231868087,0.0637880300083772,"EB"
"111",3e+05,0.8,0.01,0,-0.102944402236143,0.0170285991213416,"EB"
"121",30000,0.3,0.001,0,-0.200946924505966,0.0564418699616364,"EB"
"131",3e+05,0.3,0.001,0,0.0534906104503034,0.0360569951901893,"EB"
"141",30000,0.8,0.001,0,-0.00672760345679022,0.065254448265997,"EB"
"151",3e+05,0.8,0.001,0,0.137298867130469,0.106237276806235,"EB"
"161",30000,0.3,0.01,1,-0.669095503074494,0.278755766610449,"EB"
"171",3e+05,0.3,0.01,1,-0.211466579688194,0.0227883456939036,"EB"
"181",30000,0.8,0.01,1,-0.619103695946618,0.0513055112321927,"EB"
"191",3e+05,0.8,0.01,1,-0.0729865321938348,0.0149337083223489,"EB"
"201",30000,0.3,0.001,1,-0.143433418126275,0.0905682993869073,"EB"
"211",3e+05,0.3,0.001,1,0.0446222082069585,0.0394595922164997,"EB"
"221",30000,0.8,0.001,1,0.0153553921473036,0.0685721303167667,"EB"
"231",3e+05,0.8,0.001,1,0.193817401500214,0.0667572095262918,"EB"
"12",30000,0.3,0.01,-1,-0.374623054059289,0.465750779758179,"FIQT"
"112",3e+05,0.3,0.01,-1,0.0174642178344116,0.0964240969659563,"FIQT"
"212",30000,0.8,0.01,-1,-0.80322579476969,0.0426774138538953,"FIQT"
"311",3e+05,0.8,0.01,-1,0.299730641960981,0.0466779900797478,"FIQT"
"411",30000,0.3,0.001,-1,0.608965404871903,0.494829008506751,"FIQT"
"511",3e+05,0.3,0.001,-1,0.421766929074939,0.0878791484324095,"FIQT"
"611",30000,0.8,0.001,-1,0.83855729011008,0.245964830226003,"FIQT"
"711",3e+05,0.8,0.001,-1,0.203604427302257,0.0439252808913196,"FIQT"
"811",30000,0.3,0.01,0,-0.709001303214828,0.379154079681547,"FIQT"
"911",3e+05,0.3,0.01,0,0.0660143339604095,0.0572538660235317,"FIQT"
"1011",30000,0.8,0.01,0,-0.580607589070328,0.126238869708428,"FIQT"
"1111",3e+05,0.8,0.01,0,0.202861361437603,0.0471383106223173,"FIQT"
"1211",30000,0.3,0.001,0,0.7956647253735,0.575126755393987,"FIQT"
"1311",3e+05,0.3,0.001,0,0.454527965123574,0.116791614417508,"FIQT"
"1411",30000,0.8,0.001,0,0.621543692825826,0.207482514839886,"FIQT"
"1511",3e+05,0.8,0.001,0,0.331640426308613,0.106033745028835,"FIQT"
"1611",30000,0.3,0.01,1,-0.576328701346894,0.487232287294746,"FIQT"
"1711",3e+05,0.3,0.01,1,0.201699108437387,0.0493716309241064,"FIQT"
"1811",30000,0.8,0.01,1,-0.40226062472238,0.232982017254796,"FIQT"
"1911",3e+05,0.8,0.01,1,0.227612933043855,0.0226285822173302,"FIQT"
"2011",30000,0.3,0.001,1,0.627281818960198,0.381787401134365,"FIQT"
"2111",3e+05,0.3,0.001,1,0.375138934687073,0.0880988092814366,"FIQT"
"2211",30000,0.8,0.001,1,0.666062780725919,0.254660581990772,"FIQT"
"2311",3e+05,0.8,0.001,1,0.232464435466374,0.0758795429006741,"FIQT"
"13",30000,0.3,0.01,-1,-0.488766542548816,0.449223698062348,"BR"
