"","sim","n_samples","h2","prop_effect","S","n_sig","prop_bias","prop_x","mse"
"1",1,30000,0.3,0.01,-1,606,0.998349834983498,0.912541254125413,0.00185663761395917
"2",2,30000,0.3,0.01,-1,648,1,0.925925925925926,0.00213647911662518
"3",3,30000,0.3,0.01,-1,603,0.998341625207297,0.91044776119403,0.00206669566409225
"4",4,30000,0.3,0.01,-1,626,0.998402555910543,0.913738019169329,0.00196534917042751
"5",5,30000,0.3,0.01,-1,625,1,0.928,0.00203209241726175
"6",6,30000,0.3,0.01,-1,608,1,0.916118421052632,0.00170267840741994
"7",7,30000,0.3,0.01,-1,629,1,0.906200317965024,0.00181836031961386
"8",8,30000,0.3,0.01,-1,636,1,0.924528301886792,0.00182007344855758
"9",9,30000,0.3,0.01,-1,604,1,0.925496688741722,0.00177693328734381
"10",10,30000,0.3,0.01,-1,588,1,0.91156462585034,0.00182515547721749
"11",11,30000,0.3,0.01,-1,619,1,0.904684975767367,0.00186034937276599
"12",12,30000,0.3,0.01,-1,566,1,0.920494699646643,0.00192877421300603
"13",13,30000,0.3,0.01,-1,636,1,0.918238993710692,0.0019015329611454
"14",14,30000,0.3,0.01,-1,591,0.998307952622673,0.900169204737733,0.00181459536432332
"15",15,30000,0.3,0.01,-1,613,1,0.915171288743883,0.00181349873566982
"16",16,30000,0.3,0.01,-1,658,1,0.901215805471125,0.0019095064613747
"17",17,30000,0.3,0.01,-1,611,1,0.909983633387889,0.00210441336449796
"18",18,30000,0.3,0.01,-1,596,1,0.895973154362416,0.00180724965654656
"19",19,30000,0.3,0.01,-1,615,0.998373983739837,0.930081300813008,0.00214838680997892
"20",20,30000,0.3,0.01,-1,579,1,0.920552677029361,0.00188100201670779
"21",21,30000,0.3,0.01,-1,626,1,0.916932907348243,0.00202620189227367
"22",22,30000,0.3,0.01,-1,588,1,0.914965986394558,0.00184157241928836
"23",23,30000,0.3,0.01,-1,596,1,0.917785234899329,0.00209500746137368
"24",24,30000,0.3,0.01,-1,634,1,0.916403785488959,0.00193953734629262
"25",25,30000,0.3,0.01,-1,590,1,0.898305084745763,0.00196106922076905
"26",26,30000,0.3,0.01,-1,581,1,0.91394148020654,0.00181550592722926
"27",27,30000,0.3,0.01,-1,590,1,0.901694915254237,0.0018434288517385
"28",28,30000,0.3,0.01,-1,591,1,0.913705583756345,0.00212459625842849
"29",29,30000,0.3,0.01,-1,624,1,0.931089743589744,0.00212699545907706
"30",30,30000,0.3,0.01,-1,588,0.998299319727891,0.904761904761905,0.00176972163857752
"31",31,30000,0.3,0.01,-1,609,1,0.899835796387521,0.00171391896092647
"32",32,30000,0.3,0.01,-1,581,1,0.931153184165232,0.00198325776549551
"33",33,30000,0.3,0.01,-1,643,1,0.912908242612753,0.00195105698433596
"34",34,30000,0.3,0.01,-1,589,1,0.932088285229202,0.00204051569576657
"35",35,30000,0.3,0.01,-1,618,1,0.912621359223301,0.00195909295266628
"36",36,30000,0.3,0.01,-1,630,0.998412698412698,0.912698412698413,0.00194353823807177
"37",37,30000,0.3,0.01,-1,572,1,0.921328671328671,0.00214897660950111
"38",38,30000,0.3,0.01,-1,623,0.998394863563403,0.924558587479936,0.00194280628902852
"39",39,30000,0.3,0.01,-1,607,0.99835255354201,0.911037891268534,0.00182795556115105
"40",40,30000,0.3,0.01,-1,619,1,0.89983844911147,0.00186743537130811
"41",41,30000,0.3,0.01,-1,629,1,0.912559618441971,0.00199044017900425
"42",42,30000,0.3,0.01,-1,643,1,0.906687402799378,0.00182738076933633
"43",43,30000,0.3,0.01,-1,575,0.996521739130435,0.911304347826087,0.00180998514783666
"44",44,30000,0.3,0.01,-1,621,0.998389694041868,0.906602254428341,0.00196991677736327
"45",45,30000,0.3,0.01,-1,607,1,0.922570016474465,0.00193197755112671
"46",46,30000,0.3,0.01,-1,594,1,0.904040404040404,0.00199587262665272
"47",47,30000,0.3,0.01,-1,625,1,0.9104,0.00185406019300171
"48",48,30000,0.3,0.01,-1,625,1,0.9216,0.00204894232109681
"49",49,30000,0.3,0.01,-1,597,0.998324958123953,0.896147403685092,0.0017621492932401
"50",50,30000,0.3,0.01,-1,605,1,0.927272727272727,0.00186070528931695
"51",51,30000,0.3,0.01,-1,570,1,0.919298245614035,0.00181845274213178
"52",52,30000,0.3,0.01,-1,617,1,0.922204213938412,0.00205439570871654
"53",53,30000,0.3,0.01,-1,637,1,0.91679748822606,0.00190963673975479
"54",54,30000,0.3,0.01,-1,624,1,0.903846153846154,0.00197677066196936
"55",55,30000,0.3,0.01,-1,628,1,0.917197452229299,0.00193889669606626
"56",56,30000,0.3,0.01,-1,605,0.998347107438017,0.930578512396694,0.00189212513461414
"57",57,30000,0.3,0.01,-1,601,1,0.92179700499168,0.00202754646976297
"58",58,30000,0.3,0.01,-1,625,1,0.92,0.00175963273368763
"59",59,30000,0.3,0.01,-1,618,0.998381877022654,0.915857605177994,0.00192256726397667
"60",60,30000,0.3,0.01,-1,570,1,0.908771929824561,0.00201055643725362
"61",61,30000,0.3,0.01,-1,575,0.998260869565217,0.91304347826087,0.00196586409724888
"62",62,30000,0.3,0.01,-1,661,0.998487140695915,0.930408472012103,0.0018872121813963
"63",63,30000,0.3,0.01,-1,608,0.996710526315789,0.914473684210526,0.00203513754797552
"64",64,30000,0.3,0.01,-1,611,1,0.927986906710311,0.00201483188762507
"65",65,30000,0.3,0.01,-1,614,1,0.925081433224756,0.0019922960785319
"66",66,30000,0.3,0.01,-1,615,1,0.91869918699187,0.00179377454520132
"67",67,30000,0.3,0.01,-1,600,1,0.911666666666667,0.00206723755683861
"68",68,30000,0.3,0.01,-1,610,0.99672131147541,0.895081967213115,0.00180889924177727
"69",69,30000,0.3,0.01,-1,624,1,0.932692307692308,0.00209244484369779
"70",70,30000,0.3,0.01,-1,585,1,0.921367521367521,0.0020707285641082
"71",71,30000,0.3,0.01,-1,615,1,0.915447154471545,0.00202640466746177
"72",72,30000,0.3,0.01,-1,600,1,0.911666666666667,0.00201024988472538
"73",73,30000,0.3,0.01,-1,649,1,0.932203389830508,0.00196827124832145
"74",74,30000,0.3,0.01,-1,606,1,0.915841584158416,0.00192543782674285
"75",75,30000,0.3,0.01,-1,590,1,0.932203389830508,0.00198915691954681
"76",76,30000,0.3,0.01,-1,626,0.998402555910543,0.89297124600639,0.00181746090065478
"77",77,30000,0.3,0.01,-1,600,1,0.928333333333333,0.00182457988747223
"78",78,30000,0.3,0.01,-1,574,1,0.921602787456446,0.00193774311452856
"79",79,30000,0.3,0.01,-1,588,1,0.914965986394558,0.00195157028365521
"80",80,30000,0.3,0.01,-1,624,1,0.91025641025641,0.00179570585718841
"81",81,30000,0.3,0.01,-1,625,0.9984,0.912,0.00181063014747241
"82",82,30000,0.3,0.01,-1,626,1,0.912140575079872,0.00195112438049463
"83",83,30000,0.3,0.01,-1,596,1,0.926174496644295,0.00178050285919636
"84",84,30000,0.3,0.01,-1,643,1,0.912908242612753,0.00198678696622679
"85",85,30000,0.3,0.01,-1,580,1,0.924137931034483,0.00190614158446686
"86",86,30000,0.3,0.01,-1,597,1,0.891122278056951,0.00180622206222275
"87",87,30000,0.3,0.01,-1,670,1,0.916417910447761,0.00187262918035501
"88",88,30000,0.3,0.01,-1,591,1,0.912013536379019,0.00197269535076037
