"","sim","n_samples","h2","prop_effect","S","n_sig","prop_bias","prop_x","mse"
"1",1,30000,0.3,0.01,0,1937,1,0.820340733092411,0.00103547339575325
"2",2,30000,0.3,0.01,0,1834,0.999454743729553,0.851145038167939,0.000919055665147316
"3",3,30000,0.3,0.01,0,1370,1,0.901459854014598,0.000988990201968049
"4",4,30000,0.3,0.01,0,1029,0.989310009718173,0.699708454810496,0.000836114656371756
"5",5,30000,0.3,0.01,0,1854,1,0.7319309600863,0.000807854995829498
"6",6,30000,0.3,0.01,0,1804,0.980044345898004,0.69179600886918,0.00085356522314402
"7",7,30000,0.3,0.01,0,1334,0.987256371814093,0.761619190404798,0.000989511085433265
"8",8,30000,0.3,0.01,0,1494,1,0.766398929049531,0.000996482540630871
"9",9,30000,0.3,0.01,0,1573,1,0.745073108709472,0.00100170619636544
"10",10,30000,0.3,0.01,0,2041,1,0.850073493385595,0.00101763932322757
"11",1,3e+05,0.3,0.01,0,82422,0.722853121739341,0.16684865691199,2.07311798565169e-05
"12",2,3e+05,0.3,0.01,0,80231,0.723361294262816,0.172863357056499,2.03358640882907e-05
"13",3,3e+05,0.3,0.01,0,82425,0.710269942371853,0.175298756445253,2.05288519441572e-05
"14",4,3e+05,0.3,0.01,0,76860,0.736208691126724,0.169854280510018,2.04068207664309e-05
"15",5,3e+05,0.3,0.01,0,80498,0.707321921041517,0.166612835101493,2.09079056213871e-05
"16",6,3e+05,0.3,0.01,0,77963,0.712196811307928,0.161550992137296,1.99040920599955e-05
"17",7,3e+05,0.3,0.01,0,78940,0.723524195591589,0.169533823156828,2.10307855444762e-05
"18",8,3e+05,0.3,0.01,0,80265,0.712464959820594,0.169700367532548,2.05993510328645e-05
"19",9,3e+05,0.3,0.01,0,82220,0.718474823643882,0.179761615178789,2.17784165084823e-05
"20",10,3e+05,0.3,0.01,0,79305,0.707698127482504,0.172624676880398,2.06093157681783e-05
"21",1,30000,0.8,0.01,0,11019,0.922769761321354,0.42925855340775,0.000424912590437295
"22",2,30000,0.8,0.01,0,12209,0.911131132770907,0.372102547301171,0.000388312739760585
"23",3,30000,0.8,0.01,0,11214,0.910736579275905,0.440699126092385,0.000446048234756259
"24",4,30000,0.8,0.01,0,10884,0.881477398015435,0.433664094083058,0.000420168273605798
"25",5,30000,0.8,0.01,0,11134,0.900125740973594,0.339051553799174,0.000352884866425511
"26",6,30000,0.8,0.01,0,10876,0.911088635527768,0.441890400882677,0.00042538919193605
"27",7,30000,0.8,0.01,0,11122,0.916831505124978,0.431666966372954,0.000424405839919967
"28",8,30000,0.8,0.01,0,10333,0.898867705409852,0.44894996612794,0.000433051295547332
"29",9,30000,0.8,0.01,0,11489,0.882931499695361,0.400644094351118,0.000377487220859108
"30",10,30000,0.8,0.01,0,11886,0.890122833585731,0.376661618711089,0.000388176581797311
"31",1,3e+05,0.8,0.01,0,192281,0.619520389430053,0.108294631294824,1.70157967675687e-05
"32",2,3e+05,0.8,0.01,0,191618,0.637805425377574,0.118214363995032,1.78551342137198e-05
"33",3,3e+05,0.8,0.01,0,193557,0.630982087963752,0.111326379309454,1.74197792455585e-05
"34",4,3e+05,0.8,0.01,0,198641,0.627463615265731,0.112715904571564,1.71634723694116e-05
"35",5,3e+05,0.8,0.01,0,195595,0.622106904573225,0.114333188476188,1.72669721433883e-05
