"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,1,-0.00133158892444378,-0.935241684856321,0,0.00110587721823466,0.0954257125695692,"EB"
"101",3e+05,0.3,0.01,-1,0.649292193478547,-6.56396840787013e-06,-0.399354603610691,0.0187901051175637,9.06346763717858e-07,0.0344292175056543,"EB"
"201",30000,0.8,0.01,-1,0.936071262029401,-0.000363000877551852,-0.784746244333486,0.0548197387988286,0.000160889089831506,0.0692529595816653,"EB"
"301",3e+05,0.8,0.01,-1,0.561043448999969,-1.74471392086662e-06,-0.125560800293506,0.0146141575379163,2.81004232472102e-07,0.0177982586324096,"EB"
"401",30000,0.3,0.001,-1,0.582071015435728,-4.07997991633872e-05,-0.232159262966498,0.112100734745293,3.93668390487971e-05,0.233520382498704,"EB"
"501",3e+05,0.3,0.001,-1,0.364019597368507,-3.4179453277643e-08,-0.00198437187915987,0.0333611506007104,3.87383222545616e-07,0.0267376369325302,"EB"
"601",30000,0.8,0.001,-1,0.461754843573557,-1.08893114271823e-05,-0.0721010913129224,0.0584299125574989,1.30003356827464e-05,0.0731992012403874,"EB"
"701",3e+05,0.8,0.001,-1,0.328612162561947,2.37096905945088e-07,0.0164754506743901,0.0291270472271461,4.12925604338284e-07,0.0276420320038937,"EB"
"801",30000,0.3,0.01,0,1,-0.002075111368115,-0.935944070748798,0,0.00518184985589117,0.085194737810839,"EB"
"901",3e+05,0.3,0.01,0,0.653729889338693,-4.75927770825577e-06,-0.400488213499918,0.0186491280439406,4.8273203354862e-07,0.030852097173396,"EB"
"1001",30000,0.8,0.01,0,0.969651049978426,-0.000312455739798966,-0.827037261126494,0.0378167200512724,6.49645832926426e-05,0.0645412583324794,"EB"
"1101",3e+05,0.8,0.01,0,0.544251600727952,-1.12729892083251e-06,-0.11126040268722,0.0312723041490737,1.36068932711819e-07,0.0125156636570938,"EB"
"1201",30000,0.3,0.001,0,0.62788218702307,-3.40785288565714e-05,-0.301850950013088,0.0872252010983536,1.79172341143987e-05,0.140801184549027,"EB"
"1301",3e+05,0.3,0.001,0,0.353375499265522,-7.11193207934477e-08,-0.00545834576781351,0.0388931301433088,2.70573958805268e-07,0.0235186414331296,"EB"
"1401",30000,0.8,0.001,0,0.440228708759375,-7.77816952686252e-06,-0.0751752182861889,0.0612080335041223,5.32787849456422e-06,0.0492231693356402,"EB"
"1501",3e+05,0.8,0.001,0,0.329401249458405,2.53659223331901e-08,0.00209581791451526,0.0286450293983106,2.54820501704699e-07,0.0196802661358973,"EB"
"1601",30000,0.3,0.01,1,1,-0.00109157030318229,-0.939945452489143,0,0.000464798561596406,0.0991021544440206,"EB"
"1701",3e+05,0.3,0.01,1,0.681936430978762,-5.82651735780564e-06,-0.488168226921718,0.0183382924931388,5.00622939648458e-07,0.0282918520848295,"EB"
"1801",30000,0.8,0.01,1,0.98909604795789,-0.000415767678704509,-0.843709021896396,0.0261307685736228,0.000104121416196881,0.0707471905141703,"EB"
"1901",3e+05,0.8,0.01,1,0.496385390975904,-1.09172611635578e-06,-0.113588125167732,0.0435204542427365,1.11879930224814e-07,0.0107712955287352,"EB"
"2001",30000,0.3,0.001,1,0.685943629367645,-5.29700105293593e-05,-0.434393743871217,0.0631157908526535,1.387922097998e-05,0.0849279226096017,"EB"
"2101",3e+05,0.3,0.001,1,0.322206403671529,-1.09936723505337e-07,-0.00868487279279658,0.0310362717644209,2.49242645496862e-07,0.0203318545256613,"EB"
"2201",30000,0.8,0.001,1,0.401485017737317,-4.38872838142851e-06,-0.0442417877845765,0.0679269140587358,6.79885871522604e-06,0.0700547396048804,"EB"
"2301",3e+05,0.8,0.001,1,0.311654710741871,-1.14677555281281e-08,-0.00039215537360885,0.0264288589699223,2.85153667206808e-07,0.0212240355781328,"EB"
"11",30000,0.3,0.01,-1,1,-0.00132534645574708,-0.92536442645577,0,0.00110468395795533,0.103646386968883,"rep"
"1011",3e+05,0.3,0.01,-1,0.560994523548346,-5.58583096681521e-06,-0.33697550702823,0.0168383920919046,1.44657041010403e-06,0.0668109280889459,"rep"
"2011",30000,0.8,0.01,-1,0.869895667356893,-0.000367379206914596,-0.771639957188817,0.061614787739048,0.000201128435528105,0.0876298737964781,"rep"
"3011",3e+05,0.8,0.01,-1,0.511209902856298,-1.27551061460915e-06,-0.0906741367960398,0.00896560982931679,6.98607400779594e-07,0.0477520103899628,"rep"
