"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,0.961111111111111,-0.00164235239971338,-0.849076605607667,0.168174993036504,0.00158217905307749,0.321425344895256,"EB"
"101",3e+05,0.3,0.01,-1,0.639759733763266,-6.70853520096718e-06,-0.309863936086933,0.0172718921767751,1.31694319786748e-06,0.0464415883344294,"EB"
"201",30000,0.8,0.01,-1,0.903015880600607,-0.000409174534432572,-0.697830179293635,0.057073824074178,0.000128788277365485,0.0861911209568893,"EB"
"301",3e+05,0.8,0.01,-1,0.562380748703801,-1.49003861150094e-06,-0.0891697037461688,0.0109347825279398,3.24775715076089e-07,0.0189300210371304,"EB"
"401",30000,0.3,0.001,-1,0.650925558494182,-5.50086004995981e-05,-0.241836855964157,0.0746628088285125,3.46610728038015e-05,0.134578632903786,"EB"
"501",3e+05,0.3,0.001,-1,0.362590910448546,1.03378222132774e-07,0.00676734469110595,0.0334298260213959,4.54343127590356e-07,0.0284897817504847,"EB"
"601",30000,0.8,0.001,-1,0.461037317395409,-5.05071538864686e-06,-0.0248498886477189,0.0547946215930767,1.40630785383683e-05,0.0819420073485164,"EB"
"701",3e+05,0.8,0.001,-1,0.338206010787633,5.20181767778734e-07,0.0337688371651146,0.0288971822421049,4.87115085499369e-07,0.031523972425064,"EB"
"801",30000,0.3,0.01,0,0.880281690140845,-0.000676952219998307,-0.384542439013485,0.265672400295942,0.00144808963876147,2.54700054674677,"EB"
"901",3e+05,0.3,0.01,0,0.619593046452299,-3.13351471772323e-06,-0.272625074429074,0.0180098462635858,4.48169753277494e-07,0.0309801270545266,"EB"
"1001",30000,0.8,0.01,0,0.848080809116004,-0.000155130411271151,-0.644847651695379,0.0587469452967297,3.29956069527513e-05,0.0613456419785252,"EB"
"1101",3e+05,0.8,0.01,0,0.558246398695592,-1.09118027154897e-06,-0.103267276241768,0.0109803274852248,1.55244929552049e-07,0.0126917476260524,"EB"
"1201",30000,0.3,0.001,0,0.600393836754193,-2.5049539235623e-05,-0.213618877220793,0.0729371079961408,1.14400292920799e-05,0.0892343633230349,"EB"
"1301",3e+05,0.3,0.001,0,0.376705997052801,-6.62385133651247e-08,-0.00506054576203137,0.0385720913287816,3.00754750565981e-07,0.0264441179898273,"EB"
"1401",30000,0.8,0.001,0,0.454488216498912,-5.67576750373014e-06,-0.0521272743707786,0.0561584772962266,5.83626200129968e-06,0.0548441295500675,"EB"
"1501",3e+05,0.8,0.001,0,0.335766818863828,4.86427977665894e-07,0.0384085801282041,0.0277692517584198,5.22767401076725e-07,0.0411589677119506,"EB"
"1601",30000,0.3,0.01,1,0.801139817629179,-0.000321487169594601,-0.400404297395867,0.320106367934797,0.000340749426162029,1.10235825501065,"EB"
"1701",3e+05,0.3,0.01,1,0.600301933485921,-2.07341555925294e-06,-0.212059074632496,0.0197284446534024,3.11187813745839e-07,0.0286811555545882,"EB"
"1801",30000,0.8,0.01,1,0.807805318439214,-0.000112632990057464,-0.591136612310172,0.0556420023127333,1.99689161531555e-05,0.0747186462334038,"EB"
"1901",3e+05,0.8,0.01,1,0.549135958469049,-6.73487268576073e-07,-0.0756177307342241,0.0152634059688549,1.16808167173812e-07,0.0125043533582194,"EB"
"2001",30000,0.3,0.001,1,0.572329802421694,-1.63869073839501e-05,-0.163461427013173,0.066723105353407,7.83045348263282e-06,0.0708373205707807,"EB"
"2101",3e+05,0.3,0.001,1,0.368554916214904,1.16502517246118e-09,0.000493934420882345,0.0403847499039679,2.41039843831644e-07,0.0254463982270343,"EB"
"2201",30000,0.8,0.001,1,0.435216419897119,-1.03921785643917e-06,-0.0101007069492305,0.0549113943168702,5.66113402629099e-06,0.0642245100711962,"EB"
"2301",3e+05,0.8,0.001,1,0.329969226719264,5.16721614349947e-07,0.0513500460529934,0.0254029272991678,4.82004199755697e-07,0.0465201791418414,"EB"
"11",30000,0.3,0.01,-1,1,-0.00172665097336172,-0.949371725808829,0,0.00162734725898602,0.0768050597451249,"rep"
"1011",3e+05,0.3,0.01,-1,0.663926454719636,-1.37321425270491e-05,-0.636210890343828,0.0173268637627185,1.61268743861191e-06,0.0383512318296439,"rep"
"2011",30000,0.8,0.01,-1,0.895055463282031,-0.000519371864145951,-0.860978258055493,0.0574765726594306,0.000210845401953926,0.0542722207061233,"rep"
