"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,1,-0.00102124905719956,-0.946540017009454,0,0.000557679520354691,0.0528124893556994,"EB"
"11",3e+05,0.3,0.01,-1,0.628436881052916,-6.95757191512266e-06,-0.323268536808078,0.013802076273894,1.32461191508689e-06,0.0498232600845691,"EB"
"21",30000,0.8,0.01,-1,0.93504806233185,-0.00044396994768444,-0.718988165877717,0.0571485001382622,0.000150517773402323,0.114251006294475,"EB"
"31",3e+05,0.8,0.01,-1,0.555099685744628,-1.43274680924566e-06,-0.0824640202801948,0.00805969231727186,3.58933874042048e-07,0.0175888042161112,"EB"
"41",30000,0.3,0.001,-1,0.652469494135844,-6.52267235158054e-05,-0.262542350627994,0.0434026087624077,4.33639895786117e-05,0.135989048168833,"EB"
"51",3e+05,0.3,0.001,-1,0.47899443440368,1.69834228185898e-07,0.010009092623831,0.0186595010788489,5.28650371774048e-07,0.0308315847510629,"EB"
"61",30000,0.8,0.001,-1,0.527130580681822,1.15616081489732e-06,0.0173388467089808,0.0442708871197636,1.72955150471632e-05,0.108285559452579,"EB"
"71",3e+05,0.8,0.001,-1,0.479380076027766,5.33488111236361e-07,0.0352798421631379,0.0106008650644903,1.55390558636716e-07,0.013709685588907,"EB"
"81",30000,0.3,0.01,0,0.785714285714286,-0.000369114734243327,-0.36971060564568,0.393397896234722,0.000417457742995473,0.95374788230886,"EB"
"91",3e+05,0.3,0.01,0,0.619895707070933,-3.20212535918679e-06,-0.277066567774787,0.0201034869134521,2.34464645908312e-07,0.0193189049542976,"EB"
"101",30000,0.8,0.01,0,0.86704975934307,-0.000156604312140729,-0.618695348578353,0.0525393621778708,3.24120746188235e-05,0.0698185094463679,"EB"
"111",3e+05,0.8,0.01,0,0.557212884986079,-1.0638514453771e-06,-0.101169584807256,0.00658217491876161,1.32079173093853e-07,0.0108639664496574,"EB"
"121",30000,0.3,0.001,0,0.638928211825263,-2.59627206383297e-05,-0.233693415565913,0.0547917195779944,9.3441654533054e-06,0.0819974648008516,"EB"
"131",3e+05,0.3,0.001,0,0.488066084989377,5.35464443782137e-07,0.0482992989332764,0.0325211927124368,8.16898256114279e-07,0.0708631579245153,"EB"
"141",30000,0.8,0.001,0,0.519432026328795,-5.34815140182427e-06,-0.0499221936931331,0.0443604383388561,6.81535536233467e-06,0.062019234400035,"EB"
"151",3e+05,0.8,0.001,0,0.468818268968139,8.60072136999953e-07,0.0733144854560254,0.0180824128689675,4.96254561885317e-07,0.0430665840395995,"EB"
"161",30000,0.3,0.01,1,0.875,-0.000508530697140338,-0.7572715190276,0.181088955700074,0.000210513627863089,0.300098012568207,"EB"
"171",3e+05,0.3,0.01,1,0.595267889679001,-1.90701657685975e-06,-0.20053703479609,0.0191112181521729,4.51366313010597e-07,0.0443844373782124,"EB"
"181",30000,0.8,0.01,1,0.820648119361142,-0.000118292264421409,-0.620496871259247,0.0430110575074902,1.46219528567533e-05,0.0362555774111956,"EB"
"191",3e+05,0.8,0.01,1,0.547947116870681,-5.99485736182784e-07,-0.0676812201960629,0.0126529815034386,1.19448179705103e-07,0.0128446534307348,"EB"
"201",30000,0.3,0.001,1,0.60712918487924,-1.50794875161936e-05,-0.162526773471962,0.0641476384663302,7.20677669233023e-06,0.0672580304420237,"EB"
"211",3e+05,0.3,0.001,1,0.485575345963051,3.3936912242852e-07,0.0335220703650252,0.0231436421743159,3.18527158635568e-07,0.0311836000159841,"EB"
"221",30000,0.8,0.001,1,0.481460616326589,4.50875251805656e-06,0.0525033613232373,0.0263101021406222,6.03591841053276e-06,0.0715285213538707,"EB"
"231",3e+05,0.8,0.001,1,0.457761624997311,1.71494526047479e-06,0.17194271256887,0.0231588206126845,1.32097908923668e-06,0.130738089263099,"EB"
"12",30000,0.3,0.01,-1,1,-0.00094468078662677,-0.827318873016306,0,0.000615278632901573,0.178532552483498,"rep"
"112",3e+05,0.3,0.01,-1,0.43926994825099,1.06229939068751e-05,0.507101989945771,0.0193644652378671,3.1095119090114e-06,0.176046433703782,"rep"
"212",30000,0.8,0.01,-1,0.673469529980236,-0.000176228166133835,-0.243757726568784,0.0943509491111029,0.000240018595671842,0.38217413576778,"rep"
"311",3e+05,0.8,0.01,-1,0.404674700228291,1.50346105887519e-05,0.873704019591778,0.00974061436055015,1.39980438199066e-06,0.10211164217734,"rep"
"411",30000,0.3,0.001,-1,0.434680886504296,9.64290793042362e-05,0.536845371765254,0.0453487667880083,9.71338413353284e-05,0.450377640895428,"rep"
"511",3e+05,0.3,0.001,-1,0.405123628120737,1.37158102934978e-05,0.844277792444982,0.0123300992854338,3.655167194199e-06,0.279619024742867,"rep"
"611",30000,0.8,0.001,-1,0.394234446254241,0.000156476339691622,0.993721051445179,0.0284224816171713,5.12273855301468e-05,0.415631687423547,"rep"
"711",3e+05,0.8,0.001,-1,0.400280106237291,1.53138679693338e-05,0.990605569431758,0.0216685873094721,2.29763912645238e-06,0.160902315392842,"rep"
"811",30000,0.3,0.01,0,1,-0.000460586068973424,-0.813700897405983,0,0.000373644572023622,0.146965740192883,"rep"
"911",3e+05,0.3,0.01,0,0.433790315547748,5.60018858739077e-06,0.487228322532219,0.0213484266818099,1.04408857871938e-06,0.103950034443102,"rep"
"1011",30000,0.8,0.01,0,0.663544970015554,-9.30133084213446e-05,-0.352812929322419,0.0333476497767999,4.95763680553549e-05,0.147501002338626,"rep"
"1111",3e+05,0.8,0.01,0,0.399021733007689,7.90173779565962e-06,0.756531764031679,0.00825595098959701,9.77791165246058e-07,0.121574897928367,"rep"
"1211",30000,0.3,0.001,0,0.42309408969255,6.5037758686214e-05,0.598574686483004,0.05877710195355,2.93944268416313e-05,0.320352700891005,"rep"
"1311",3e+05,0.3,0.001,0,0.396327350939016,1.0439785813906e-05,0.913918518952001,0.0215204507714822,1.21254069716289e-06,0.11038688510234,"rep"
"1411",30000,0.8,0.001,0,0.40177043815272,7.79409234545594e-05,0.795631675479382,0.0410268842038925,1.92748405895437e-05,0.30677824276297,"rep"
"1511",3e+05,0.8,0.001,0,0.381387391744729,1.3469795864917e-05,1.13426324757632,0.0222625535237108,2.06487267518224e-06,0.188781624479261,"rep"
"1611",30000,0.3,0.01,1,0.916666666666667,-0.000467963515690156,-0.72217762800163,0.136082763487954,0.000200219374336334,0.19415833753484,"rep"
"1711",3e+05,0.3,0.01,1,0.424194806475403,5.7331430488178e-06,0.609836008697766,0.0206684621525936,1.06807682189659e-06,0.139913380173,"rep"
"1811",30000,0.8,0.01,1,0.619542569029515,-4.99741658982559e-05,-0.258677828381355,0.0429612511334679,2.55132080830305e-05,0.123252014635424,"rep"
"1911",3e+05,0.8,0.01,1,0.404369832954073,7.21652055444366e-06,0.817616887758751,0.00744784358748593,3.98184441885847e-07,0.0530945618503154,"rep"
"2011",30000,0.3,0.001,1,0.427403011385655,5.68209564396343e-05,0.69671281747048,0.0666386851627336,2.81546497654988e-05,0.499448627845976,"rep"
"2111",3e+05,0.3,0.001,1,0.389251633800512,8.57870103073879e-06,0.90376039701713,0.0136588225819664,2.00851569167129e-06,0.282016876676862,"rep"
"2211",30000,0.8,0.001,1,0.393542502808767,7.01214279487668e-05,0.789035961002216,0.0328080476253961,2.29679384448177e-05,0.259257269019147,"rep"
"2311",3e+05,0.8,0.001,1,0.388119730116339,1.01789901436081e-05,1.03369413848566,0.0158463980082198,6.98455370990206e-07,0.125926156140315,"rep"
"13",30000,0.3,0.01,-1,1,-0.000850265530348338,-0.760105183123743,0,0.000653847117565203,0.260395410078888,"UMVCUE"
"113",3e+05,0.3,0.01,-1,0.43999005442603,1.06229318292989e-05,0.507186014974355,0.0185211552153541,3.14402310686365e-06,0.177443547145171,"UMVCUE"
"213",30000,0.8,0.01,-1,0.69466847369378,-0.000212067206958105,-0.294635386868623,0.0979116476980957,0.000205087888300854,0.347191675351471,"UMVCUE"
"312",3e+05,0.8,0.01,-1,0.404781637594999,1.50197427357046e-05,0.872762731950274,0.00907372665858244,1.37607736333954e-06,0.100215034966888,"UMVCUE"
"412",30000,0.3,0.001,-1,0.437382273579418,9.20543843827566e-05,0.509759568692805,0.0428780557334421,9.47001256182235e-05,0.426207751336588,"UMVCUE"
"512",3e+05,0.3,0.001,-1,0.400084983091871,1.36977883706937e-05,0.843543839224418,0.0132695799050489,3.72694873849237e-06,0.282688719260267,"UMVCUE"
"612",30000,0.8,0.001,-1,0.396030877866861,0.000156000501510838,0.991801474999212,0.0281091974056556,5.14872066978816e-05,0.417179588750758,"UMVCUE"
"712",3e+05,0.8,0.001,-1,0.401087460089294,1.50022843841445e-05,0.970290787160415,0.0197974065807155,2.39117822034463e-06,0.165767068269128,"UMVCUE"
"812",30000,0.3,0.01,0,0.928571428571429,-0.000343945723087979,-0.539274692785795,0.188982236504614,0.000398211209363258,0.322321237688432,"UMVCUE"
"912",3e+05,0.3,0.01,0,0.434555450060305,5.59074574331454e-06,0.486409294867508,0.020841662015765,1.03464665937721e-06,0.103291725938095,"UMVCUE"
"1012",30000,0.8,0.01,0,0.659946797755636,-9.41978108733789e-05,-0.359101600031671,0.0398327070715393,4.93315927032406e-05,0.14310137027778,"UMVCUE"
"1112",3e+05,0.8,0.01,0,0.399294257413904,7.8915032871306e-06,0.755545065537165,0.00880637768407534,9.73344108381023e-07,0.121129266136682,"UMVCUE"
"1212",30000,0.3,0.001,0,0.426425921811232,6.38057595604937e-05,0.584268619430308,0.0454185944776688,2.70448000232892e-05,0.288649277659991,"UMVCUE"
"1312",3e+05,0.3,0.001,0,0.399270799669974,1.02750752653012e-05,0.899590604511815,0.0214543450083109,1.12730102435652e-06,0.104229900351861,"UMVCUE"
"1412",30000,0.8,0.001,0,0.404984625055165,7.68905211638943e-05,0.785708584460937,0.0440591794186356,1.95859100258472e-05,0.306275282738947,"UMVCUE"
"1512",3e+05,0.8,0.001,0,0.384107592039812,1.33480023578134e-05,1.12392783300285,0.0213966732174374,2.04889465488769e-06,0.187012477141388,"UMVCUE"
"1612",30000,0.3,0.01,1,0.841666666666667,-0.000356319097455476,-0.497218010256157,0.216773477945852,0.000314593158079174,0.461856038289998,"UMVCUE"
"1712",3e+05,0.3,0.01,1,0.424620927291861,5.72685718895503e-06,0.609118433742607,0.0202032156556677,1.06349647862442e-06,0.139104666566166,"UMVCUE"
