"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,0.668948293425163,-4.62306351994118e-05,-0.266700782418886,0.0788751740496559,2.30037127213431e-05,0.0976781286059869,"EB"
"11",3e+05,0.3,0.01,-1,0.572474717229991,-1.71865849260945e-06,-0.139300529758047,0.015887176704354,5.91605955689704e-07,0.0445741628725711,"EB"
"21",30000,0.8,0.01,-1,0.549913127363413,-9.82171713085407e-06,-0.061203425564403,0.0742567119082064,2.14901173531123e-05,0.156506417263862,"EB"
"31",3e+05,0.8,0.01,-1,0.556185025462175,-9.29430605776959e-07,-0.0800650310571497,0.00937307348186204,2.3459474496737e-07,0.0192718448837452,"EB"
"41",30000,0.3,0.001,-1,0.44586693426117,6.13785497924597e-05,0.539859792729483,0.0473091684682512,4.86945824802195e-05,0.479836705425116,"EB"
"51",3e+05,0.3,0.001,-1,0.49679050083258,1.61135769221446e-07,0.0146012676949324,0.0307524107005318,5.41965472493688e-07,0.0476891900264954,"EB"
"61",30000,0.8,0.001,-1,0.511954198228959,3.62072088154276e-06,0.0335045211199158,0.0562507710472313,2.01268584269506e-05,0.168400249674567,"EB"
"71",3e+05,0.8,0.001,-1,0.486323312532254,8.27060008701667e-07,0.0744666310149812,0.0236426390940262,9.00147639977342e-07,0.0824433769986881,"EB"
"81",30000,0.3,0.01,0,0.800528499278499,-0.000113065878353797,-0.47827439336902,0.129769375758348,6.25758816216723e-05,0.227814430442862,"EB"
"91",3e+05,0.3,0.01,0,0.576034765602275,-1.60042692342041e-06,-0.144410849173007,0.0222942739486573,3.53850387388859e-07,0.0304855747680017,"EB"
"101",30000,0.8,0.01,0,0.694529498806623,-5.54956236273989e-05,-0.368430694990377,0.0371505252621354,1.59310434701343e-05,0.0648618223302974,"EB"
"111",3e+05,0.8,0.01,0,0.552516987315505,-8.5407066110113e-07,-0.0768159253206952,0.011751268759445,1.63674108153317e-07,0.0147044654536822,"EB"
"121",30000,0.3,0.001,0,0.527826053902361,-2.32459664252233e-06,-0.0119615947796425,0.0560437314317902,1.62257193029859e-05,0.132422761620418,"EB"
"131",3e+05,0.3,0.001,0,0.496065240921856,-2.42067007193201e-08,-0.00121387138124473,0.0304241998223141,3.930472125442e-07,0.0315534517971879,"EB"
"141",30000,0.8,0.001,0,0.509919125379963,1.33138804251193e-06,0.0228396833563131,0.0513101952467459,1.66476964785565e-05,0.178434299629599,"EB"
"151",3e+05,0.8,0.001,0,0.475450404431714,6.57481442682758e-07,0.0530355458195485,0.0188982417269024,4.2531449125872e-07,0.0357199447486243,"EB"
"161",30000,0.3,0.01,1,0.770334943283187,-8.83851928345033e-05,-0.429695128316326,0.104448713830512,3.36233385670646e-05,0.119082227275019,"EB"
"171",3e+05,0.3,0.01,1,0.576118747103027,-1.5291366333461e-06,-0.140854428083039,0.0152412330555315,3.90945849540519e-07,0.0353225946191306,"EB"
"181",30000,0.8,0.01,1,0.633873829215639,-3.24415427315066e-05,-0.265491597284543,0.0642909622472172,1.80835326083484e-05,0.131219347231443,"EB"
"191",3e+05,0.8,0.01,1,0.545141796667529,-7.55645948156014e-07,-0.0684108283251481,0.0110057066451193,1.64691456934536e-07,0.013948259547151,"EB"
"201",30000,0.3,0.001,1,0.534042871208123,3.71831172198955e-07,0.0186881826121616,0.111206358088673,2.98450560492343e-05,0.271858907903082,"EB"
"211",3e+05,0.3,0.001,1,0.495517905502457,-3.53542081908834e-08,-0.00128584577864845,0.0400333986564104,5.03437735257877e-07,0.0422039024991504,"EB"
"221",30000,0.8,0.001,1,0.510399020169477,5.05095737909042e-07,0.00835547955290667,0.0495790297572104,8.13788244601066e-06,0.0741542512228192,"EB"
"231",3e+05,0.8,0.001,1,0.479272760847885,5.82675714765837e-07,0.046505044172561,0.027372902094417,6.09869015047771e-07,0.0498901945941825,"EB"
"12",30000,0.3,0.01,-1,0.589835219245471,-8.40192640637581e-05,-0.470773216625618,0.0921430513601582,4.35495308334913e-05,0.150488893600669,"rep"
"112",3e+05,0.3,0.01,-1,0.537673019071797,-2.7618962076219e-06,-0.221944670947727,0.0154044099026578,8.39888964952459e-07,0.0578911497695281,"rep"
