"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,1,-0.00127378216663514,-0.863471797716208,0,0.00123032313459761,0.15529763476398,"EB"
"11",3e+05,0.3,0.01,-1,0.660156428719344,-6.79760339189891e-06,-0.417230429980892,0.0147523772098713,7.37762978504436e-07,0.0275462983736213,"EB"
"21",30000,0.8,0.01,-1,0.931984968734969,-0.000389337797375678,-0.806030497401474,0.0525514057868396,0.000144674792694875,0.0489073200000819,"EB"
"31",3e+05,0.8,0.01,-1,0.563160963428866,-1.73566666172513e-06,-0.12458826517634,0.00918224383713681,2.10568429109282e-07,0.0135215630203293,"EB"
"41",30000,0.3,0.001,-1,0.610200701472098,-3.51437298985197e-05,-0.16506258630299,0.107169814250644,4.86417121666269e-05,0.240590284999513,"EB"
"51",3e+05,0.3,0.001,-1,0.483066473888961,5.07445666506117e-07,0.0381919798898541,0.0195338840780985,5.65204077687789e-07,0.0407261322752418,"EB"
"61",30000,0.8,0.001,-1,0.537133604176764,-1.01320702175528e-05,-0.0712199004732748,0.0470892984251135,1.10357302314159e-05,0.0694513416942748,"EB"
"71",3e+05,0.8,0.001,-1,0.46984222660012,1.23946087845432e-06,0.0817656381994649,0.0293537864384227,7.0926334152287e-07,0.0485348134008068,"EB"
"81",30000,0.3,0.01,0,1,-0.00115501473181045,-0.880012243205821,0,0.000435441653193657,0.10908871648848,"EB"
"91",3e+05,0.3,0.01,0,0.645701296445697,-4.49772307877289e-06,-0.390929814342221,0.014553679020741,4.16734558168998e-07,0.0206520011512087,"EB"
"101",30000,0.8,0.01,0,0.963021221532091,-0.000294487849595419,-0.867781731340163,0.0587977690883367,7.25590636766827e-05,0.0492684755067507,"EB"
"111",3e+05,0.8,0.01,0,0.555431229880123,-1.0885804258885e-06,-0.107086863723167,0.01386631506495,9.98228168432831e-08,0.008391226294856,"EB"
"121",30000,0.3,0.001,0,0.680761921618235,-3.87463408765426e-05,-0.330233986056297,0.047379492406448,8.29936718862787e-06,0.0714692196258709,"EB"
"131",3e+05,0.3,0.001,0,0.479792366235876,1.33991444229116e-07,0.0121123439204549,0.0210408906916141,2.57048726353124e-07,0.0225129661559087,"EB"
"141",30000,0.8,0.001,0,0.501871240184607,5.04303553618729e-07,0.00678016579762339,0.0452230959770277,1.12972371397813e-05,0.113642534165172,"EB"
"151",3e+05,0.8,0.001,0,0.484243772238837,5.06615189376229e-07,0.0371850499018001,0.0145317097487678,3.83792636033715e-07,0.0280855030749504,"EB"
"161",30000,0.3,0.01,1,1,-0.00141600615225112,-0.931433836708528,0,0.000651308081667142,0.0895040164535436,"EB"
"171",3e+05,0.3,0.01,1,0.686034342727776,-5.97354055026355e-06,-0.50239479630853,0.0190741863018121,2.85769558900248e-07,0.0122882499819743,"EB"
"181",30000,0.8,0.01,1,0.992307692307692,-0.000389967024538482,-0.826122391223219,0.024325212770526,0.00012867874493429,0.163028843145512,"EB"
"191",3e+05,0.8,0.01,1,0.542214314898905,-1.00146039554721e-06,-0.10577364919065,0.0109511604001627,1.28783923553235e-07,0.0126881555954823,"EB"
"201",30000,0.3,0.001,1,0.679329541402738,-4.60295945272842e-05,-0.376696367694655,0.076125584981461,1.54385073506055e-05,0.123295221240725,"EB"
"211",3e+05,0.3,0.001,1,0.477195845720895,8.58537963857572e-07,0.0689149359735005,0.0405472736521689,7.52653627191719e-07,0.0581602915897702,"EB"
"221",30000,0.8,0.001,1,0.508262126309626,1.87255946177304e-06,0.0281346702424716,0.0596527113945837,1.21680607407858e-05,0.132444301525925,"EB"
"231",3e+05,0.8,0.001,1,0.478747054810809,6.14650936631537e-07,0.0462347692255632,0.0265051914174536,5.98111332869855e-07,0.0441520792945129,"EB"
"12",30000,0.3,0.01,-1,1,-0.00170133923897412,-0.921225440872682,0,0.00206358393134805,0.0745676531446921,"FIQT"
"112",3e+05,0.3,0.01,-1,0.452591284652445,-1.93786134072189e-06,-0.114828234918856,0.0170896877596488,1.17305466370918e-06,0.0655230326866572,"FIQT"
"212",30000,0.8,0.01,-1,0.847564299830604,-0.000345662000972041,-0.833485244456751,0.0869859128754415,6.93371767825274e-05,0.0628188576853761,"FIQT"
"311",3e+05,0.8,0.01,-1,0.279975127903718,3.36999299027936e-06,0.241634704489363,0.00760732887742793,7.37630398705743e-07,0.0604866415273543,"FIQT"
"411",30000,0.3,0.001,-1,0.346757189863077,6.73294319274767e-05,0.524494772569592,0.0603095470296717,3.32718233436162e-05,0.300026937781577,"FIQT"
"511",3e+05,0.3,0.001,-1,0.14588195331595,6.81505103484433e-06,0.485523356624114,0.0182319977120285,1.22528931602518e-06,0.11012407205913,"FIQT"
"611",30000,0.8,0.001,-1,0.225194991000506,7.16028435393149e-05,0.556695790001697,0.023368092352672,2.90539109793181e-05,0.346526008559319,"FIQT"
"711",3e+05,0.8,0.001,-1,0.0983655692831226,3.96130634984777e-06,0.264780710537011,0.00474851391048521,1.13805640645009e-06,0.0764089726205741,"FIQT"
"811",30000,0.3,0.01,0,1,-0.000693330167272419,-0.893363207402619,NA,NA,NA,"FIQT"
"911",3e+05,0.3,0.01,0,0.456155278148495,-5.20321085038547e-07,-0.0442567618369484,0.012527065400915,5.71716955203839e-07,0.0489811754653976,"FIQT"
"1011",30000,0.8,0.01,0,0.863567153670128,-0.000355987831757665,-0.86704479934402,0.110653672934696,8.60775860332036e-05,0.0507290216815544,"FIQT"
"1111",3e+05,0.8,0.01,0,0.265128384003807,2.54858995161758e-06,0.248408330935244,0.00697283366654366,3.033827417839e-07,0.0277276247943417,"FIQT"
"1211",30000,0.3,0.001,0,0.308705232779628,6.29127237241322e-05,0.634893207537041,0.0466018603883008,3.32581469295237e-05,0.524718322715321,"FIQT"
"1311",3e+05,0.3,0.001,0,0.131627694241695,4.12971550990414e-06,0.356654132205878,0.00883849782156292,1.74380202549769e-06,0.156430772365893,"FIQT"
"1411",30000,0.8,0.001,0,0.205073206811259,6.24957674476795e-05,0.592462023843841,0.0243256790604867,1.60969923221541e-05,0.212329254119416,"FIQT"
"1511",3e+05,0.8,0.001,0,0.106396476036194,3.8167789493163e-06,0.291009467719124,0.00550387077741652,9.20627237064107e-07,0.0782852215440153,"FIQT"
"1611",30000,0.3,0.01,1,1,-0.000878010463479923,-0.940070236311086,NA,NA,NA,"FIQT"
"1711",3e+05,0.3,0.01,1,0.520323971372927,-3.33925022013311e-06,-0.26694633404349,0.0247451232036459,1.00898663995101e-06,0.0662204174327622,"FIQT"
"1811",30000,0.8,0.01,1,0.956292971734148,-0.00041934575118262,-0.923017428536982,0.0580512766345725,7.78582893474889e-05,0.0383392996159907,"FIQT"
"1911",3e+05,0.8,0.01,1,0.255332133083035,3.02792112019242e-06,0.317912193529652,0.00602620272307038,3.34972795189807e-07,0.0396033662762965,"FIQT"
"2011",30000,0.3,0.001,1,0.359637617004289,3.93740517106476e-05,0.361537825505,0.0482762550982244,3.42662231072867e-05,0.312563640588468,"FIQT"
"2111",3e+05,0.3,0.001,1,0.11249803460965,4.44205929329976e-06,0.358180601330109,0.0100759264406344,1.56167201391805e-06,0.124528054841054,"FIQT"
"2211",30000,0.8,0.001,1,0.179743082206861,7.45906321538864e-05,0.781076791834264,0.0146417054512937,1.23781739817198e-05,0.119686158073616,"FIQT"
"2311",3e+05,0.8,0.001,1,0.0890391084236554,4.33636282725257e-06,0.322844619021595,0.012212854760674,1.59343036563365e-06,0.112741358236161,"FIQT"
"13",30000,0.3,0.01,-1,1,-0.000494766345057224,-0.821882440373222,0,0.000273817768840539,0.201644846510138,"BR"
"113",3e+05,0.3,0.01,-1,0.629679961669077,-6.16751087296881e-06,-0.370511218785883,0.0174172713955311,1.18018126141361e-06,0.0502355435278248,"BR"
"213",30000,0.8,0.01,-1,0.889879782498204,-0.000387836471921394,-0.854364983822598,0.0745542793130042,0.000139303063508653,0.0557492588510028,"BR"
"312",3e+05,0.8,0.01,-1,0.543141209717555,-1.07297769224144e-06,-0.0750090157766954,0.0117107861153455,5.25601323474754e-07,0.0343768118300543,"BR"
"412",30000,0.3,0.001,-1,0.527905217091595,-4.43394702205466e-06,0.0929428156366189,0.0698844175942186,7.63222015732602e-05,0.383153991455255,"BR"
"512",3e+05,0.3,0.001,-1,0.291549953892397,1.18638124627732e-05,0.83151072490727,0.0209993438030119,3.47204802365252e-06,0.179623178729566,"BR"
"612",30000,0.8,0.001,-1,0.325732377945211,8.77373029778597e-05,0.730623893925008,0.0269021633511011,2.23753963343282e-05,0.201906026904152,"BR"
"712",3e+05,0.8,0.001,-1,0.278445883984404,9.14578637750538e-06,0.627216464856352,0.054847103544654,1.83920874826314e-06,0.146675045964103,"BR"
"812",30000,0.3,0.01,0,1,-0.00122141001735171,-0.924627613098854,0,0.000681924797942001,0.083696480087204,"BR"
"912",3e+05,0.3,0.01,0,0.629332763296225,-4.27068714497074e-06,-0.37437117099372,0.0155707959753595,3.96137015692896e-07,0.0265529274549324,"BR"
"1012",30000,0.8,0.01,0,0.93379071025608,-0.000338122859924441,-0.866041710882869,0.0408398484948086,6.17756540944275e-05,0.0521581924769842,"BR"
"1112",3e+05,0.8,0.01,0,0.534673775774003,-1.03563213653232e-06,-0.101036262703695,0.00846396537191003,1.88691899221159e-07,0.015677971134452,"BR"
"1212",30000,0.3,0.001,0,0.53345844152232,-1.38653314382053e-05,-0.097759262260397,0.0510199290891219,2.39164866513757e-05,0.200516851578507,"BR"
"1312",3e+05,0.3,0.001,0,0.279585231845871,6.25798117160912e-06,0.544302936186083,0.0325619740739305,1.41408765700741e-06,0.117717899237611,"BR"
"1412",30000,0.8,0.001,0,0.298101743253313,5.31193617743852e-05,0.550394242962256,0.0268663695224435,2.32611688606346e-05,0.317837823634297,"BR"
"1512",3e+05,0.8,0.001,0,0.277393409151996,7.37313758212836e-06,0.581388905413448,0.0343440130682833,2.12644949788271e-06,0.171526522973244,"BR"
"1612",30000,0.3,0.01,1,1,-0.00141742011911749,-0.953531661303922,0,0.000657678633747122,0.0607191967163793,"BR"
"1712",3e+05,0.3,0.01,1,0.67819735571873,-5.76897635153852e-06,-0.477233801063163,0.0123395103778111,4.5761619362683e-07,0.0304307219635897,"BR"
"1812",30000,0.8,0.01,1,0.977777777777778,-0.000448607220554012,-0.890949413152245,0.0468485579284205,7.10694803332999e-05,0.0571471074141381,"BR"
"1912",3e+05,0.8,0.01,1,0.537210001528682,-1.08662313044556e-06,-0.114002171549837,0.0113531150907238,1.09337961934406e-07,0.0106272345455028,"BR"
"2012",30000,0.3,0.001,1,0.609882979785487,-3.80940151737775e-05,-0.294550594976026,0.0670837432218575,2.26514379715991e-05,0.179223183458187,"BR"
"2112",3e+05,0.3,0.001,1,0.249052038650297,7.20868988081657e-06,0.581207791741263,0.0284989768780397,1.09508440639996e-06,0.146796107211729,"BR"
"2212",30000,0.8,0.001,1,0.297748230240537,4.41989920805781e-05,0.475165717273483,0.0399673963296357,1.38743159613601e-05,0.196159462016581,"BR"
"2312",3e+05,0.8,0.001,1,0.254536149817249,7.1017020518585e-06,0.53748757516698,0.072843038392898,2.68233830026767e-06,0.210624064123478,"BR"
"14",30000,0.3,0.01,-1,1,-0.000563110602343321,-0.429290795796174,0,0.00050865020079105,0.552587117091232,"cl1"
"114",3e+05,0.3,0.01,-1,0.535292374261785,3.82587150648827e-05,2.31926923329258,0.0161928377247911,2.93510350472463e-06,0.205466883534425,"cl1"
"214",30000,0.8,0.01,-1,0.629162005498787,6.03747840931807e-05,0.17294699541342,0.114586403786432,0.000128365703517729,0.366411305423803,"cl1"
"313",3e+05,0.8,0.01,-1,0.512506591291517,3.04583637041915e-05,2.21277978454638,0.0113705800392405,2.541422072484e-06,0.212317041588665,"cl1"
"413",30000,0.3,0.001,-1,0.534013870828673,0.000434222686180737,3.1573850980555,0.0614518570935472,0.000146989439661748,1.05891892456981,"cl1"
"513",3e+05,0.3,0.001,-1,0.502212641254547,1.54685944939913e-05,1.06035602295169,0.0204114840222981,4.15619711046862e-06,0.225319832168946,"cl1"
"613",30000,0.8,0.001,-1,0.517408281507449,0.000369172618637774,2.4333836400092,0.0306757244925139,0.000146556447075822,1.0925003839229,"cl1"
"713",3e+05,0.8,0.001,-1,0.495274642725495,9.51653836953099e-06,0.646499555280093,0.0177652515650664,3.38410896351765e-06,0.207116207998031,"cl1"
"813",30000,0.3,0.01,0,1,-0.00085941310399259,-0.714456900165176,0,0.000673737651024079,0.179378955879218,"cl1"
"913",3e+05,0.3,0.01,0,0.532501987697885,2.95111863864777e-05,2.4959888809731,0.0123139001155436,2.00358452551409e-06,0.265683728471797,"cl1"
"1013",30000,0.8,0.01,0,0.697138528138528,-1.86785305126264e-05,-0.00711939726234504,0.127571747495038,0.000137380505276601,0.307683135138739,"cl1"
"1113",3e+05,0.8,0.01,0,0.509021865879953,2.12980226883338e-05,2.10759043132792,0.00727506641968085,1.88028644416228e-06,0.201164519688655,"cl1"
"1213",30000,0.3,0.001,0,0.493912036567087,0.000353772588812822,3.06759897236332,0.0498471242828268,0.000104530933398329,0.956299218093981,"cl1"
"1313",3e+05,0.3,0.001,0,0.49851643669955,1.3158633360691e-05,1.15859956193901,0.0150840896710749,2.81680489731144e-06,0.265693216834356,"cl1"
"1413",30000,0.8,0.001,0,0.5114634199018,0.000206475615228264,2.00076016547285,0.0124948987145138,3.44777113359959e-05,0.404200397740327,"cl1"
"1513",3e+05,0.8,0.001,0,0.499347587575396,1.15991631573737e-05,0.88241126380158,0.00831121083508392,3.7275677156037e-06,0.306191021307704,"cl1"
"1613",30000,0.3,0.01,1,1,-0.00101162443342513,-0.740608590424726,0,0.000364968538708418,0.177636590699354,"cl1"
