"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"1",1,30000,0.3,0.01,-1,1,-0.000330341929052104,-0.00714654840483764,-0.46389601778527,"EB"
"2",2,30000,0.3,0.01,-1,0.727272727272727,-0.000197200319866894,-0.00391365103331729,-0.267512767664942,"EB"
"3",3,30000,0.3,0.01,-1,0.666666666666667,6.24589668790372e-05,0.0023080009530843,0.407724119113077,"EB"
"4",4,30000,0.3,0.01,-1,0.8,-0.000548005134547434,-0.00842767982675532,-0.406289864489948,"EB"
"5",5,30000,0.3,0.01,-1,0.846153846153846,-0.000300132287610137,-0.00591221466510536,-0.373730941410451,"EB"
"6",6,30000,0.3,0.01,-1,0.75,-0.000184834452434383,-0.00768663731702889,-0.734217927209511,"EB"
"7",7,30000,0.3,0.01,-1,0.75,-0.000388650900263671,-0.00508473656345985,-0.233935484009434,"EB"
"8",8,30000,0.3,0.01,-1,1,-0.000219042173731049,-0.0094045498036595,-0.819611740010526,"EB"
"9",9,30000,0.3,0.01,-1,0.571428571428571,-0.000412255901426479,-0.0105909749899172,-0.672562361139375,"EB"
"10",10,30000,0.3,0.01,-1,0.9,-0.00052316555009412,-0.0108895040831997,-0.602542720052689,"EB"
"11",1,3e+05,0.3,0.01,-1,0.575294117647059,-3.28201094977909e-06,-0.000398218042279318,-0.175863779025811,"EB"
"12",2,3e+05,0.3,0.01,-1,0.568742655699177,-2.0244426418226e-06,-0.000265336779671017,-0.129914034150567,"EB"
"13",3,3e+05,0.3,0.01,-1,0.584123222748815,-2.38423774695586e-06,-0.000302022581373928,-0.141963982313274,"EB"
"14",4,3e+05,0.3,0.01,-1,0.574418604651163,-3.80090808008593e-06,-0.000436771746794092,-0.182031065511571,"EB"
"15",5,3e+05,0.3,0.01,-1,0.61431870669746,-2.85600985234447e-06,-0.00033522081538622,-0.145694052046956,"EB"
"16",6,3e+05,0.3,0.01,-1,0.559225512528474,-3.56111125176365e-06,-0.000409435642255247,-0.171747558851556,"EB"
"17",7,3e+05,0.3,0.01,-1,0.602549246813441,-2.81664287406862e-06,-0.000327858508395634,-0.141634851306798,"EB"
"18",8,3e+05,0.3,0.01,-1,0.596629213483146,-3.68000088299865e-06,-0.000439985235767082,-0.189914136079288,"EB"
"19",9,3e+05,0.3,0.01,-1,0.607728337236534,-3.65175423838898e-06,-0.000434737818098012,-0.187147497513731,"EB"
"20",10,3e+05,0.3,0.01,-1,0.589561091340451,-4.44334641924538e-06,-0.000526261307507978,-0.220919639048158,"EB"
"21",1,30000,0.8,0.01,-1,0.695652173913043,-8.27392911667608e-05,-0.00332865547756244,-0.416606148080792,"EB"
"22",2,30000,0.8,0.01,-1,0.709090909090909,-0.000117636858000491,-0.00393856597141659,-0.411720787701156,"EB"
"23",3,30000,0.8,0.01,-1,0.79,-0.000211324803626253,-0.0058738212859064,-0.482607697012048,"EB"
"24",4,30000,0.8,0.01,-1,0.6875,-9.26424550489668e-05,-0.00360468738442213,-0.431498712658875,"EB"
"25",5,30000,0.8,0.01,-1,0.648148148148148,-9.00141452286748e-05,-0.00319731162623675,-0.366340578615823,"EB"
"26",6,30000,0.8,0.01,-1,0.6,-3.97289851008844e-05,-0.0012264578007611,-0.140597934721579,"EB"
"27",7,30000,0.8,0.01,-1,0.6,7.55331171854707e-06,0.00025034352700376,0.0337467769162753,"EB"
"28",8,30000,0.8,0.01,-1,0.760416666666667,-0.000319235898083619,-0.00827348308666555,-0.581550323455805,"EB"
"29",9,30000,0.8,0.01,-1,0.675438596491228,-0.000115069113906449,-0.00369435884891083,-0.379159891711124,"EB"
"30",10,30000,0.8,0.01,-1,0.703703703703704,-5.57113827472788e-05,-0.00193561008581005,-0.23616717744887,"EB"
"31",1,3e+05,0.8,0.01,-1,0.552183908045977,-1.32561801259408e-06,-0.000173345854630268,-0.0866960656959995,"EB"
"32",2,3e+05,0.8,0.01,-1,0.526752767527675,-6.86338649900846e-07,-8.41207112294139e-05,-0.0404034011293029,"EB"
"33",3,3e+05,0.8,0.01,-1,0.571110120374498,-1.98033435260858e-06,-0.000249605793610306,-0.118283801754688,"EB"
"34",4,3e+05,0.8,0.01,-1,0.548209366391185,-1.17122575876473e-06,-0.000145842675935094,-0.0700738704706997,"EB"
"35",5,3e+05,0.8,0.01,-1,0.565038795070744,-1.32987480541372e-06,-0.000160387978480593,-0.0744649371732153,"EB"
"36",6,3e+05,0.8,0.01,-1,0.524628252788104,-8.79340945536743e-07,-0.00010949121418787,-0.0530761597841863,"EB"
