"","X","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1",1,30000,0.3,0.01,-1,0.801152181152181,-0.000304116968214723,-0.00667484957341965,-0.416657570465907,0.138415170265251,0.000180826032051038,0.00389151690977247,0.35002786437719,"EB"
"2",11,3e+05,0.3,0.01,-1,0.587259070884572,-3.25004649374532e-06,-0.000387584847752853,-0.168683059584771,0.0180268699254035,7.27725471647398e-07,7.8729463584333e-05,0.0283559202574714,"EB"
"3",21,30000,0.8,0.01,-1,0.68699501980137,-0.000111654962119083,-0.00348226080406881,-0.34125024744898,0.0611212558363719,9.26468330060377e-05,0.00236787438926731,0.17966285886024,"EB"
"4",31,3e+05,0.8,0.01,-1,0.551579115584886,-1.23034567183921e-06,-0.000153736367150411,-0.0737136501838944,0.0159438308513945,4.1527415185596e-07,5.26552452193564e-05,0.024856623901567,"EB"
"5",41,30000,0.3,0.001,-1,0.49340915934008,-2.10028517989997e-05,-0.000821076154894095,-0.112894083671177,0.0795448204733573,2.75827413013086e-05,0.000984666707655721,0.126970982490387,"EB"
"6",51,3e+05,0.3,0.001,-1,0.410594525570226,-7.54478868306196e-08,-6.72078480637767e-06,-0.00172239109033416,0.0498026731892136,4.70966229703576e-07,5.70363380996137e-05,0.0279524109868395,"EB"
"7",61,30000,0.8,0.001,-1,0.480125347523336,2.56491655615728e-06,8.53984487772828e-05,0.0159838515927802,0.0653370983752979,1.7224934073936e-05,0.000638602148258711,0.101327308611201,"EB"
"8",71,3e+05,0.8,0.001,-1,0.389646010294085,3.01604915300516e-07,3.80224505012502e-05,0.0197547953037235,0.0421347415867609,4.22558978347078e-07,5.32417881175998e-05,0.0274594654068564,"EB"
"9",81,30000,0.3,0.01,0,0.729322344322344,-0.000132456474872007,-0.00462056322626048,-0.484001942088296,0.116277961493881,8.0353212438498e-05,0.00199072395149781,0.130202736903918,"EB"
"10",91,3e+05,0.3,0.01,0,0.578546019243398,-1.7843871432294e-06,-0.000283078925115018,-0.164128043254321,0.0247815112403883,3.31303884702217e-07,5.45969084910099e-05,0.030128091388447,"EB"
"11",101,30000,0.8,0.01,0,0.6587026528562,-5.49345993449987e-05,-0.00253589210012785,-0.371510285178997,0.079725703858009,1.84957285356048e-05,0.000778490517321455,0.0921721317575058,"EB"
"12",111,3e+05,0.8,0.01,0,0.540805828181686,-8.63030215007936e-07,-0.00013339553289075,-0.0791728871784719,0.00885640038197582,1.11214209490276e-07,1.62692153446489e-05,0.00911319728185574,"EB"
"13",121,30000,0.3,0.001,0,0.430362930770215,4.06558303543034e-06,0.000187617210348843,0.0524186874571006,0.109283469487571,2.13123487334295e-05,0.00097494967965761,0.21586806824557,"EB"
"14",131,3e+05,0.3,0.001,0,0.426685830116457,-4.05675387596951e-08,-5.80085453105385e-06,-0.00315243798607992,0.0391632928354673,2.08401639338014e-07,3.13001384831092e-05,0.0188252497700527,"EB"
"15",141,30000,0.8,0.001,0,0.483388502705127,-5.48291483521319e-06,-0.000242589540875366,-0.0409721222526208,0.0606300144036106,7.00461935932111e-06,0.000307017701791745,0.0534288652802368,"EB"
"16",151,3e+05,0.8,0.001,0,0.338132023670581,4.30018158405139e-07,5.89651954322617e-05,0.0347306603420728,0.0578880330318893,7.95270701599348e-07,0.000110494578355903,0.0642755039416397,"EB"
"17",161,30000,0.3,0.01,1,0.747382029734971,-8.90015300546447e-05,-0.0034707630151313,-0.39529163674388,0.135350726460709,5.34086296941858e-05,0.00209599679461213,0.237393191839062,"EB"
"18",171,3e+05,0.3,0.01,1,0.551242653766934,-1.12514579560465e-06,-0.000186934374848112,-0.116623211945309,0.0154078543644121,2.82732469668968e-07,4.39244282592362e-05,0.0242006880687022,"EB"
"19",181,30000,0.8,0.01,1,0.646532783429571,-3.70876942955224e-05,-0.00190815381250014,-0.323825889736729,0.0506009024345919,7.86413819478322e-06,0.000419025282926314,0.0669840244169045,"EB"
"20",191,3e+05,0.8,0.01,1,0.541952581109177,-6.80632191934551e-07,-0.000113501679765899,-0.0729119273220904,0.0106365623099126,9.18185657799635e-08,1.49104271466864e-05,0.00915727746123079,"EB"
"21",201,30000,0.3,0.001,1,0.482479145303377,6.5087737263059e-06,0.000281063017349601,0.107759296373716,0.1111983456907,3.56796802216069e-05,0.0016612489361539,0.452866058436671,"EB"
"22",211,3e+05,0.3,0.001,1,0.421735742005437,-9.93326262993101e-08,-1.59915572889568e-05,-0.00967241424618014,0.0525323415899396,3.35961488363382e-07,5.49957226786066e-05,0.0351901780330316,"EB"
"23",221,30000,0.8,0.001,1,0.469669960639334,-3.01625508408351e-06,-0.00016682124063046,-0.0348348798159805,0.0726014438765301,5.00243234070482e-06,0.000271957463091947,0.0576926814508582,"EB"
"24",231,3e+05,0.8,0.001,1,0.357963355659125,1.19125778517018e-07,1.78280123863106e-05,0.0114685397337522,0.0532216163387781,4.3299398910667e-07,6.56465867146521e-05,0.0411195234164317,"EB"
"25",12,30000,0.3,0.01,-1,0.628858086358086,-0.000326108874333558,-0.00619613054676709,-0.0988081451618294,0.142364313880475,0.000427116412459229,0.00885687172224204,1.11302673837106,"FIQT"
"26",112,3e+05,0.3,0.01,-1,0.331034638737278,4.73090016743815e-06,0.000514445182889839,0.256653268917839,0.0137273946758388,1.77235924849659e-06,0.0002043846317504,0.12407382903808,"FIQT"
"27",212,30000,0.8,0.01,-1,0.465577138720176,2.30369584371866e-06,0.00021556634749341,0.117756777398649,0.060870683088425,0.000146201419739421,0.00396533647143926,0.373559718429365,"FIQT"
"28",311,3e+05,0.8,0.01,-1,0.252265021255632,4.01318629861012e-06,0.000463662049889303,0.240899092745503,0.00932670129178159,1.04342084358561e-06,0.000115906640245415,0.0643038236079023,"FIQT"
"29",411,30000,0.3,0.001,-1,0.275655701343296,0.00013739625151655,0.00421191175868008,0.751339909022969,0.0477840011550498,8.47589704577387e-05,0.00235733662838651,0.486364575049917,"FIQT"
"30",511,3e+05,0.3,0.001,-1,0.147325008174645,7.00142541870117e-06,0.000776299504020796,0.418492495930438,0.0224065897791963,1.99108417316553e-06,0.000160097506514417,0.0822219247053918,"FIQT"
"31",611,30000,0.8,0.001,-1,0.212798917401212,0.000100343730856681,0.00320037376417811,0.533680464729504,0.0220421508240933,4.51684962463031e-05,0.00138883110274096,0.276149184469416,"FIQT"
"32",711,3e+05,0.8,0.001,-1,0.112664955331624,3.65104838228748e-06,0.000434632407550867,0.23352500298968,0.01619202948137,1.19464999611137e-06,0.000144016941520053,0.0870037188555323,"FIQT"
"33",811,30000,0.3,0.01,0,0.518626373626374,-7.35329653751595e-05,-0.00214077739244519,0.0178594169282605,0.188164430299261,0.000175532377421798,0.00569959336182,0.802230432891846,"FIQT"
"34",911,3e+05,0.3,0.01,0,0.324595441981986,2.20959112073526e-06,0.000318067489151618,0.203122602848015,0.0188785378754695,7.43325506144713e-07,0.000103375720453246,0.0686052079538944,"FIQT"
"35",1011,30000,0.8,0.01,0,0.439168756771899,-7.66676758940368e-06,-0.000309503214171648,-0.0312759917136772,0.0541110396359295,2.97077685497396e-05,0.00122082593069193,0.200177148519651,"FIQT"
"36",1111,3e+05,0.8,0.01,0,0.25012752594406,2.12856959026377e-06,0.000308370891452654,0.196269439320392,0.00693179548329933,2.91515048909144e-07,4.34683000294305e-05,0.0319195508137056,"FIQT"
