"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,0.769293230161651,-0.00022167131036654,-0.00613802723679111,-0.3953820177637,0.162589038765778,0.000232404728287477,0.00538425741282045,0.579043855902767,"EB"
"51",3e+05,0.3,0.01,-1,0.583529762918937,-2.86408985664329e-06,-0.000343700138354148,-0.15106505876638,0.0219719541780717,1.02459801702693e-06,0.000120341661494781,0.0494272282942116,"EB"
"101",30000,0.8,0.01,-1,0.683500503105484,-0.000117682683155806,-0.0038197007635793,-0.384051571682641,0.0604711737637337,5.19908686242767e-05,0.0015385716546921,0.133422521959821,"EB"
"151",3e+05,0.8,0.01,-1,0.545746550255758,-1.18414308777516e-06,-0.000145000798339002,-0.0684164611895383,0.0115575339384782,3.51892999054274e-07,4.22233527512042e-05,0.0190917932078222,"EB"
"201",30000,0.3,0.001,-1,0.465052525606934,2.10061125095008e-05,0.000650274685973066,0.127055903589894,0.0853431157197185,6.49668682409329e-05,0.00205988257458646,0.328382755047772,"EB"
"251",3e+05,0.3,0.001,-1,0.421381526230781,9.082049386888e-08,1.16212741628264e-05,0.00630863062910667,0.050885717387894,4.05010844233695e-07,5.14301590990916e-05,0.0264649595686978,"EB"
"301",30000,0.8,0.001,-1,0.466745160908417,-3.15269138559094e-06,-0.000115818613567761,-0.013597700685888,0.0677583059908856,1.46261264508159e-05,0.000548447248780237,0.0839820084008259,"EB"
"351",3e+05,0.8,0.001,-1,0.37073059089496,5.88755433515302e-07,7.3643804909915e-05,0.0381421298504707,0.048622833162713,5.21972259611112e-07,6.42905453747893e-05,0.0333925272801857,"EB"
"401",30000,0.3,0.01,0,0.771210330519154,-9.19582085870059e-05,-0.0035711866490864,-0.379117903887506,0.123136331516344,6.86666161531019e-05,0.00264074207074693,0.306034227942897,"EB"
"451",3e+05,0.3,0.01,0,0.577040404180313,-1.81736328317546e-06,-0.000281797603141988,-0.160249748923345,0.0218591735660381,4.05275338077965e-07,5.66631577048873e-05,0.0278977253394581,"EB"
"501",30000,0.8,0.01,0,0.650350287515172,-4.89305801667008e-05,-0.00227496169633161,-0.340583523950112,0.059845441577347,1.73498747579957e-05,0.000767393770537457,0.103043704111125,"EB"
"551",3e+05,0.8,0.01,0,0.54354798084299,-8.9815292740355e-07,-0.000137932195601363,-0.081179373334283,0.0138024289319327,1.72555695511334e-07,2.59714647860034e-05,0.0145536094345999,"EB"
"601",30000,0.3,0.001,0,0.457680105563107,3.76942096554172e-07,1.32178086445653e-05,0.0205203880508725,0.092118604492694,2.1417804933216e-05,0.000986684187003692,0.217364073227299,"EB"
"651",3e+05,0.3,0.001,0,0.424328861488663,-7.15739664406209e-08,-1.09948496374906e-05,-0.00626330657746543,0.047220368541507,3.85129762940829e-07,5.49330910434654e-05,0.031692121529139,"EB"
"701",30000,0.8,0.001,0,0.469407489996017,-3.32746593407387e-06,-0.000157331493151513,-0.0264331520641451,0.0689514348889517,9.67465515435437e-06,0.000436545390515005,0.0807390393723059,"EB"
"751",3e+05,0.8,0.001,0,0.371435159387329,5.55242345122532e-07,7.7162386764528e-05,0.0446986481640223,0.0577548876934514,5.13779325002451e-07,7.09341023228589e-05,0.0413315027773886,"EB"
"801",30000,0.3,0.01,1,0.752996894693079,-8.09769715401134e-05,-0.0031159254797225,-0.36118137249318,0.118803056832941,8.61464310047119e-05,0.00247933547185038,0.237331587140904,"EB"
"851",3e+05,0.3,0.01,1,0.561795394723281,-1.29678017008729e-06,-0.000218201806857349,-0.136271767857137,0.0251812065954935,2.95614925973307e-07,4.87379753787419e-05,0.0282393857402857,"EB"
"901",30000,0.8,0.01,1,0.64365208627977,-3.82388393610969e-05,-0.00188988284281525,-0.309367880087183,0.0582963247468567,1.10655069362069e-05,0.000541181609293247,0.0796539517854484,"EB"
"951",3e+05,0.8,0.01,1,0.539773529045464,-6.05949719253421e-07,-0.000101595180936249,-0.0658137336611681,0.0139963016996368,1.2680982923483e-07,2.06517738875941e-05,0.0127442082405664,"EB"
"1001",30000,0.3,0.001,1,0.459069625038878,2.10794330588297e-06,6.53344350838144e-05,0.0295563595409773,0.0905894246371136,2.22686438966274e-05,0.00107424993449175,0.24966274426641,"EB"
"1051",3e+05,0.3,0.001,1,0.411950157940334,-2.57056812134846e-08,-3.85423231973479e-06,-0.00198145190255073,0.0510671292662934,2.4045122723452e-07,3.88737524062339e-05,0.0250731108895759,"EB"
"1101",30000,0.8,0.001,1,0.43657651042675,-8.99085584866047e-07,-4.95699548331924e-05,-0.00960757348642328,0.0648653768860957,5.04410543137252e-06,0.000251827886973555,0.0512792458400587,"EB"
"1151",3e+05,0.8,0.001,1,0.384591195995353,3.47631996852541e-07,5.35492479939784e-05,0.0345491665437167,0.0565209364907418,4.62810325852214e-07,7.09858915690088e-05,0.0454787789925049,"EB"
"11",30000,0.3,0.01,-1,0.600396851686325,-9.52030304918108e-05,-0.00260339405729537,0.228613324557536,0.174853026110069,0.000470877700729097,0.00970738583518458,1.46793562379646,"FIQT"
"511",3e+05,0.3,0.01,-1,0.455497016484724,4.85496565690252e-06,0.00052846661468552,0.265287454516604,0.0183451840716521,1.98653477410043e-06,0.000216986799100079,0.123837933291628,"FIQT"
"1011",30000,0.8,0.01,-1,0.519279141623639,-2.27700396690319e-05,-0.000658921271316229,-0.0401620193197393,0.0431167391292121,8.05655073228929e-05,0.00230665881277687,0.274761115984947,"FIQT"
"1511",3e+05,0.8,0.01,-1,0.436675718212211,4.86696189868995e-06,0.000549912784449645,0.284496405174961,0.0104376259374978,1.04514692625335e-06,0.000117076011049878,0.0680141536496702,"FIQT"
"2011",30000,0.3,0.001,-1,0.384693770952498,0.000163061937356925,0.00497681312341784,0.940370491475472,0.0405651285709724,8.89966605613404e-05,0.00244985022686158,0.566836629302384,"FIQT"
"2511",3e+05,0.3,0.001,-1,0.382037723996947,1.02214148100329e-05,0.00112537907010471,0.655255251483687,0.0193129719161527,2.27523638919885e-06,0.000225106622694977,0.156665919786201,"FIQT"
"3011",30000,0.8,0.001,-1,0.36392355941825,0.000133912931071891,0.00439130944364863,0.820883278326541,0.0372232779423352,3.9815475219459e-05,0.00129037130171585,0.333570385561326,"FIQT"
"3511",3e+05,0.8,0.001,-1,0.372672768509538,7.79641299849194e-06,0.000885136476077684,0.502165100773833,0.0186714251364043,1.62992855179491e-06,0.000165930375994076,0.109604948678489,"FIQT"
"4011",30000,0.3,0.01,0,0.571280244265538,-6.67423817204294e-05,-0.0025174343928689,-0.149482983658668,0.16999205491661,0.000120616960071539,0.00444837123339731,0.631465120315652,"FIQT"
"4511",3e+05,0.3,0.01,0,0.446306399626849,2.33325120286063e-06,0.000332345725020609,0.212920198926445,0.0209765706892852,1.02262751483917e-06,0.000145679399607976,0.100033920115431,"FIQT"
"5011",30000,0.8,0.01,0,0.478025398463419,6.61387197578071e-06,0.000286951541666808,0.0682765477132265,0.0490660884795541,2.48245706662185e-05,0.0010486245699318,0.20071697856752,"FIQT"
"5511",3e+05,0.8,0.01,0,0.434404273578966,2.52938841992529e-06,0.000361050883012883,0.230425578347211,0.01037063011651,5.26691731053143e-07,7.53899680266568e-05,0.0541021019613321,"FIQT"
"6011",30000,0.3,0.001,0,0.365610778435738,9.49041287159885e-05,0.003855385155532,0.940856131999571,0.0545019175496775,3.43768695892278e-05,0.00140024098913631,0.454587221195476,"FIQT"
"6511",3e+05,0.3,0.001,0,0.380096898896126,6.98305664016574e-06,0.000896491676925451,0.597913513918021,0.0220018186939354,1.68804046124738e-06,0.000200113588367014,0.15818214496983,"FIQT"
"7011",30000,0.8,0.001,0,0.375666501391543,7.64342225855928e-05,0.00312383692615083,0.699816083605727,0.0385128698568993,2.64331620153716e-05,0.00103583830577198,0.289338361139054,"FIQT"
"7511",3e+05,0.8,0.001,0,0.374911890921895,6.07873252759567e-06,0.000768135157303629,0.483086289641289,0.0165878864898424,1.40304705820402e-06,0.000173494496852677,0.132850180998492,"FIQT"
"8011",30000,0.3,0.01,1,0.542957881220797,-5.17564753240384e-05,-0.00177643624239484,-0.117640319342658,0.136488335995992,0.000108706760985316,0.00358159389968718,0.476733516847925,"FIQT"
"8511",3e+05,0.3,0.01,1,0.437364659069561,2.63030571342178e-06,0.000400898404574675,0.280450124516318,0.0179433221755309,7.37890945513605e-07,0.000111973721814128,0.0884465172396976,"FIQT"
"9011",30000,0.8,0.01,1,0.467791763833817,1.13941906454636e-05,0.000506887345740482,0.108782879395096,0.0376352719056234,2.01281995918203e-05,0.000893643436427598,0.184241616183555,"FIQT"
"9511",3e+05,0.8,0.01,1,0.431001593358807,2.54358530263251e-06,0.000394074470253302,0.278276712026379,0.0118148733912193,4.49692543821605e-07,6.93637533218972e-05,0.0548636352057314,"FIQT"
"10011",30000,0.3,0.001,1,0.368837260677369,7.81134819089822e-05,0.00334648717584009,0.81699747344713,0.0537645443688018,2.6841835643811e-05,0.00108707850288808,0.334580200838904,"FIQT"
"10511",3e+05,0.3,0.001,1,0.376480548111906,5.86704326335579e-06,0.000837084602637667,0.62347495705553,0.0237256384353446,1.11150397244944e-06,0.000150530145085624,0.139465259425384,"FIQT"
"11011",30000,0.8,0.001,1,0.374753088484474,7.0687036337303e-05,0.00311306019030064,0.752901212930578,0.0408061248788915,1.5230722838533e-05,0.000655925614315301,0.215913130284626,"FIQT"
"11511",3e+05,0.8,0.001,1,0.373597367246307,4.80922769207982e-06,0.000674112656888033,0.465476534552656,0.0241795922300319,9.70291604700734e-07,0.000128944817536023,0.106045154430338,"FIQT"
"12",30000,0.3,0.01,-1,0.571986595276069,-1.35417640537886e-05,-0.00090782530661809,0.419616068111863,0.17589981339607,0.000513352994239966,0.0100000367375051,1.73161582556988,"BR"
"512",3e+05,0.3,0.01,-1,0.528865189019294,1.76744656074833e-09,-6.81205503495494e-07,0.00325000128753122,0.0183412263196958,1.66580508057141e-06,0.000193570303439366,0.0899144981710533,"BR"
"1012",30000,0.8,0.01,-1,0.595403638703852,-8.64072071709371e-05,-0.002675337044765,-0.265634591344147,0.0456765951215346,6.30441217093425e-05,0.00187969815200972,0.17857587063503,"BR"
"1512",3e+05,0.8,0.01,-1,0.509812506828712,1.04714387856308e-06,0.000124428707996445,0.0616603805913446,0.0173363618923639,6.56259502934057e-07,7.73999781316453e-05,0.038981826819557,"BR"
"2012",30000,0.3,0.001,-1,0.335499626791113,0.000167085118474971,0.00506028169324252,0.98027628806213,0.0488053339756004,0.000101657479689211,0.00284104791673734,0.673826543172185,"BR"
"2512",3e+05,0.3,0.001,-1,0.330469964293574,1.09550509435524e-05,0.0011949578022095,0.699486244612033,0.0334688603151464,2.45812108974126e-06,0.000235956331715115,0.156001602132194,"BR"
"3012",30000,0.8,0.001,-1,0.294540647244252,0.000174192984378821,0.00549553266686578,1.06137520844855,0.0386551963597842,4.95135787987619e-05,0.00146722230674366,0.407559140595382,"BR"
"3512",3e+05,0.8,0.001,-1,0.286769419579263,9.39457691924133e-06,0.001045957501277,0.604860413446348,0.0252537704831027,2.14997060812311e-06,0.000210554149074156,0.142739134611653,"BR"
"4012",30000,0.3,0.01,0,0.576356512768277,-4.45134799183133e-05,-0.0017251084945478,-0.0408858402280022,0.153544460441028,0.000130237687590926,0.00463666605174301,0.707584779837625,"BR"
"4512",3e+05,0.3,0.01,0,0.507732358817631,-7.28133142291772e-08,-1.0208308846234e-05,-0.00328890684064535,0.0223505461259008,8.25962670879462e-07,0.000121270451858977,0.0706024183380751,"BR"
"5012",30000,0.8,0.01,0,0.554411769967633,-2.27079530185761e-05,-0.000990438982634453,-0.147892733119066,0.0649812189201377,2.09365851202091e-05,0.000925044348399703,0.144711778221072,"BR"
"5512",3e+05,0.8,0.01,0,0.490284606157133,5.58158441263626e-07,8.31366337619167e-05,0.0514282059301132,0.0317343516344534,3.89824556599479e-07,5.81119886887218e-05,0.0366890979345125,"BR"
"6012",30000,0.3,0.001,0,0.329291206771944,0.000102530869955747,0.00406935118772935,1.01432145497587,0.06281346060031,4.98570138231039e-05,0.00184740633256562,0.603890705349755,"BR"
"6512",3e+05,0.3,0.001,0,0.322042720994519,8.47209789684667e-06,0.00106366574144787,0.724424267840852,0.0248485602558331,1.96815943700266e-06,0.00022568124775802,0.184096135234686,"BR"
"7012",30000,0.8,0.001,0,0.300048835985758,0.000102918136184839,0.0040377676080163,0.931757613814512,0.0392277341480614,3.2350321823893e-05,0.00115517763376591,0.343984034296755,"BR"
"7512",3e+05,0.8,0.001,0,0.281773360269364,8.02546802525454e-06,0.000985876329841428,0.637834129685749,0.0229029335474078,1.85447321936819e-06,0.000216400907127568,0.175849700295808,"BR"
"8012",30000,0.3,0.01,1,0.560704343847923,-5.36936268948924e-05,-0.0018788426163116,-0.128987530082152,0.150694729142572,0.000111399973856257,0.00364530399985257,0.486040617114553,"BR"
"8512",3e+05,0.3,0.01,1,0.497541510146299,4.91206691174262e-07,7.84757424860687e-05,0.0535113793572528,0.0206537281026958,6.09747824394843e-07,9.78695431606864e-05,0.0657569065511742,"BR"
"9012",30000,0.8,0.01,1,0.540393506098623,-1.35250353342079e-05,-0.000625867600892131,-0.100650979635143,0.0486324936030017,1.61241014777759e-05,0.000756456197566166,0.133873853392471,"BR"
"9512",3e+05,0.8,0.01,1,0.474572368038895,8.02048093185676e-07,0.000129613241267167,0.0879728646265449,0.0379820050212341,3.03437366589816e-07,4.8979665625989e-05,0.0344942224063227,"BR"
"10012",30000,0.3,0.001,1,0.31616424399571,8.9921728895271e-05,0.00376354400627089,0.942854536948525,0.0608118210809737,3.59804989531467e-05,0.00137851058035902,0.440677721243911,"BR"
"10512",3e+05,0.3,0.001,1,0.315101051736704,7.29243350173779e-06,0.00101398813698806,0.774328311274589,0.0304869478350444,1.35765961123301e-06,0.000174425980816532,0.171203425794035,"BR"
"11012",30000,0.8,0.001,1,0.294414276541077,9.98902654728079e-05,0.00418775241098859,1.06050548882374,0.03463765445836,2.27190590925431e-05,0.000866614223978897,0.294625627610169,"BR"
"11512",3e+05,0.8,0.001,1,0.280353876896222,6.79776305359016e-06,0.000919410415749624,0.657840190636068,0.0254182685610672,1.51448399250502e-06,0.000187278308866673,0.161256198534258,"BR"
"13",30000,0.3,0.01,-1,0.57138484906906,0.000641355294337335,0.00982956571916937,1.92757667729297,0.123068703530532,0.00123683516412711,0.0130274088268282,2.92301376693424,"cl1"
"513",3e+05,0.3,0.01,-1,0.520148331854214,4.06108246900172e-05,0.00336328982888448,2.17825389071351,0.0178659332074685,6.5471672879706e-06,0.000446521094341637,0.414419584497512,"cl1"
"1013",30000,0.8,0.01,-1,0.546879711345984,0.000481105678134834,0.0105170776159533,1.67627798070572,0.0463388691450694,0.000176639120761005,0.00324196785363984,0.767705067887496,"cl1"
"1513",3e+05,0.8,0.01,-1,0.511609241528212,2.93079676817185e-05,0.00266813284810002,1.70659999113439,0.0113856748787029,3.26298779691515e-06,0.000249770153014123,0.221662384568118,"cl1"
"2013",30000,0.3,0.001,-1,0.516755979180935,0.000395546646987595,0.0101680400487308,2.15960147209932,0.0421456290851757,0.000194315901560576,0.00385888913174361,0.998958713927728,"cl1"
"2513",3e+05,0.3,0.001,-1,0.509628081575591,1.60131557005629e-05,0.00164757850545107,1.02422195055806,0.0213325712290184,5.70947145103571e-06,0.000501166224833812,0.374703020875245,"cl1"
"3013",30000,0.8,0.001,-1,0.509934123115876,0.000290532419763632,0.00830843450166901,1.75159970648326,0.0413946656369833,0.000100342878123938,0.00241433458488911,0.721088558806519,"cl1"
"3513",3e+05,0.8,0.001,-1,0.506282752243695,1.0684868598035e-05,0.00116121928224208,0.685865749238168,0.0199216958296176,4.27087593592573e-06,0.000400860232256063,0.272279588483782,"cl1"
"4013",30000,0.3,0.01,0,0.620952877188171,0.000184835686092985,0.00491492159787887,1.12316611932189,0.159487404962854,0.000214947819321271,0.00561809538708316,1.56582468122585,"cl1"
"4513",3e+05,0.3,0.01,0,0.518996501937051,2.24536761975976e-05,0.00244694930198693,2.0033290588902,0.0185256547482851,2.77189982862489e-06,0.000246343285052242,0.293313733374332,"cl1"
"5013",30000,0.8,0.01,0,0.530638867321959,0.000274552544483733,0.00844441084381657,1.96841726332152,0.0388784417035586,6.86582244009358e-05,0.00172133583275847,0.562117911598925,"cl1"
"5513",3e+05,0.8,0.01,0,0.512268033730555,1.92864146175403e-05,0.00218196852815666,1.74988191032237,0.0120337004980927,1.83764059093349e-06,0.000174736618304608,0.195540760779603,"cl1"
"6013",30000,0.3,0.001,0,0.518289085113469,0.000237469197173867,0.00806741504601479,2.28517347506137,0.0638266585152027,8.73861175806359e-05,0.0025176917813055,1.00661861156144,"cl1"
"6513",3e+05,0.3,0.001,0,0.505808098137937,1.42879308411385e-05,0.00165641740104702,1.21653095540932,0.0242634606331891,4.30010977136907e-06,0.000411963423811009,0.382293492579913,"cl1"
"7013",30000,0.8,0.001,0,0.523869830752201,0.000181052316486848,0.00645298623378341,1.61963257257833,0.0340355748925766,5.25137360321878e-05,0.00152192320879834,0.510992119314798,"cl1"
"7513",3e+05,0.8,0.001,0,0.50660703753599,1.53691348426151e-05,0.00159172939476541,1.15954184927302,0.0182123159605306,2.13196548871306e-05,0.00116005905308811,1.33523334060566,"cl1"
"8013",30000,0.3,0.01,1,0.59256766240968,0.000170905324965399,0.00503873745041656,1.1653314969368,0.14330480353726,0.000175839397380256,0.0047328466800956,1.37723175647099,"cl1"
"8513",3e+05,0.3,0.01,1,0.518095969750306,1.88695145721013e-05,0.0022434855381601,1.99559438074738,0.0173857210092967,1.80626595009761e-06,0.000174015101307585,0.221175020315326,"cl1"
"9013",30000,0.8,0.01,1,0.538223521068675,0.000235995734148702,0.00784287975057771,1.96049770894016,0.0399082357263911,4.45443945872177e-05,0.00129926869667026,0.511980432657055,"cl1"
"9513",3e+05,0.8,0.01,1,0.512700188933582,1.51783287854398e-05,0.00190343749183146,1.65476609851641,0.0109299329489544,1.42085138092225e-06,0.00014743145626923,0.173413246187396,"cl1"
"10013",30000,0.3,0.001,1,0.519270011470577,0.000181945474431898,0.00674487338819598,1.8839724483025,0.0572115874393304,5.87119291126355e-05,0.00178624982229519,0.707667725210806,"cl1"
"10513",3e+05,0.3,0.001,1,0.502543630626684,1.19094559662451e-05,0.00153061080327691,1.25885133337286,0.0233369277839053,3.40695412790048e-06,0.000369834182421409,0.381508355050689,"cl1"
"11013",30000,0.8,0.001,1,0.516183525607657,0.000139384829646759,0.00551611971371058,1.47607920454957,0.0323041214543461,3.30210938239266e-05,0.00113953332642034,0.414644703952188,"cl1"
"11513",3e+05,0.8,0.001,1,0.50709076697311,2.05868734967562e-05,0.00183541784932963,1.97090287167545,0.026715671897892,4.48816189529197e-05,0.00234064445595364,4.24388563191599,"cl1"
"14",30000,0.3,0.01,-1,0.625207818497292,-1.56591422815944e-05,-0.000813496153117998,0.324801807284769,0.137580960588882,0.000491207354848448,0.00911635311625505,1.35759356105674,"cl2"
"514",3e+05,0.3,0.01,-1,0.49137373764261,1.97274957472178e-05,0.00186879574126719,1.0598493967979,0.0160045514071579,3.28621659629736e-06,0.000283552758119768,0.219149131972122,"cl2"
"1014",30000,0.8,0.01,-1,0.539973452045163,0.000114012836676179,0.00302403345304293,0.429455984112443,0.04325794121199,9.21475605037737e-05,0.0023881124764858,0.393187248721247,"cl2"
"1514",3e+05,0.8,0.01,-1,0.483675411376622,1.73138062242966e-05,0.00171872657227416,1.0095313016177,0.0112219464226272,4.30177802789716e-06,0.000341822840891222,0.269893726603716,"cl2"
"2014",30000,0.3,0.001,-1,0.489253837751353,0.000188203353868622,0.00558890420461299,1.05292710336389,0.045838545602825,9.85482795059637e-05,0.0025302502937857,0.571653090054289,"cl2"
"2514",3e+05,0.3,0.001,-1,0.48025721130947,1.00268329676283e-05,0.00110124445353882,0.641294372415782,0.0202137396209312,3.14814861807711e-06,0.000304780049505495,0.205500577097076,"cl2"
"3014",30000,0.8,0.001,-1,0.478608914691271,0.000165623758133128,0.00525408516912238,1.00383008263283,0.0428792992456936,4.85418769216846e-05,0.00143526175532395,0.385677381120759,"cl2"
"3514",3e+05,0.8,0.001,-1,0.475987671784473,7.1411790431804e-06,0.000814878330035321,0.459697221097659,0.0200935817894215,2.05699688458933e-06,0.000213053962127167,0.134154927167662,"cl2"
"4014",30000,0.3,0.01,0,0.662907422642717,-3.59556546360463e-05,-0.00134706441670876,-0.038575020183855,0.150340583634206,0.000106941634188649,0.00385952167715437,0.61852553111184,"cl2"
"4514",3e+05,0.3,0.01,0,0.490114517597371,1.05914020052664e-05,0.00131819534967167,0.948106870905978,0.019031218227847,1.50316204324671e-06,0.000176668319116523,0.170045804971814,"cl2"
"5014",30000,0.8,0.01,0,0.523932660091346,8.07290487001586e-05,0.00300765786947352,0.590902075860405,0.0383169590233325,2.84637795679404e-05,0.00104132154850483,0.249102271928879,"cl2"
