"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,0.649577189103283,-4.42839216809952e-05,-0.284421092713143,0.100051945625622,2.57515503505847e-05,0.129746663271686,"EB"
"11",3e+05,0.3,0.01,-1,0.575829541117148,-1.72440997031741e-06,-0.142070542026114,0.0215241788943497,4.7421521131887e-07,0.0309699636670077,"EB"
"21",30000,0.8,0.01,-1,0.552840849988846,6.9328999294278e-06,0.069864620953527,0.0797849458403731,3.37289882060376e-05,0.290240368841258,"EB"
"31",3e+05,0.8,0.01,-1,0.560874436416833,-1.04988438485255e-06,-0.0874865084638501,0.0143352060035511,3.06370522246438e-07,0.0231275361812037,"EB"
"41",30000,0.3,0.001,-1,0.49602675944347,2.73636594511412e-05,0.208801258121538,0.0749695351013763,3.5359301076894e-05,0.287241450670196,"EB"
"51",3e+05,0.3,0.001,-1,0.517595387055268,8.23794831841177e-08,0.00846470559938189,0.0230387250339822,4.57746768622998e-07,0.0341632000180997,"EB"
"61",30000,0.8,0.001,-1,0.534789360633524,2.22933202531598e-06,0.0163817174114476,0.0529068744249072,1.8938755761538e-05,0.155950414827572,"EB"
"71",3e+05,0.8,0.001,-1,0.485749946726023,1.1234983733069e-06,0.0900294669465194,0.0265329830052978,1.00300413117299e-06,0.0856795878888903,"EB"
"81",30000,0.3,0.01,0,0.729322344322344,-0.00013187701035091,-0.482425382471163,0.116277961493881,7.96516588742362e-05,0.126414080989463,"EB"
"91",3e+05,0.3,0.01,0,0.583873449036864,-1.72716305154862e-06,-0.158943376288656,0.0199981445041212,3.77782320465005e-07,0.0346632619912126,"EB"
"101",30000,0.8,0.01,0,0.671098064462138,-5.27147432052197e-05,-0.35559414995766,0.0637247869358273,2.2073252215717e-05,0.122781276137836,"EB"
"111",3e+05,0.8,0.01,0,0.546569954537087,-8.39810402539389e-07,-0.0770391325349402,0.00649321391755529,1.17274964248241e-07,0.00967973804418426,"EB"
"121",30000,0.3,0.001,0,0.465555357079384,1.41566806149203e-05,0.152866436922802,0.0954506714745459,2.86319743678802e-05,0.296863202036043,"EB"
"131",3e+05,0.3,0.001,0,0.499118318437322,1.39476661753634e-07,0.0129846001979319,0.0257384588385604,3.32584871036824e-07,0.03073795398404,"EB"
"141",30000,0.8,0.001,0,0.517836852690517,-3.60766994537821e-06,-0.025406092560998,0.0413733580780409,8.03675502846918e-06,0.0638477204189441,"EB"
"151",3e+05,0.8,0.001,0,0.469232594586387,1.33773947776598e-06,0.107115929668783,0.0380700911717126,1.54301648828119e-06,0.123384751832713,"EB"
"161",30000,0.3,0.01,1,0.738453359505991,-8.15348996718997e-05,-0.358212858747637,0.130534704369768,5.84751370938529e-05,0.262027514159611,"EB"
"171",3e+05,0.3,0.01,1,0.565400890486086,-1.55391235970137e-06,-0.140092307906944,0.0138295502165409,3.23222660452472e-07,0.0229004202176056,"EB"
"181",30000,0.8,0.01,1,0.635871278158334,-3.83503390802021e-05,-0.297273051941696,0.0296062059808942,1.49834327791663e-05,0.0978326850944647,"EB"
"191",3e+05,0.8,0.01,1,0.55209883129663,-8.99991588861241e-07,-0.080696149671324,0.0120422266178741,2.07391514552048e-07,0.0176827660394502,"EB"
"201",30000,0.3,0.001,1,0.562119674219838,1.07022531905059e-05,0.0856476332754172,0.0922071873201393,5.91226014780119e-05,0.449552932151135,"EB"
"211",3e+05,0.3,0.001,1,0.484096131195867,3.03790960501603e-07,0.0271376375607805,0.0241580861026519,2.76300658124478e-07,0.0256231170277583,"EB"
"221",30000,0.8,0.001,1,0.498070707823408,5.7872022431717e-06,0.0507173429016871,0.0572229011864418,1.32818496577813e-05,0.124679365607215,"EB"
"231",3e+05,0.8,0.001,1,0.479379007731605,5.16390581302146e-07,0.0402077854584214,0.0270115059252756,7.46725982852212e-07,0.0569010582434718,"EB"
"12",30000,0.3,0.01,-1,0.331287636423229,4.29249144210351e-05,0.541845206883263,0.107347917353894,7.85357432529323e-05,0.721732252150157,"FIQT"
"112",3e+05,0.3,0.01,-1,0.30236189511561,2.35983621623614e-06,0.204038759646831,0.017753638594545,1.03484419448337e-06,0.100135133481588,"FIQT"
"212",30000,0.8,0.01,-1,0.329245451659285,4.53086475088581e-05,0.375903800234755,0.0442035908674604,2.779843118339e-05,0.256042413016656,"FIQT"
"311",3e+05,0.8,0.01,-1,0.256697776890424,2.15240853839215e-06,0.182102553837276,0.0121903127063967,7.98827914535231e-07,0.0705825686775941,"FIQT"
"411",30000,0.3,0.001,-1,0.208311521305955,0.000101761452061358,0.838116708737614,0.0404774297387298,3.03753825347651e-05,0.345601576176715,"FIQT"
"511",3e+05,0.3,0.001,-1,0.164722191233366,5.35033566878858e-06,0.438918457631336,0.02235069497813,1.81348382356416e-06,0.172886483004931,"FIQT"
"611",30000,0.8,0.001,-1,0.188865592214824,6.5337548012953e-05,0.563603059375862,0.0267739154769647,1.71258309212986e-05,0.166332408214897,"FIQT"
"711",3e+05,0.8,0.001,-1,0.122187597691127,4.2977725829968e-06,0.333988069342696,0.0249830154441103,1.4507350537828e-06,0.10398208008397,"FIQT"
"811",30000,0.3,0.01,0,0.518626373626374,-7.35329653751595e-05,0.0178594169282605,0.188164430299261,0.000175532377421798,0.802230432891846,"FIQT"
"911",3e+05,0.3,0.01,0,0.324595441981986,2.20959112073526e-06,0.203122602848015,0.0188785378754695,7.43325506144713e-07,0.0686052079538944,"FIQT"
"1011",30000,0.8,0.01,0,0.439168756771899,-7.66676758940368e-06,-0.0312759917136772,0.0541110396359295,2.97077685497396e-05,0.200177148519651,"FIQT"
"1111",3e+05,0.8,0.01,0,0.25012752594406,2.12856959026377e-06,0.196269439320392,0.00693179548329933,2.91515048909144e-07,0.0319195508137056,"FIQT"
"1211",30000,0.3,0.001,0,0.223367149594265,9.64331539397779e-05,0.961508162715388,0.0498982645269555,2.38410595440233e-05,0.461075520630242,"FIQT"
"1311",3e+05,0.3,0.001,0,0.154374006935351,4.93362592860142e-06,0.43858055281562,0.0175669892932562,8.32255760062962e-07,0.0820773394446744,"FIQT"
"1411",30000,0.8,0.001,0,0.18746197101271,6.30006512910385e-05,0.568622907628378,0.0281712966030126,2.60613938901686e-05,0.307586593144759,"FIQT"
"1511",3e+05,0.8,0.001,0,0.122121008775171,4.31176205044325e-06,0.338627952743889,0.0136577880587644,1.77442954285762e-06,0.141665628103919,"FIQT"
"1611",30000,0.3,0.01,1,0.503169053169053,-3.22270139659357e-05,-0.01215456918413,0.133602758795821,9.1079460312923e-05,0.467708631699472,"FIQT"
"1711",3e+05,0.3,0.01,1,0.30929504521927,2.48339214607581e-06,0.228941338508724,0.0167425533963106,8.35763121752477e-07,0.086386794566886,"FIQT"
"1811",30000,0.8,0.01,1,0.38792195409175,2.40267580368139e-05,0.198143251144835,0.033892395837321,1.9225835609181e-05,0.154883621158307,"FIQT"
"1911",3e+05,0.8,0.01,1,0.251410483136014,1.97794928797794e-06,0.178289064295539,0.0083627468330243,3.34008444630472e-07,0.0330538884202002,"FIQT"
"2011",30000,0.3,0.001,1,0.24830750930586,7.43513102297146e-05,0.671172092383929,0.0500281307948192,4.57546836489565e-05,0.420433644143043,"FIQT"
"2111",3e+05,0.3,0.001,1,0.1450704392182,5.91342638388752e-06,0.532778766089486,0.0252235976619281,1.16178106068434e-06,0.109100056971939,"FIQT"
"2211",30000,0.8,0.001,1,0.184810847815662,6.3614690946812e-05,0.628108012107005,0.0368711635265509,1.90214077015966e-05,0.249776263448216,"FIQT"
"2311",3e+05,0.8,0.001,1,0.126086251761589,3.4433573737085e-06,0.274588947848316,0.0133903540581653,1.31440634016671e-06,0.10316887065894,"FIQT"
"13",30000,0.3,0.01,-1,0.429356781056281,2.089016544629e-05,0.335448753786188,0.07423392186532,7.12811714069847e-05,0.544228684146823,"BR"
"113",3e+05,0.3,0.01,-1,0.494795129739799,6.50231036211579e-08,0.0117344399310678,0.028028016964099,1.04813553452782e-06,0.0846522729680462,"BR"
"213",30000,0.8,0.01,-1,0.41042919902262,3.76392451433495e-05,0.315254285410263,0.0456617574876264,3.23518807597599e-05,0.296465965997666,"BR"
"312",3e+05,0.8,0.01,-1,0.419132655146848,1.38125297453254e-06,0.117077176408554,0.0381304137044242,1.07865400671569e-06,0.0918204612209033,"BR"
"412",30000,0.3,0.001,-1,0.29274803376689,0.000184647410192756,1.52417306962071,0.0707454675905252,7.19981085710593e-05,0.793470592064264,"BR"
"512",3e+05,0.3,0.001,-1,0.332979514397654,9.57449258554202e-06,0.770829914670826,0.0349778515375875,2.24868625661872e-06,0.196616985720931,"BR"
"612",30000,0.8,0.001,-1,0.304765501562624,0.000110375439616282,0.96911833124211,0.0388065531518507,2.6551755695353e-05,0.336455384016392,"BR"
"712",3e+05,0.8,0.001,-1,0.28671394717195,1.12598851803184e-05,0.880017042520595,0.0217304448488481,2.72221040706988e-06,0.195570505333859,"BR"
"812",30000,0.3,0.01,0,0.527985347985348,-6.63419183344912e-05,0.0369088209683248,0.18367380987964,0.000174944279462644,0.812368878530493,"BR"
"912",3e+05,0.3,0.01,0,0.515236241975737,-1.4510521225213e-07,-0.0135855585180957,0.0204291917655504,5.21525917572568e-07,0.0489408730097115,"BR"
"1012",30000,0.8,0.01,0,0.570473494678144,-2.66552853689679e-05,-0.169817293057019,0.0428261511049845,2.3390428954969e-05,0.137583173738461,"BR"
"1112",3e+05,0.8,0.01,0,0.487422396757581,5.72709210041304e-07,0.0533614313400835,0.0342430955345922,4.38937086458795e-07,0.0426296394573649,"BR"
"1212",30000,0.3,0.001,0,0.288204148285716,0.000111703483251321,1.13308357306671,0.0532790711455775,3.43897930643727e-05,0.641905746732911,"BR"
"1312",3e+05,0.3,0.001,0,0.323618677227135,8.14548377692635e-06,0.72591892245429,0.0235468686934293,2.04628477531614e-06,0.195090318535945,"BR"
"1412",30000,0.8,0.001,0,0.293737731889271,0.000115660607170955,1.02186994694326,0.0272507859217013,2.99210064117699e-05,0.399717120902585,"BR"
"1512",3e+05,0.8,0.001,0,0.284888418984406,8.38492064956323e-06,0.6569827408007,0.0317813221887408,2.76549870971026e-06,0.214527881758277,"BR"
"1612",30000,0.3,0.01,1,0.537621442884601,-2.69128246124533e-05,0.0310995696784239,0.159725937026966,9.50702824917162e-05,0.571842414749303,"BR"
"1712",3e+05,0.3,0.01,1,0.489437041481309,5.34322862677402e-07,0.0513447992141973,0.0162829080436359,7.5754115477809e-07,0.0701967473573318,"BR"
"1812",30000,0.8,0.01,1,0.514612554265472,-9.02281372077523e-06,-0.0640553519117738,0.0403124612284244,1.7987888200457e-05,0.129710283992171,"BR"
"1912",3e+05,0.8,0.01,1,0.475585457766335,4.69303867845768e-07,0.042476511278319,0.0360405156459002,3.5875595117508e-07,0.0325650056812018,"BR"
"2012",30000,0.3,0.001,1,0.340680776251977,9.94695784118197e-05,0.893356558881687,0.0458571055854778,4.77874898151847e-05,0.511399768075784,"BR"
"2112",3e+05,0.3,0.001,1,0.315306276431198,9.63405174371608e-06,0.865253081854952,0.0276903543300685,2.0559078112508e-06,0.191878775567781,"BR"
"2212",30000,0.8,0.001,1,0.299579404112519,0.000110441393245742,1.07728990912752,0.0344093197860238,3.2640902854033e-05,0.405307192509184,"BR"
"2312",3e+05,0.8,0.001,1,0.272831297258841,7.51558702422447e-06,0.60090809171177,0.0179582080698567,1.56409434251391e-06,0.131589274618389,"BR"
"14",30000,0.3,0.01,-1,0.544433747288761,0.000170318998596063,1.4619648694944,0.0692633550191776,0.000110994364011267,1.0459447906427,"cl1"
"114",3e+05,0.3,0.01,-1,0.525899034140474,2.16081124834757e-05,1.82237207215815,0.0214266831239915,3.08558076723628e-06,0.358260259163654,"cl1"
"214",30000,0.8,0.01,-1,0.52357591565741,0.000240765825101707,1.94722827611639,0.0542899634089758,4.38176583114389e-05,0.403207314338155,"cl1"
"313",3e+05,0.8,0.01,-1,0.516752463708875,1.97644427705903e-05,1.65744524358531,0.0123850799830822,2.52046044231931e-06,0.205001529951763,"cl1"
"413",30000,0.3,0.001,-1,0.500112155437472,0.000294039989579253,2.39225109384811,0.0463637741130673,0.000183767066368044,1.57168880746988,"cl1"
"513",3e+05,0.3,0.001,-1,0.509011085918502,1.523782832296e-05,1.24598803574636,0.0173650231816712,4.26095145271794e-06,0.4295952320887,"cl1"
"613",30000,0.8,0.001,-1,0.500700013083983,0.000173724576642199,1.48560149833241,0.0225086638111856,4.14587874178801e-05,0.337492807320509,"cl1"
"713",3e+05,0.8,0.001,-1,0.508574582206159,1.3072019367232e-05,1.01416084232421,0.0157729615069413,4.308657469545e-06,0.303763061896665,"cl1"
"813",30000,0.3,0.01,0,0.498699633699634,0.000180902267741356,1.35657152135658,0.188604151197683,0.000263757078910471,1.88506428037884,"cl1"
"913",3e+05,0.3,0.01,0,0.529836809485177,2.31767695129598e-05,2.1303364577935,0.0145938626385121,2.50823804886817e-06,0.207994320854638,"cl1"
"1013",30000,0.8,0.01,0,0.566926268522463,0.00025102300625328,1.74418915169366,0.0525029793989473,6.18390218223393e-05,0.476179112678477,"cl1"
"1113",3e+05,0.8,0.01,0,0.507698225927706,1.94849787605397e-05,1.78595172974923,0.00670850912804023,2.67542361084799e-06,0.19817369441563,"cl1"
"1213",30000,0.3,0.001,0,0.497533851890312,0.000234500209868067,2.35672727686853,0.05340604665954,9.67344680915911e-05,1.2893588374227,"cl1"
"1313",3e+05,0.3,0.001,0,0.501626431419785,1.50999909590563e-05,1.32907724207033,0.0221477762248302,3.73468674006499e-06,0.280674138134439,"cl1"
"1413",30000,0.8,0.001,0,0.524596019814323,0.00018756316599042,1.63296182972316,0.0481175581813904,3.78308450801028e-05,0.532436236319484,"cl1"
"1513",3e+05,0.8,0.001,0,0.507827512403987,1.00524958459227e-05,0.802569415867225,0.0288122656662145,4.0170304888116e-06,0.356611249312943,"cl1"
"1613",30000,0.3,0.01,1,0.564196622091359,0.000169649406583885,1.18563285941438,0.099802127873628,0.00019563926869681,1.07863711810359,"cl1"
"1713",3e+05,0.3,0.01,1,0.516403515146759,2.16084947710307e-05,1.95978597117372,0.0133772155327663,2.56950652515188e-06,0.210985813324769,"cl1"
"1813",30000,0.8,0.01,1,0.516511119736209,0.000270111397206229,2.14087257332912,0.0326558211195095,6.33668742902058e-05,0.513173384561051,"cl1"
"1913",3e+05,0.8,0.01,1,0.513087654077052,1.89145570771942e-05,1.70367126805404,0.0135901827521604,1.71552791655702e-06,0.190259437374101,"cl1"
"2013",30000,0.3,0.001,1,0.552135366889848,0.000171666770805321,1.52307005474955,0.0556743060378294,5.28940713588248e-05,0.626368183605455,"cl1"
"2113",3e+05,0.3,0.001,1,0.499817458956745,1.73332597154309e-05,1.56374196355254,0.0261869311271364,3.29476676752766e-06,0.307956271576981,"cl1"
"2213",30000,0.8,0.001,1,0.534149851735241,0.000165920625007108,1.63095038151951,0.0382165961243215,4.18159985840632e-05,0.571333506878666,"cl1"
"2313",3e+05,0.8,0.001,1,0.500681882464466,1.07029056754524e-05,0.846537203190528,0.0166976161485741,3.34401686779166e-06,0.255202105094821,"cl1"
"15",30000,0.3,0.01,-1,0.524549122504943,4.40107873019877e-05,0.515165460394136,0.0844263727163034,7.67614593566933e-05,0.64747468263091,"cl2"
"115",3e+05,0.3,0.01,-1,0.496557452871445,1.12162015505592e-05,0.945759616957874,0.0166832423805632,1.6092266755971e-06,0.182775062636551,"cl2"
"215",30000,0.8,0.01,-1,0.504275332860091,9.63315905939009e-05,0.782179315248782,0.053599911668576,2.41503275973437e-05,0.218613357287538,"cl2"
"314",3e+05,0.8,0.01,-1,0.482188210206007,1.91252600978993e-05,1.60377702635476,0.0134241609267063,1.55331642528871e-05,1.30238630739968,"cl2"
"414",30000,0.3,0.001,-1,0.470696031083543,0.000130689658711423,1.07197365454291,0.0391269609619234,7.32438617833769e-05,0.651019517489113,"cl2"
