"","n_samples","h2","prop_effect","S","n_sig","prop_bias","mse","n_sig_sd","prop_bias_sd","mse_sd"
"1",30000,0.3,0.01,-1,0.49,1,0.00123888587854555,0.65897073094518,0,0.000965766817076249
"101",3e+05,0.3,0.01,-1,857.47,0.772446333839003,1.63052951788729e-05,21.7280970639447,0.0140481526892577,1.65246156019815e-06
"201",30000,0.8,0.01,-1,24.81,0.996555919361748,0.000441643273138961,4.89009512208406,0.0125589275935834,0.000117407653027295
"301",3e+05,0.8,0.01,-1,2821.07,0.624979712084078,1.37645560958145e-05,29.0284621735568,0.00846136786072509,6.78055359336642e-07
"401",30000,0.3,0.001,-1,86.72,0.767710020559257,0.000156052585700381,6.90934077166483,0.0433681500800924,3.72291822663717e-05
"501",3e+05,0.3,0.001,-1,568.01,0.549426930521363,1.44054457473565e-05,12.7378343623406,0.0177979303774929,1.64507114367004e-06
"601",30000,0.8,0.001,-1,281.94,0.62144151433276,0.000138259476966037,9.62301534044419,0.0309323292437696,2.44289436645604e-05
"701",3e+05,0.8,0.001,-1,729.36,0.522065401314438,1.49756464307976e-05,11.3427055721715,0.0178867714898671,1.44300986813704e-06
"801",30000,0.3,0.01,0,0.54,1,0.00164339521279007,0.730573318522771,0,0.00303315512029761
"901",3e+05,0.3,0.01,0,911.67,0.774600673171099,1.18782643134273e-05,22.3118643983261,0.0128765256725081,8.38137477566273e-07
"1001",30000,0.8,0.01,0,23.16,0.998682048984468,0.000391829863319236,4.68334681330962,0.00787841659146313,6.86745831844551e-05
"1101",3e+05,0.8,0.01,0,2859.69,0.61157994984056,1.01662132270906e-05,29.9287689710287,0.00971523085589276,3.53649829915188e-07
"1201",30000,0.3,0.001,0,90.54,0.767246386521291,0.000113366674745519,6.64149794470306,0.0470381719139049,1.95620436823189e-05
"1301",3e+05,0.3,0.001,0,541.99,0.542900810768629,1.18178489574807e-05,12.7481390996902,0.0191050816080155,1.16156421203398e-06
"1401",30000,0.8,0.001,0,285.65,0.613485385289743,0.000104176207306499,9.13354899103942,0.0299516219651985,1.3749031047922e-05
"1501",3e+05,0.8,0.001,0,690.16,0.525726772505391,1.28184058433894e-05,11.8498348452029,0.0203799210461218,1.12939473130012e-06
"1601",30000,0.3,0.01,1,0.47,1,0.00135363561659236,0.744745906095807,0,0.000857404064739386
"1701",3e+05,0.3,0.01,1,917.61,0.81976517785291,1.18421967852899e-05,23.791134500231,0.0108002894259375,6.65315824990315e-07
"1801",30000,0.8,0.01,1,15.15,1,0.000483751633083107,2.94863433549236,0,8.67784858470233e-05
"1901",3e+05,0.8,0.01,1,3134.2,0.602243062928509,9.56850711738525e-06,25.3341307689485,0.00925428919163909,3.50230864023432e-07
"2001",30000,0.3,0.001,1,91.8,0.818417555978808,0.000122782612491164,6.12331197106186,0.03730707568202,2.21256951620907e-05
"2101",3e+05,0.3,0.001,1,522.21,0.532103362754294,1.21495375879232e-05,8.39467724576747,0.0191758328370993,1.18228494936827e-06
"2201",30000,0.8,0.001,1,313.7,0.6046004986046,9.63410711709773e-05,9.80156656207094,0.0234636967292793,9.78699122439658e-06
"2301",3e+05,0.8,0.001,1,628.33,0.524776297487633,1.35542863117347e-05,10.875842008504,0.0186413389002219,1.17014030560378e-06
