"","n_samples","h2","prop_effect","S","results","res_error","method"
"1",30000,0.3,0.01,-1,0.4,0.516397779494322,"EB"
"11",3e+05,0.3,0.01,-1,0.655097512341932,0.0179629546673967,"EB"
"21",30000,0.8,0.01,-1,0.921881771737035,0.0456982283617854,"EB"
"31",3e+05,0.8,0.01,-1,0.564192079966466,0.00728876894849052,"EB"
"41",30000,0.3,0.001,-1,0.64074779353334,0.0691253481595457,"EB"
"51",3e+05,0.3,0.001,-1,0.489340541232709,0.0277865292857802,"EB"
"61",30000,0.8,0.001,-1,0.534827753916143,0.0526261789535505,"EB"
"71",3e+05,0.8,0.001,-1,0.472767756711664,0.0266589856789649,"EB"
"81",30000,0.3,0.01,0,0.5,0.52704627669473,"EB"
"91",3e+05,0.3,0.01,0,0.637065381301717,0.0140170518989234,"EB"
"101",30000,0.8,0.01,0,0.916773148148148,0.0716188774194183,"EB"
"111",3e+05,0.8,0.01,0,0.557567951418615,0.0143163385001849,"EB"
"121",30000,0.3,0.001,0,0.611000203287625,0.0932156122972988,"EB"
"131",3e+05,0.3,0.001,0,0.502767991891048,0.0157685255522063,"EB"
"141",30000,0.8,0.001,0,0.526885658771202,0.0427622796652108,"EB"
"151",3e+05,0.8,0.001,0,0.478728035152016,0.0160048620728527,"EB"
"161",30000,0.3,0.01,1,0.4,0.516397779494322,"EB"
"171",3e+05,0.3,0.01,1,0.666295834316736,0.0184049309529497,"EB"
"181",30000,0.8,0.01,1,0.917193675889328,0.246300090920193,"EB"
"191",3e+05,0.8,0.01,1,0.551119390141272,0.0120763840770745,"EB"
"201",30000,0.3,0.001,1,0.662182877061555,0.0981242861120695,"EB"
"211",3e+05,0.3,0.001,1,0.495613129968279,0.0211167154921857,"EB"
"221",30000,0.8,0.001,1,0.492631981974661,0.0436052573211258,"EB"
"231",3e+05,0.8,0.001,1,0.479933263704592,0.0156409007921583,"EB"
"12",30000,0.3,0.01,-1,0.4,0.516397779494322,"FIQT"
"112",3e+05,0.3,0.01,-1,0.449308366239355,0.01840409686038,"FIQT"
"212",30000,0.8,0.01,-1,0.815746067657832,0.0716870449048508,"FIQT"
"311",3e+05,0.8,0.01,-1,0.283021316182921,0.00601855582456262,"FIQT"
"411",30000,0.3,0.001,-1,0.338490057481561,0.0608949940858014,"FIQT"
"511",3e+05,0.3,0.001,-1,0.132009410984015,0.0214124723141019,"FIQT"
"611",30000,0.8,0.001,-1,0.23462982102742,0.0149079380765692,"FIQT"
"711",3e+05,0.8,0.001,-1,0.0979202788561547,0.0129573671475438,"FIQT"
"811",30000,0.3,0.01,0,0.2,0.421637021355784,"FIQT"
"911",3e+05,0.3,0.01,0,0.437591599168628,0.0145167138480518,"FIQT"
"1011",30000,0.8,0.01,0,0.775619580986517,0.0943674117456879,"FIQT"
"1111",3e+05,0.8,0.01,0,0.274238601821888,0.00660778274372114,"FIQT"
"1211",30000,0.3,0.001,0,0.300740989097752,0.0380104571918442,"FIQT"
"1311",3e+05,0.3,0.001,0,0.137757591480651,0.0166505032583197,"FIQT"
"1411",30000,0.8,0.001,0,0.20245318591026,0.0186917847073565,"FIQT"
"1511",3e+05,0.8,0.001,0,0.103588747847212,0.0100542634213569,"FIQT"
"1611",30000,0.3,0.01,1,0.3,0.483045891539648,"FIQT"
"1711",3e+05,0.3,0.01,1,0.479207444168442,0.0231933663009972,"FIQT"
"1811",30000,0.8,0.01,1,0.898183452702904,0.085285985517647,"FIQT"
"1911",3e+05,0.8,0.01,1,0.263713056374929,0.00644565729296307,"FIQT"
"2011",30000,0.3,0.001,1,0.330478318750037,0.0454196020013819,"FIQT"
"2111",3e+05,0.3,0.001,1,0.121348444501665,0.0138107940931816,"FIQT"
"2211",30000,0.8,0.001,1,0.186600748848799,0.021476383601184,"FIQT"
"2311",3e+05,0.8,0.001,1,0.0998524758099709,0.00899292728280852,"FIQT"
"13",30000,0.3,0.01,-1,0.5,0.52704627669473,"BR"
"113",3e+05,0.3,0.01,-1,0.623890487585387,0.0172661513492269,"BR"
"213",30000,0.8,0.01,-1,0.84304602997677,0.0836536311436064,"BR"
"312",3e+05,0.8,0.01,-1,0.539892600937171,0.0105540659187713,"BR"
"412",30000,0.3,0.001,-1,0.508115387418637,0.0511312945330233,"BR"
"512",3e+05,0.3,0.001,-1,0.373279931734447,0.0199430241452983,"BR"
"612",30000,0.8,0.001,-1,0.375976115405463,0.0264843316524843,"BR"
"712",3e+05,0.8,0.001,-1,0.402284094400268,0.0241451920507388,"BR"
"812",30000,0.3,0.01,0,0.65,0.474341649025257,"BR"
"912",3e+05,0.3,0.01,0,0.612665124691514,0.0134000348107307,"BR"
"1012",30000,0.8,0.01,0,0.901094952289744,0.0480282457283449,"BR"
"1112",3e+05,0.8,0.01,0,0.533916673318281,0.0100242681767539,"BR"
"1212",30000,0.3,0.001,0,0.527373177882507,0.0584099212970709,"BR"
"1312",3e+05,0.3,0.001,0,0.379812620276865,0.0174862056498182,"BR"
"1412",30000,0.8,0.001,0,0.365429452298391,0.0244237226131412,"BR"
"1512",3e+05,0.8,0.001,0,0.396767109205501,0.0231108246524138,"BR"
"1612",30000,0.3,0.01,1,0.3,0.483045891539648,"BR"
"1712",3e+05,0.3,0.01,1,0.648848817719248,0.0120866154156396,"BR"
"1812",30000,0.8,0.01,1,0.939980494715049,0.0683688234253956,"BR"
"1912",3e+05,0.8,0.01,1,0.5385027840641,0.0110090507550851,"BR"
"2012",30000,0.3,0.001,1,0.585048052291653,0.0594409326749136,"BR"
"2112",3e+05,0.3,0.001,1,0.379136001663779,0.0332999504869058,"BR"
"2212",30000,0.8,0.001,1,0.34815117763015,0.0389310425553098,"BR"
"2312",3e+05,0.8,0.001,1,0.408122349115953,0.0239482653358187,"BR"
"14",30000,0.3,0.01,-1,0.35,0.474341649025257,"cl1"
"114",3e+05,0.3,0.01,-1,0.525043090940417,0.0180789708276092,"cl1"
"214",30000,0.8,0.01,-1,0.599322251357263,0.0833855358701561,"cl1"
"313",3e+05,0.8,0.01,-1,0.513533770518887,0.0090857870574786,"cl1"
"413",30000,0.3,0.001,-1,0.512878992107466,0.0437626684345264,"cl1"
"513",3e+05,0.3,0.001,-1,0.500129994843327,0.0211571893568234,"cl1"
"613",30000,0.8,0.001,-1,0.51935868881166,0.049235353326616,"cl1"
"713",3e+05,0.8,0.001,-1,0.511824888185881,0.0207989989805045,"cl1"
"813",30000,0.3,0.01,0,0.5,0.52704627669473,"cl1"
"913",3e+05,0.3,0.01,0,0.529437719996965,0.0126278012487289,"cl1"
"1013",30000,0.8,0.01,0,0.628805264180264,0.0792365679265747,"cl1"
"1113",3e+05,0.8,0.01,0,0.514774488665996,0.00818941542540032,"cl1"
