"","n_samples","h2","prop_effect","S","n_sig","n_sig_sd","prop_bias","prop_bias_sd"
"1",30000,0.3,0.01,-1,0.7,0.915633026044735,0.54,0.500908265962033
"101",3e+05,0.3,0.01,-1,851.27,18.8887519305789,0.7649213035699,0.0130429039390483
"201",30000,0.8,0.01,-1,27.1,5.36072511302097,0.987962521260762,0.0210681392283688
"301",3e+05,0.8,0.01,-1,2793.7,32.0446342756254,0.625951907360631,0.00939710131303759
"401",30000,0.3,0.001,-1,85.32,5.25487748417957,0.760978349378595,0.0443682044680625
"501",3e+05,0.3,0.001,-1,575.74,12.1202893588154,0.551713324480821,0.0201868507936166
"601",30000,0.8,0.001,-1,279.53,9.5910890882626,0.626385688954459,0.0279146353257153
"701",3e+05,0.8,0.001,-1,729.53,11.9353942692999,0.527232992223531,0.0187675474020389
"801",30000,0.3,0.01,0,0.52,0.810038033774721,0.52,0.502116731568678
"901",3e+05,0.3,0.01,0,896.33,19.0332271928262,0.753812090948649,0.0124877446837295
"1001",30000,0.8,0.01,0,28.61,4.75223498721784,0.991716158648836,0.0170164094034573
"1101",3e+05,0.8,0.01,0,2764.21,29.5311152460717,0.616457524586459,0.00837341449131891
"1201",30000,0.3,0.001,0,90.29,6.2527488904376,0.75904536534904,0.0473118970276907
"1301",3e+05,0.3,0.001,0,546.47,11.1839125081475,0.548519459658776,0.0224133114449515
"1401",30000,0.8,0.001,0,276.46,10.9225186720561,0.615294492180554,0.0303375290053355
"1501",3e+05,0.8,0.001,0,702.71,12.2460424446249,0.525451705866163,0.0170772202730424
"1601",30000,0.3,0.01,1,0.65,0.743660072230789,0.38,0.487831731214563
"1701",3e+05,0.3,0.01,1,913.62,19.8518655460026,0.788872572323258,0.0121518930366129
"1801",30000,0.8,0.01,1,20.87,4.34068141557465,0.998875,0.00796436983500182
"1901",3e+05,0.8,0.01,1,2959.28,27.59303088708,0.610430374614802,0.00840619084872802
"2001",30000,0.3,0.001,1,91.49,5.71811758246267,0.781652466066998,0.0415213308406189
"2101",3e+05,0.3,0.001,1,534.82,9.27729932837584,0.541655565410418,0.0216384429842232
"2201",30000,0.8,0.001,1,296.23,9.17490538855246,0.612575157369494,0.0283057834832157
"2301",3e+05,0.8,0.001,1,658.63,11.6355906466741,0.525813413459336,0.0174113248653384
